Heat 2 Overall Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,41,James Houghton,UNLIMITED - FWD,1:25.953,Integra
2,771,Professional Awesome,UNLIMITED - AWD,1:26.898,EVO
3,314,Michael Puglisi,TRACK MODIFIED - AWD,1:33.528,Evolution
4,30,Jeremy Swenson,TRACK MODIFIED - RWD,1:33.744,Corvette ZR1
5,222,Kevin Wesley,UNLIMITED - RWD,1:34.933,Challenger
6,162,Joel Morrison,TRACK MODIFIED - RWD,1:36.225,S2000
7,283,Jess Moeding,TRACK MODIFIED - RWD,1:36.599,Corvette
8,122,Brad/Matt Yonkers/DeReus,STREET MODIFIED - RWD,1:37.449,M3
9,60,David Calzada,UNLIMITED - RWD,1:37.468,Miata
10,23,Shawn Krebsbach,STREET MODIFIED - AWD,1:37.530,Lancer evolution 9
11,333,Christopher Tuttell,STREET MODIFIED - AWD,1:37.650,Evo RS
12,51,Joshua Orr,STREET - RWD,1:38.096,corvette
13,40,Chris Boersma,TRACK MODIFIED - FWD,1:38.201,Civic
14,6,Micheal Aumick,STREET MODIFIED - AWD,1:38.958,STI
15,315,Micaiah Hackbarth,TRACK MODIFIED - AWD,1:39.082,TTRS
16,322,Jeremy Boysen,TRACK MODIFIED - RWD,1:39.106,GT3
17,357,Dan Lewis,STREET MODIFIED - RWD,1:39.181,S2000
18,70,Eric DeWitt,STREET - AWD,1:39.238,STI
19,5,McTeam McTeam,STREET MODIFIED - AWD,1:39.562,Sti
20,57,Tony Desero,TRACK MODIFIED - RWD,1:39.701,M3
21,34,austin hertel,STREET - RWD,1:39.779,370z
22,55,Charles Miller,STREET - AWD,1:39.985,Evo IX
23,3,Ron Spear,STREET - RWD,1:40.036,Mustang GT
24,302,Alex Moss,STREET MODIFIED - RWD,1:40.081,S2000
25,86,Jackie Ding,STREET - RWD,1:40.256,S2000
26,420,levi brown,TRACK MODIFIED - FWD,1:40.564,civic
27,46,Nikolai Delov,STREET MODIFIED - RWD,1:40.610,M3-C
28,123,Christopher Bickford,STREET - RWD,1:40.684,Corvette
29,103,Chris Ballard,TRACK MODIFIED - RWD,1:40.886,S2000
30,135,Charlie Ensslin,UNLIMITED - RWD,1:41.203,Silvia
31,944,Vito Jin,STREET - RWD,1:41.429,M3
32,29,Matthew Kokx,STREET MODIFIED - AWD,1:41.444,wrx
33,74,Chris Neuman,STREET - RWD,1:41.519,M3
34,940,Stephen Barnes,STREET MODIFIED - AWD,1:41.672,Wrx
35,337,Loveland Cody,EXHIBITION - FWD,1:41.703,Civic
36,17,Robert Dice,UNLIMITED - RWD,1:41.869,240sx
37,777,Joshua Halka,STREET - AWD,1:42.006,Impreza WRX
38,65,zachary ross,STREET MODIFIED - FWD,1:42.201,GTI
39,28,Peter Zhang,STREET MODIFIED - AWD,1:42.564,WRX
40,615,Darby Barber,STREET MODIFIED - RWD,1:42.565,miata
41,42,Blake Cameron,STREET - AWD,1:42.610,Sti
42,150,Anthony Leclerc,STREET - RWD,1:42.780,4C
43,12,Andrew Sonnevil,STREET MODIFIED - RWD,1:43.269,Miata
44,330,Vladimir Skirda,STREET MODIFIED - AWD,1:43.464,STi
45,171,Aric Streeter,UNLIMITED - RWD,1:43.952,7
46,145,Shilun Wu,STREET MODIFIED - RWD,1:44.403,Mustang
47,151,David McCallister,TRACK MODIFIED - AWD,1:44.443,Evo IX
48,424,Michael Norman,TRACK MODIFIED - AWD,1:44.901,STi Hatch
49,555,Joseph Mielke,STREET - AWD,1:45.052,STi
50,666,Trentyn Meister,TRACK MODIFIED - FWD,1:45.784,Civic
51,95,Fiona Lou,STREET - RWD,1:46.176,M3
52,531,Evan Weider,STREET MODIFIED - FWD,1:46.716,Civic CX
53,117,Chris Law,STREET MODIFIED - RWD,1:46.833,Miata
54,146,Jonathan Yu,STREET - AWD,1:46.841,WRX
55,24,Les Epps,STREET - FWD,1:47.326,Teggy
56,306,Jan Wildner,STREET MODIFIED - RWD,1:47.613,Silvia
57,304,Erickson Alano,STREET MODIFIED - RWD,1:48.099,BRZ
58,214,Benjamin Skidmore,STREET - RWD,1:48.694,350z
59,113,Justin Lowhorn,STREET MODIFIED - AWD,1:48.878,Evolution
60,202,Max Schrager,STREET - AWD,1:48.921,WRX STi
61,621,Troy Mass,STREET - RWD,1:49.470,BRZ
62,390,Yo Keutla,STREET - RWD,1:49.739,Cayman
63,89,James Kelly,STREET - RWD,1:50.183,BRZ
64,259,Nathan Park,STREET MODIFIED - AWD,1:50.198,Lancer Evo
65,111,Julian Mancuso,STREET MODIFIED - RWD,1:51.127,FRS
66,97,Ryan McGriff,STREET - RWD,1:51.268,135i
67,417,Ronnie Soliman,TRACK MODIFIED - AWD,1:53.709,M3
68,48,Torry Skurski,TRACK MODIFIED - FWD,1:54.892,Juke
69,311,Steve Ohanessian,STREET - RWD,1:54.906,S2000
70,44,Joel Phillips,TRACK MODIFIED - RWD,1:55.392,Miata
71,129,Matt Williams,SPEC FIT -,1:55.412,Fit
72,825,Ashar Chaudhary,SPEC FIT -,1:57.246,Fit
73,129,Matt Williams,SPEC FIT - FWD,1:58.812,Fit
74,413,Sally McNulty,SPEC FIT -,1:59.474,Fit
75,32,Mark Bucheit,SPEC FIT -,2:02.727,Fit
76,527,Byron Tsokolas,STREET - RWD,2:07.063,BRZ
77,179,Derek Boyd,UNLIMITED - AWD,2:30.793,Evo 10
78,102,Luigi Montanez,TRACK MODIFIED - FWD,2:40.322,Integra
79,22,Jeremy Boysen,UNLIMITED - RWD,2:45.400,FRS
80,197,Kendall Samuel,UNLIMITED - AWD,,Impreza
81,81,Benjamin Marouski,STREET MODIFIED - FWD,,Cooper S
82,268,Kaval Vilkhu,STREET MODIFIED - FWD,,Civic
