Heat 3 Results All Groups (Night time),,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,122,Brad/Matt Yonkers/DeReus,STREET MODIFIED - RWD,1:40.392,M3
2,51,Joshua Orr,STREET - RWD,1:40.394,corvette
3,60,David Calzada,UNLIMITED - RWD,1:40.677,Miata
4,70,Eric DeWitt,STREET - AWD,1:41.261,STI
5,333,Christopher Tuttell,STREET MODIFIED - AWD,1:41.265,Evo RS
6,283,Jess Moeding,TRACK MODIFIED - RWD,1:41.655,Corvette
7,5,McTeam McTeam,STREET MODIFIED - AWD,1:42.278,Sti
8,3,Ron Spear,STREET - RWD,1:42.537,Mustang GT
9,86,Jackie Ding,STREET - RWD,1:42.601,S2000
10,57,Tony Desero,TRACK MODIFIED - RWD,1:42.666,M3
11,302,Alex Moss,STREET MODIFIED - RWD,1:42.986,S2000
12,6,Micheal Aumick,STREET MODIFIED - AWD,1:44.322,STI
13,777,Joshua Halka,STREET - AWD,1:46.304,Impreza WRX
14,28,Peter Zhang,STREET MODIFIED - AWD,1:46.546,WRX
15,162,Joel Morrison,TRACK MODIFIED - RWD,1:46.577,S2000
16,420,levi brown,TRACK MODIFIED - FWD,1:46.800,civic
17,944,Vito Jin,STREET - RWD,1:46.850,M3
18,55,Charles Miller,STREET - AWD,1:47.315,Evo IX
19,29,Matthew Kokx,STREET MODIFIED - AWD,1:47.726,wrx
20,12,Andrew Sonnevil,STREET MODIFIED - RWD,1:49.222,Miata
21,357,Dan Lewis,STREET MODIFIED - RWD,1:49.366,S2000
22,940,Stephen Barnes,STREET MODIFIED - AWD,1:49.481,Wrx
23,145,Shilun Wu,STREET MODIFIED - RWD,1:50.723,Mustang
24,42,Blake Cameron,STREET - AWD,1:50.949,Sti
25,150,Anthony Leclerc,STREET - RWD,1:51.404,4C
26,74,Chris Neuman,STREET - RWD,1:51.768,M3
27,23,Shawn Krebsbach,STREET MODIFIED - AWD,1:52.320,Lancer evolution 9
28,24,Les Epps,STREET - FWD,1:52.463,Teggy
29,424,Michael Norman,TRACK MODIFIED - AWD,1:52.836,STi Hatch
30,214,Benjamin Skidmore,STREET - RWD,1:54.102,350z
31,555,Joseph Mielke,STREET - AWD,1:54.362,STi
32,621,Troy Mass,STREET - RWD,1:54.375,BRZ
33,531,Evan Weider,STREET MODIFIED - FWD,1:56.825,Civic CX
34,304,Erickson Alano,STREET MODIFIED - RWD,1:56.936,BRZ
35,97,Ryan McGriff,STREET - RWD,1:57.236,135i
36,151,David McCallister,TRACK MODIFIED - AWD,1:58.351,Evo IX
37,129,Matt Williams,SPEC FIT -,2:00.115,Fit
38,146,Jonathan Yu,STREET - AWD,2:00.211,WRX
39,330,Vladimir Skirda,STREET MODIFIED - AWD,2:00.951,STi
40,48,Torry Skurski,TRACK MODIFIED - FWD,2:01.257,Juke
41,311,Steve Ohanessian,STREET - RWD,2:01.300,S2000
42,413,Sally McNulty,SPEC FIT -,2:01.538,Fit
43,95,Fiona Lou,STREET - RWD,2:01.558,M3
44,527,Byron Tsokolas,STREET - RWD,2:01.585,BRZ
45,102,Luigi Montanez,TRACK MODIFIED - FWD,2:06.352,Integra
46,825,Ashar Chaudhary,SPEC FIT -,2:07.172,Fit
47,197,Kendall Samuel,UNLIMITED - AWD,2:13.986,Impreza
48,32,Mark Bucheit,SPEC FIT -,2:18.623,Fit
49,615,Darby Barber,STREET MODIFIED - RWD,,miata
50,44,Joel Phillips,TRACK MODIFIED - RWD,,Miata
51,666,Trentyn Meister,TRACK MODIFIED - FWD,,Civic
52,30,Jeremy Swenson,TRACK MODIFIED - RWD,,Corvette ZR1
53,65,zachary ross,STREET MODIFIED - FWD,,GTI
54,111,Julian Mancuso,STREET MODIFIED - RWD,,FRS
