Heat 4 Only Results All Groups (Wet),,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,86,Jackie Ding,STREET - RWD,1:59.811,S2000
2,23,Shawn Krebsbach,STREET MODIFIED - AWD,2:01.226,Lancer evolution 9
3,302,Alex Moss,STREET MODIFIED - RWD,2:01.253,S2000
4,5,McTeam McTeam,STREET MODIFIED - AWD,2:01.875,Sti
5,55,Charles Miller,STREET - AWD,2:02.589,Evo IX
6,70,Eric DeWitt,STREET - AWD,2:02.711,STI
7,197,Kendall Samuel,UNLIMITED - AWD,2:02.890,Impreza
8,42,Blake Cameron,STREET - AWD,2:03.705,Sti
9,179,Derek Boyd,UNLIMITED - AWD,2:03.901,Evo 10
10,315,Micaiah Hackbarth,TRACK MODIFIED - AWD,2:03.971,TTRS
11,330,Vladimir Skirda,STREET MODIFIED - AWD,2:04.016,STi
12,777,Joshua Halka,STREET - AWD,2:04.949,Impreza WRX
13,337,Loveland Cody,EXHIBITION - FWD,2:06.763,Civic
14,122,Brad/Matt Yonkers/DeReus,STREET MODIFIED - RWD,2:07.104,M3
15,417,Ronnie Soliman,TRACK MODIFIED - AWD,2:07.440,M3
16,151,David McCallister,TRACK MODIFIED - AWD,2:08.180,Evo IX
17,57,Tony Desero,TRACK MODIFIED - RWD,2:08.457,M3
18,146,Jonathan Yu,STREET - AWD,2:11.078,WRX
19,555,Joseph Mielke,STREET - AWD,2:12.688,STi
20,145,Shilun Wu,STREET MODIFIED - RWD,2:12.821,Mustang
21,95,Fiona Lou,STREET - RWD,2:12.829,M3
22,3,Ron Spear,STREET - RWD,2:13.366,Mustang GT
23,283,Jess Moeding,TRACK MODIFIED - RWD,2:13.731,Corvette
24,940,Stephen Barnes,STREET MODIFIED - AWD,2:13.916,Wrx
25,28,Peter Zhang,STREET MODIFIED - AWD,2:15.414,WRX
26,34,austin hertel,STREET - RWD,2:16.011,370z
27,74,Chris Neuman,STREET - RWD,2:16.113,M3
28,48,Torry Skurski,TRACK MODIFIED - FWD,2:16.293,Juke
29,531,Evan Weider,STREET MODIFIED - FWD,2:18.359,Civic CX
30,202,Max Schrager,STREET - AWD,2:20.410,WRX STi
31,214,Benjamin Skidmore,STREET - RWD,2:20.443,350z
32,460,Grant Walker,UNLIMITED - RWD,2:21.085,Miata
33,615,Darby Barber,STREET MODIFIED - RWD,2:25.013,miata
34,24,Les Epps,STREET - FWD,2:26.383,Teggy
35,89,James Kelly,STREET - RWD,2:26.538,BRZ
36,32,Mark Bucheit,SPEC FIT -,2:27.559,Fit
37,621,Troy Mass,STREET - RWD,2:30.023,BRZ
38,111,Julian Mancuso,STREET MODIFIED - RWD,2:30.392,FRS
39,97,Ryan McGriff,STREET - RWD,2:30.916,135i
40,413,Sally McNulty,SPEC FIT -,,Fit
41,29,Matthew Kokx,STREET MODIFIED - AWD,,wrx
