Heat 6 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,771,Professional Awesome,UNLIMITED - AWD,1:25.160,EVO
2,41,James Houghton,UNLIMITED - FWD,1:25.603,Integra
3,314,Michael Puglisi,TRACK MODIFIED - AWD,1:32.606,Evolution
4,30,Jeremy Swenson,TRACK MODIFIED - RWD,1:34.413,Corvette ZR1
5,162,Joel Morrison,TRACK MODIFIED - RWD,1:35.968,S2000
6,60,David Calzada,UNLIMITED - RWD,1:36.575,Miata
7,179,Derek Boyd,UNLIMITED - AWD,1:36.821,Evo 10
8,23,Shawn Krebsbach,STREET MODIFIED - AWD,1:36.845,Lancer evolution 9
9,122,Brad/Matt Yonkers/DeReus,STREET MODIFIED - RWD,1:37.105,M3
10,6,Micheal Aumick,STREET MODIFIED - AWD,1:37.390,STI
11,145,Shilun Wu,STREET MODIFIED - RWD,1:38.050,Mustang
12,3,Ron Spear,STREET - RWD,1:38.909,Mustang GT
13,51,Joshua Orr,STREET - RWD,1:38.964,corvette
14,357,Dan Lewis,STREET MODIFIED - RWD,1:39.191,S2000
15,55,Charles Miller,STREET - AWD,1:39.208,Evo IX
16,315,Micaiah Hackbarth,TRACK MODIFIED - AWD,1:39.411,TTRS
17,135,Charlie Ensslin,UNLIMITED - RWD,1:40.041,Silvia
18,5,McTeam McTeam,STREET MODIFIED - AWD,1:40.051,Sti
19,57,Tony Desero,TRACK MODIFIED - RWD,1:40.087,M3
20,302,Alex Moss,STREET MODIFIED - RWD,1:40.101,S2000
21,65,zachary ross,STREET MODIFIED - FWD,1:40.267,GTI
22,86,Jackie Ding,STREET - RWD,1:40.315,S2000
23,34,austin hertel,STREET - RWD,1:40.328,370z
24,74,Chris Neuman,STREET - RWD,1:40.335,M3
25,70,Eric DeWitt,STREET - AWD,1:40.540,STI
26,944,Vito Jin,STREET - RWD,1:41.012,M3
27,28,Peter Zhang,STREET MODIFIED - AWD,1:41.215,WRX
28,777,Joshua Halka,STREET - AWD,1:41.398,Impreza WRX
29,150,Anthony Leclerc,STREET - RWD,1:41.648,4C
30,615,Darby Barber,STREET MODIFIED - RWD,1:41.861,miata
31,330,Vladimir Skirda,STREET MODIFIED - AWD,1:41.993,STi
32,42,Blake Cameron,STREET - AWD,1:41.995,Sti
33,151,David McCallister,TRACK MODIFIED - AWD,1:42.198,Evo IX
34,17,Robert Dice,UNLIMITED - RWD,1:42.414,240sx
35,460,Grant Walker,UNLIMITED - RWD,1:42.851,Miata
36,12,Andrew Sonnevil,STREET MODIFIED - RWD,1:42.869,Miata
37,29,Matthew Kokx,STREET MODIFIED - AWD,1:43.176,wrx
38,146,Jonathan Yu,STREET - AWD,1:43.429,WRX
39,102,Luigi Montanez,TRACK MODIFIED - FWD,1:44.048,Integra
40,555,Joseph Mielke,STREET - AWD,1:44.436,STi
41,424,Michael Norman,TRACK MODIFIED - AWD,1:45.191,STi Hatch
42,95,Fiona Lou,STREET - RWD,1:45.229,M3
43,306,Jan Wildner,STREET MODIFIED - RWD,1:45.636,Silvia
44,304,Erickson Alano,STREET MODIFIED - RWD,1:47.245,BRZ
45,24,Les Epps,STREET - FWD,1:47.499,Teggy
46,531,Evan Weider,STREET MODIFIED - FWD,1:47.762,Civic CX
47,621,Troy Mass,STREET - RWD,1:49.138,BRZ
48,202,Max Schrager,STREET - AWD,1:49.674,WRX STi
49,111,Julian Mancuso,STREET MODIFIED - RWD,1:50.391,FRS
50,89,James Kelly,STREET - RWD,1:50.549,BRZ
51,311,Steve Ohanessian,STREET - RWD,1:51.249,S2000
52,48,Torry Skurski,TRACK MODIFIED - FWD,1:52.170,Juke
53,117,Chris Law,STREET MODIFIED - RWD,1:53.552,Miata
54,129,Matt Williams,SPEC FIT -,1:54.019,Fit
55,268,Kaval Vilkhu,STREET MODIFIED - FWD,1:54.184,Civic
56,825,Ashar Chaudhary,SPEC FIT -,1:56.809,Fit
57,413,Sally McNulty,SPEC FIT -,1:59.201,Fit
58,32,Mark Bucheit,SPEC FIT -,2:06.153,Fit
59,197,Kendall Samuel,UNLIMITED - AWD,,Impreza
60,40,Chris Boersma,TRACK MODIFIED - FWD,,Civic
61,940,Stephen Barnes,STREET MODIFIED - AWD,,Wrx
