Heat 5 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,40,Chris Boersma,TRACK MODIFIED - FWD,1:34.363,Civic
2,314,Michael Puglisi,TRACK MODIFIED - AWD,1:35.260,Evolution
3,106,Richard Grossi,TRACK MODIFIED - AWD,1:36.203,Sti
4,122,Brad/Matt Yonkers/DeReus,STREET MODIFIED - RWD,1:36.905,M3
5,197,Kendall Samuel,UNLIMITED - AWD,1:37.147,Impreza
6,283,Jess Moeding,TRACK MODIFIED - RWD,1:37.245,Corvette
7,233,Jordan Bryant,UNLIMITED - AWD,1:38.177,STI
8,412,Sally McNulty,STREET MODIFIED - AWD,1:39.080,WRX
9,22,Jeremy Boysen,TRACK MODIFIED - AWD,1:39.771,Preformante
10,3,Ron Spear,STREET - RWD,1:40.455,Mustang GT
11,38,Greg Maloy,UNLIMITED - FWD,1:40.707,CRX
12,357,Dan Lewis,STREET MODIFIED - RWD,1:40.806,S2000
13,115,Darius Zajac,TRACK MODIFIED - RWD,1:41.154,Corvette
14,34,austin hertel,STREET - RWD,1:41.162,370z
15,70,Eric DeWitt,STREET - AWD,1:41.297,STI
16,916,Savanna Little,UNLIMITED - RWD,1:41.404,350z
17,55,Charles Miller,STREET - AWD,1:41.677,Evo IX
18,46,Nikolai Delov,STREET MODIFIED - RWD,1:41.760,M3-C
19,17,Robert Dice,UNLIMITED - RWD,1:41.762,240sx
20,103,Chris Ballard,TRACK MODIFIED - RWD,1:41.905,S2000
21,6,micheal aumick,STREET MODIFIED - AWD,1:42.294,STI
22,5,Luke McGrew,STREET - AWD,1:42.495,Sti
23,60,David Calzada,STREET MODIFIED - RWD,1:42.529,Miata
24,460,Grant Walker,UNLIMITED - RWD,1:42.840,Miata
25,312,Mikey Singhaseni,STREET MODIFIED - FWD,1:43.029,RSX Type S
26,130,Brian Leazenby,STREET MODIFIED - RWD,1:43.194,Mustang
27,135,Charlie Ensslin,UNLIMITED - RWD,1:43.336,Silvia
28,29,Matthew Kokx,STREET MODIFIED - AWD,1:43.571,wrx
29,145,Shilun Wu,STREET MODIFIED - RWD,1:43.740,Mustang
30,65,zachary ross,STREET MODIFIED - FWD,1:43.789,GTI
31,789,Daniel Mount,STREET MODIFIED - RWD,1:44.133,Cayman
32,81,Benjamin Marouski,STREET MODIFIED - FWD,1:44.291,Cooper S
33,87,Bradley DeLaby,STREET MODIFIED - AWD,1:44.564,R32
34,688,Ryan Weddle,STREET - RWD,1:44.781,350Z
35,28,Peter Zhang,STREET MODIFIED - AWD,1:44.841,WRX
36,666,Trentyn Meister,TRACK MODIFIED - FWD,1:45.010,Civic
37,36,Ben Klusovsky,TRACK MODIFIED - FWD,1:45.253,Civic
38,42,Blake cameron,STREET - AWD,1:45.377,Sti
39,85,Bradley Legris,STREET MODIFIED - RWD,1:45.902,Miata
40,202,Max Schrager,STREET - AWD,1:45.915,WRX STi
41,11,Graham Gaylord,STREET MODIFIED - RWD,1:46.021,135i
42,95,Fiona Lou,STREET - RWD,1:46.202,M3
43,52,Billy Ball,TRACK MODIFIED - RWD,1:46.362,FRS
44,53,Darryl Waddell,STREET - AWD,1:46.413,Golf R
45,10,Lawrence/Brian Navarre/Arpke,STREET - AWD,1:46.582,Wrx
46,88,Mark Brylo,STREET MODIFIED - AWD,1:46.973,Lancer Evo
47,151,David McCallister,TRACK MODIFIED - AWD,1:46.993,Evo IX
48,203,James Banzen,STREET MODIFIED - RWD,1:47.019,Miata
49,91,Chris Scheidecker,STREET - RWD,1:47.058,S2000
50,424,Michael Norman,STREET MODIFIED - AWD,1:47.406,Impreza STi Hatch
51,39,Jake Joraanstad,TRACK MODIFIED - FWD,1:47.549,Silvia
52,147,Anton Zavalko,STREET - RWD,1:47.705,S2000
53,711,Edgar Covarrubias,TRACK MODIFIED - RWD,1:47.709,Isf
54,105,Allen Skillicorn,STREET MODIFIED - RWD,1:47.736,Miata
55,717,Scott Hollingsworth,UNLIMITED - RWD,1:47.750,S2000
56,777,Joshua Halka,STREET - AWD,1:47.760,Impreza WRX
57,555,Joseph Mielke,STREET - AWD,1:48.313,STi
58,201,Don Kuschel,UNLIMITED - FWD,1:48.563,Integra
59,136,Gene Miller,TRACK MODIFIED - FWD,1:48.588,Civic
60,169,Angel Roman,STREET MODIFIED - AWD,1:48.801,WRX STI
61,411,Brandon Collins,TRACK MODIFIED - RWD,1:49.088,325is
62,112,Sasha Anis,STREET - RWD,1:49.256,Model 3
63,148,Sasha Anis,STREET MODIFIED - RWD,1:49.261,Blue Lightning
64,317,Nishanth Samala,STREET - RWD,1:49.515,BRZ
65,12,Andrew Sonnevil,TRACK MODIFIED - RWD,1:49.647,Miata
66,361,Michael Mattila,STREET - FWD,1:49.795,Integra
67,116,Travis Bakeman,STREET - RWD,1:49.984,325IS
68,32,Mark Bucheit,STREET - AWD,1:50.055,Skyline
69,114,Hyder Arain,STREET - RWD,1:50.102,s2000
70,9,Alex Villa,STREET - RWD,1:50.625,Giulia
71,138,Phong Nguyen,STREET - RWD,1:50.684,S2000
72,522,Joel Harkness,STREET MODIFIED - RWD,1:50.761,Miata
73,48,Torry Skurski,TRACK MODIFIED - FWD,1:50.763,Juke
74,92,Craig Seko,STREET - FWD,1:50.886,Civic Type R
75,93,Gareth Campbell,TRACK MODIFIED - FWD,1:50.893,Civic
76,89,James Kelly,STREET - RWD,1:50.899,BRZ
77,90,Justin Tischler,STREET - RWD,1:51.043,S2000
78,20,Chris Hill,TRACK MODIFIED - AWD,1:51.203,GTR
79,218,Derrick Maske,STREET MODIFIED - RWD,1:51.456,S2000
