Heat 4 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,41,James Houghton,UNLIMITED - FWD,1:24.515,Integra
2,305,Henrique Cisneros,UNLIMITED - RWD,1:25.389,458 GT3
3,30,Jeremy Swenson,TRACK MODIFIED - RWD,1:29.777,Corvette ZR1
4,13,William Au-Yeung,UNLIMITED - FWD,1:31.265,RSX
5,49,Hunter Harris,UNLIMITED - RWD,1:31.345,Exige
6,222,Kevin Wesley,UNLIMITED - RWD,1:31.800,Challenger
7,314,Michael Puglisi,TRACK MODIFIED - AWD,1:31.817,Evolution
8,122,Brad/Matt Yonkers/DeReus,STREET MODIFIED - RWD,1:33.066,M3
9,182,Reubin Felkey,TRACK MODIFIED - AWD,1:33.427,GTR
10,412,Sally McNulty,STREET MODIFIED - AWD,1:33.759,WRX
11,626,Cody Miles,TRACK MODIFIED - AWD,1:33.842,STi
12,333,Christopher Tuttell,STREET MODIFIED - AWD,1:35.478,Evo RS
13,23,Shawn Krebsbach,STREET MODIFIED - AWD,1:35.712,Lancer evolution 9
14,107,Ian Stewart,TRACK MODIFIED - RWD,1:35.714,C5 Corvette
15,171,Matthew Shaw,UNLIMITED - RWD,1:35.787,944 Turbo
16,195,Doug Oakley,STREET MODIFIED - RWD,1:36.008,Mustang
17,145,Shilun Wu,STREET MODIFIED - RWD,1:36.274,Mustang
18,727,David Llerena,STREET MODIFIED - AWD,1:36.298,Evolution
19,51,Joshua Orr,STREET - RWD,1:36.362,corvette
20,157,Perry Ellwood,STREET MODIFIED - RWD,1:36.572,RX-7
21,115,Darius Zajac,TRACK MODIFIED - RWD,1:37.296,Corvette
22,34,austin hertel,STREET - RWD,1:37.336,370z
23,179,Derek Boyd,UNLIMITED - AWD,1:37.361,Evo 10
24,3,Ron Spear,STREET - RWD,1:37.430,Mustang GT
25,178,Jonathan Baker,TRACK MODIFIED - AWD,1:37.881,GTR
26,11,Graham Gaylord,STREET MODIFIED - AWD,1:37.926,Impreza STi
27,183,Alex Gallardo,TRACK MODIFIED - RWD,1:37.927,350Z
28,69,Michael Pagano,STREET MODIFIED - RWD,1:38.117,330Ci
29,55,Charles Miller,STREET - AWD,1:38.357,Evo IX
30,123,Christopher Bickford,STREET - RWD,1:38.408,Corvette
31,46,Nikolai Delov,STREET MODIFIED - RWD,1:38.838,M3-C
32,70,Eric DeWitt,STREET - AWD,1:38.870,STI
33,196,Mike Osborn,TRACK MODIFIED - AWD,1:39.004,GTR
34,62,Brian Blaine,TRACK MODIFIED - RWD,1:39.075,Rx7
35,58,Richard Wilkinson,STREET - RWD,1:39.095,C7 Corvette
36,9,Nishant Patel,UNLIMITED - RWD,1:39.184,350z
