Heat 2 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,80,Martin Wojteczko,UNLIMITED - RWD,1:58.771,Mustang GT4
2,41,James Houghton,UNLIMITED - FWD,2:00.022,Integra
3,122,Brad/Matt Yonkers/DeReus,STREET MODIFIED - RWD,2:05.031,M3
4,13,William Au-Yeung,UNLIMITED - FWD,2:09.023,RSX
5,233,Jordan Bryant,UNLIMITED - AWD,2:12.464,STI
6,5,Luke McGrew,STREET - AWD,2:14.070,Sti
7,86,Jackie Ding,STREET - RWD,2:15.465,S2000
8,283,Jess Moeding,TRACK MODIFIED - RWD,2:15.890,Corvette
9,61,Anthony Cuthbert,STREET - FWD,2:17.697,Type R
10,23,Shawn Krebsbach,STREET MODIFIED - AWD,2:18.008,Lancer evolution 9
11,17,Robert Dice,UNLIMITED - RWD,2:20.908,240sx
12,88,Mark Brylo,STREET MODIFIED - AWD,2:22.907,Lancer Evo
13,134,Tony Fuentes,STREET MODIFIED - RWD,2:23.216,M3
14,70,Eric DeWitt,STREET - AWD,2:23.510,STI
15,48,Torry Skurski,TRACK MODIFIED - FWD,2:23.714,Juke
16,55,Charles Miller,STREET - AWD,2:23.765,Evo IX
17,42,Blake cameron,STREET - AWD,2:25.309,Sti
18,288,Kevin Bus,TRACK MODIFIED - FWD,2:27.187,CRX
19,71,Keith Owen,STREET MODIFIED - AWD,2:27.294,Legacy GT
20,969,Shane Mitchell,STREET MODIFIED - AWD,2:27.302,Evolution
21,2,Kevin Wesley,UNLIMITED - RWD,2:28.080,Giulia Quadrifoglio
22,169,Angel Roman,STREET MODIFIED - AWD,2:28.925,WRX STI
23,46,Nikolai Delov,STREET MODIFIED - RWD,2:29.493,M3-C
24,14,Ivan Adamiec,TRACK MODIFIED - AWD,2:30.949,400p
25,64,Wei Bui,STREET - RWD,2:31.361,Cayman S
26,12,Andrew Sonnevil,STREET MODIFIED - RWD,2:32.172,Miata
27,129,Matt Williams,SPEC FIT / ECO CUP - FWD,2:32.379,Fit
28,666,Trentyn Meister,TRACK MODIFIED - FWD,2:32.863,Civic
29,34,austin hertel,STREET - RWD,2:37.639,370z
30,999,Ruben Lopez,STREET - RWD,2:38.968,S2000
31,50,Nathan Chambers,STREET - AWD,2:39.260,e92
32,27,Noah Lucads,STREET MODIFIED - FWD,2:40.473,Civic
33,52,Billy Ball,TRACK MODIFIED - RWD,2:40.857,Evo RS
34,317,Nishanth Samala,STREET - RWD,2:43.750,BRZ
35,460,Grant Walker,UNLIMITED - RWD,2:46.448,Miata
36,74,Chris Neuman,STREET - RWD,2:50.279,M3
37,621,Troy Mass,STREET - RWD,2:53.717,BRZ
38,717,Scott Hollingsworth,UNLIMITED - RWD,2:54.237,S2000
39,916,Savanna Little,TRACK MODIFIED - RWD,2:54.691,350z
40,111,Julian Mancuso,STREET - RWD,2:59.827,FRS
41,94,Brandon Johnson,STREET - RWD,3:04.421,350Z
