Heat 5 Results All Groups (WET),,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,122,Brad/Matt Yonkers/DeReus,STREET MODIFIED - RWD,2:09.489,M3
2,1,Solo Motorsports,TRACK MODIFIED - AWD,2:12.058,Evo
3,283,Jess Moeding,TRACK MODIFIED - RWD,2:16.660,Corvette
4,88,Mark Brylo,STREET MODIFIED - AWD,2:16.871,Lancer Evo
5,5,Luke McGrew,STREET - AWD,2:18.041,Sti
6,70,Eric DeWitt,STREET - AWD,2:20.185,STI
7,17,Robert Dice,UNLIMITED - RWD,2:21.554,240sx
8,13,William Au-Yeung,UNLIMITED - FWD,2:25.504,RSX
9,46,Nikolai Delov,STREET MODIFIED - RWD,2:26.270,M3-C
10,42,Blake cameron,STREET - AWD,2:27.364,Sti
11,48,Torry Skurski,TRACK MODIFIED - FWD,2:30.499,Juke
12,12,Andrew Sonnevil,STREET MODIFIED - RWD,2:30.672,Miata
13,129,Matt Williams,SPEC FIT / ECO CUP - FWD,2:32.076,Fit
14,169,Angel Roman,STREET MODIFIED - AWD,2:33.636,WRX STI
15,621,Troy Mass,STREET - RWD,2:37.303,BRZ
16,317,Nishanth Samala,STREET - RWD,2:38.575,BRZ
17,34,austin hertel,STREET - RWD,2:39.047,370z
18,64,Wei Bui,STREET - RWD,2:41.045,Cayman S
19,33,Brayden Connolly,STREET MODIFIED - RWD,2:47.562,X1/9
20,111,Julian Mancuso,STREET - RWD,2:57.402,FRS
21,61,Anthony Cuthbert,STREET - FWD,Incomplete Lap,Type R
