Heat 3 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,5,Luke McGrew,TRACK MODIFIED - RWD,2:31.509,Viper ACR
2,71,Joel Morrison,TRACK MODIFIED - RWD,2:33.522,s2000
3,86,Jackie Ding,STREET MODIFIED - RWD,2:35.876,S2000
4,221,shawn krebsbach,STREET MODIFIED - AWD,2:37.064,Lancer Evolution 9
5,21,Evolve Autosport,STREET MODIFIED - RWD,2:38.264,M3
6,6,Michael Aumick,STREET MODIFIED - AWD,2:38.327,WRX STI
7,90,Kevin Boehm,TRACK MODIFIED - FWD,2:38.562,Civic Si Coupe
8,357,Dan Lewis,STREET MODIFIED - RWD,2:38.895,S2000
9,70,"Eric """"Dewey"""""" DeWitt""",STREET MODIFIED - AWD,2:39.048,Impreza L
10,667,Mike Hryckiewicz,UNLIMITED - RWD,2:39.482,Corvette
11,0,Cars and Coffee Survivor Racing,STREET GT - RWD,2:39.835,Mustang
12,34,Austin Hertel,STREET - RWD,2:39.989,370z
13,74,Chris Neuman,STREET - RWD,2:41.435,M3
14,984,Stan Fayngold,STREET MODIFIED - RWD,2:41.519,FR-S
15,130,Coby Shield,STREET GT - RWD,2:41.714,Camaro
16,420,levi brown,TRACK MODIFIED - FWD,2:42.378,civic
17,625,Sam Bosnian,STREET - RWD,2:43.605,350z Nismo
18,575,Clay Davidson,STREET MODIFIED - RWD,2:44.554,Mustang
19,56,Charles Miller,STREET - AWD,2:44.815,Evo IX
20,133,Corrin Tyson,STREET - FWD,2:45.129,Civic Type R
21,110,Chinchi Chiang,STREET MODIFIED - FWD,2:45.851,Civic Type-R
22,150,Anthony Leclerc,STREET - RWD,2:45.851,4C
23,174,James Rauck,STREET - FWD,2:45.906,Type R
24,706,Dan Simms,STREET GT - RWD,2:45.973,Corvette
25,330,Vladimir Skirda,STREET MODIFIED - AWD,2:46.576,STi
26,28,Peter Zhang,STREET MODIFIED - AWD,2:46.949,WRX
27,46,Nehru Cheddie,STREET - RWD,2:48.282,M3
28,88,Fiona Lou,STREET MODIFIED - RWD,2:48.886,S2000
29,96,Nigel Teags,STREET MODIFIED - AWD,2:48.927,Impreza WRX
30,555,Dainius Radzevicius,STREET - AWD,2:48.982,Impreza wrx sti
31,259,Nathan Park,STREET MODIFIED - AWD,2:49.476,Evo X
32,36,Ben Mich,STREET MODIFIED - RWD,2:50.257,RX-7
33,35,Alex Westergaard,STREET MODIFIED - RWD,2:50.925,S2000
34,12,Andrew Sonnevil,ROADSTER MODIFIED - RWD,2:51.019,Miata
35,60,Mark Brylo,STREET - AWD,2:51.331,Lancer Evolution
36,917,Alex MacAllister,STREET GT - RWD,2:51.378,Mustang
37,94,Brandon Johnson,STREET - RWD,2:52.624,350Z
38,106,Peitz Performance,TRACK MODIFIED - RWD,2:52.873,Corvette
39,154,Jan Guzman,TRACK MODIFIED - RWD,2:52.896,135i
40,31,BART GOLDENBELD,ROADSTER MODIFIED - RWD,2:54.321,Miata
41,321,Teagan Thostenson,STREET - AWD,2:54.691,STI
42,75,Ryan Gaydos,STREET - RWD,2:55.021,S2000
43,375,Carson Christel,TRACK MODIFIED - FWD,2:55.711,GTi
44,211,Troy Videkovich,STREET MODIFIED - AWD,2:56.362,WRX
45,441,Walter Smith,STREET - RWD,2:56.850,S2000
46,14,Kal Fortner,STREET MODIFIED - AWD,2:57.130,S4
47,62,Brian Blaine,TRACK MODIFIED - RWD,2:57.814,Rx7
48,218,Derrick Maske,STREET MODIFIED - RWD,2:57.971,S2000
49,42,Ben Bulthuis,TRACK MODIFIED - FWD,2:58.120,CRX
50,89,James Kelly,STREET - RWD,3:02.058,BRZ
51,323,Michael Peters,STREET - RWD,3:03.462,S2000
52,48,Torry Skurski,TRACK MODIFIED - RWD,3:07.104,328i
53,125,Andrew Molique,STREET - FWD,3:07.669,Integra
54,24,Les Epps,STREET - FWD,3:08.254,Teggy
55,93,Alexander Mishra,SUNDAE CUP / SPECFIT - FWD,3:15.823,Fit
56,15,Mark Bucheit,SUNDAE CUP / SPECFIT - FWD,3:17.676,Fit
57,185,Kyle Champine,STREET - FWD,3:25.335,Civic
58,312,TF Works,STREET MODIFIED - FWD,3:47.597,RSX
59,32,Ron Mullet,STREET GT - RWD,5:41.993,Corvette
60,22,Jeremy Boysen,STREET MODIFIED - RWD,,GT4
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
