"Heat 6 Results All Groups (South Course, Wet)",,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,14,Kal Fortner,STREET MODIFIED - AWD,2:12.806,S4
2,24,Les Epps,STREET - FWD,2:18.121,Teggy
3,88,Fiona Lou,STREET MODIFIED - RWD,2:20.567,S2000
4,75,Ryan Gaydos,STREET - RWD,2:25.945,S2000
5,93,Alexander Mishra,SUNDAE CUP / SPECFIT - FWD,2:26.399,Fit
6,62,Brian Blaine,TRACK MODIFIED - RWD,4:57.677,Rx7
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
