Heat 5 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,41,James Houghton,UNLIMITED - FWD,1:27.249,Integra
2,3,Jeremy Swenson,TRACK MODIFIED - RWD,1:32.493,Corvette
3,5,Luke McGrew,TRACK MODIFIED - RWD,1:32.575,Viper ACR
4,314,Michael Puglisi,TRACK MODIFIED - AWD,1:33.838,Evolution
5,626,Cody Miles,TRACK MODIFIED - AWD,1:35.505,STI
6,86,Jackie Ding,STREET MODIFIED - RWD,1:36.072,S2000
7,33,Chris Boersma,TRACK MODIFIED - FWD,1:36.412,Civic
8,26,Dan Kroll,UNLIMITED - AWD,1:36.751,STi
9,714,Blue By You Racing,UNLIMITED - RWD,1:36.757,Mustang
10,83,Alex Moss,STREET MODIFIED - RWD,1:37.243,S2000
11,71,Joel Morrison,TRACK MODIFIED - RWD,1:37.264,s2000
12,105,Ronnie Soliman,TRACK MODIFIED - AWD,1:37.303,Evo
13,715,Blue By You Racing,STREET MODIFIED - RWD,1:37.458,Mustang Boss 302
14,90,Kevin Boehm,TRACK MODIFIED - FWD,1:38.258,Civic Si Coupe
15,222,Kevin Wesley,UNLIMITED - RWD,1:38.752,Challenger Hellcat Redeye
16,412,Sally McNulty,STREET MODIFIED - AWD,1:39.340,Sti
17,21,Matt DeReus,STREET MODIFIED - RWD,1:39.450,M3
18,329,Alex Li,TRACK MODIFIED - AWD,1:39.884,Impreza
19,65,Matthew Kokx,STREET MODIFIED - AWD,1:40.200,wrx
20,30,David Calzada,UNLIMITED - RWD,1:40.914,Miata
21,74,Chris Neuman,STREET - RWD,1:40.923,M3
22,56,Charles Miller,STREET - AWD,1:41.012,Evo IX
23,357,Dan Lewis,STREET MODIFIED - RWD,1:41.031,S2000
24,62,Brian Blaine,TRACK MODIFIED - RWD,1:41.125,Rx7
25,420,levi brown,TRACK MODIFIED - FWD,1:41.310,civic
26,123,Christopher Bickford,STREET GT - RWD,1:41.836,Corvette
27,110,Chinchi Chiang,STREET MODIFIED - FWD,1:42.304,Civic Type-R
28,34,Austin Hertel,STREET - RWD,1:42.360,370z
29,186,Eric Gustafson,UNLIMITED - RWD,1:42.621,BRZ
30,984,Stan Fayngold,STREET MODIFIED - RWD,1:42.762,FR-S
31,460,Grant Walker,UNLIMITED - RWD,1:42.954,Miata
32,88,Fiona Lou,STREET MODIFIED - RWD,1:43.033,S2000
33,55,Michael Pagano,STREET MODIFIED - RWD,1:43.118,330ci
34,66,Darby Barber,STREET MODIFIED - RWD,1:43.143,miata
35,128,Team Brap,EXHIBITION - RWD,1:44.059,RX-7
36,667,Mike Hryckiewicz,UNLIMITED - RWD,1:44.361,Corvette
37,96,Nigel Teags,STREET MODIFIED - AWD,1:56.885,Impreza WRX
38,76,Zac Ross,STREET MODIFIED - FWD,2:00.026,GTI
39,242,Blake Cameron,STREET - AWD,2:00.738,Sti
40,68,Tony Desero,TRACK MODIFIED - RWD,2:01.360,M3
41,151,David McCallister,TRACK MODIFIED - AWD,2:03.682,Lancer Evo IX
42,12,Andrew Sonnevil,ROADSTER MODIFIED - RWD,2:04.078,Miata
43,28,Peter Zhang,STREET MODIFIED - AWD,2:04.084,WRX
44,6,Michael Aumick,STREET MODIFIED - AWD,2:04.911,WRX STI
45,257,Richard Wilkinson,STREET GT - RWD,2:05.734,CORVETTE Z51
46,103,Max Schrager,STREET - AWD,2:05.797,wrx sti
47,424,Michael Norman,STREET - AWD,2:05.947,STi Hatch
48,46,Nehru Cheddie,STREET - RWD,2:06.733,M3
49,575,Clay Davidson,STREET MODIFIED - RWD,2:10.076,Mustang
50,150,Anthony Leclerc,STREET - RWD,2:11.095,4C
51,14,Kal Fortner,STREET MODIFIED - AWD,2:11.548,S4
52,91,Gil Winningham,STREET - FWD,2:16.170,Accord
53,104,Paul Karklis,TRACK MODIFIED - RWD,2:17.666,Corvette
54,234,Brad Riemann,STREET - AWD,2:18.047,Focus RS
55,121,Joseph King,STREET - FWD,2:18.419,Festiva
56,75,Ryan Gaydos,STREET - RWD,2:18.972,S2000
57,93,Alexander Mishra,SUNDAE CUP / SPECFIT - FWD,2:19.851,Fit
58,54,Joseph Neuman,STREET - RWD,2:20.336,S2000
59,97,Ryan McGriff,STREET - RWD,2:20.595,Rx8
60,19,George Koustoumbardis,STREET - RWD,2:20.608,S2000
61,1,Anh-Tuan Truong,STREET - RWD,2:20.716,911
62,211,Troy Videkovich,STREET MODIFIED - AWD,2:21.141,WRX
63,185,Kyle Champine,STREET - FWD,2:21.225,Civic
64,114,Hyder Arain,STREET - RWD,2:21.285,s2000
65,111,Domas Sinkevicius,STREET MODIFIED - RWD,2:22.051,M3
66,20,Erik Meadows,TRACK MODIFIED - RWD,2:23.693,Miata
67,214,Benjamin Skidmore,STREET - RWD,2:23.745,350Z
68,124,Darryl Butler,STREET MODIFIED - AWD,2:23.774,STi
69,52,Kevin Tong,STREET - RWD,2:26.605,M3
70,67,David Bain,STREET MODIFIED - RWD,2:26.961,370Z
71,51,Yuriy Karpov,STREET - FWD,2:27.764,Accord
72,48,Torry Skurski,TRACK MODIFIED - RWD,2:27.872,328i
73,486,Ryan Dussex,STREET - RWD,2:28.651,325I
74,817,Brian Barnhill,STREET MODIFIED - RWD,2:28.830,Miata
75,108,Jeanette Negri,STREET - RWD,2:29.149,BRZ
76,87,Johnny Rose,STREET - RWD,2:29.797,Miata
77,85,Jimmy Diggs,STREET - RWD,2:32.215,S2000
78,15,Mark Bucheit,SUNDAE CUP / SPECFIT - FWD,2:53.635,Fit
79,89,James Kelly,STREET - RWD,2:55.715,BRZ
80,32,Ron Mullet,STREET GT - RWD,3:03.467,Corvette
81,531,Evan Weider,STREET - FWD,3:06.957,Civic
