Q1 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,199,Andy Smedegard,UNLIMITED - AWD,1:06.492,Evo
2,3,Jeremy Swenson,TRACK MODIFIED - RWD,1:07.429,Corvette
3,6,RICHARD BOAKE,UNLIMITED - AWD,1:09.042,STI
4,22,Jason Harding,TRACK MODIFIED - RWD,1:09.280,Corvette
5,33,Eric Fleming,TRACK MODIFIED - RWD,1:10.242,Corvette
6,21,Shawn Krebsbach,STREET MODIFIED - AWD,1:10.395,Lancer Evolutuon 9
7,150,Alexander Moss,STREET MODIFIED - RWD,1:11.007,S2000
8,66,Chris Boersma,TRACK MODIFIED - FWD,1:11.369,Civic
9,0,Michael Puglisi,TRACK MODIFIED - AWD,1:12.110,Evo
10,24,Tyler Pappas,UNLIMITED - RWD,1:12.204,M2
11,30,David Calzada,UNLIMITED - RWD,1:12.697,Miata
12,50,Michael Aumick,STREET MODIFIED - AWD,1:13.327,Sti
13,13,Andrew Stittle,TRACK MODIFIED - FWD,1:13.411,Swift
14,412,Sally McNulty,STREET MODIFIED - AWD,1:14.260,STi
15,70,Bob Meyer,UNLIMITED - RWD,1:14.269,Corvette
16,759,Darby Barber,STREET MODIFIED - RWD,1:15.120,Miata
17,88,Fiona Lou,STREET MODIFIED - RWD,1:15.165,S2000
18,921,Aaron Byram,UNLIMITED - AWD,1:15.220,WRX STI
19,200,Andy Smedegard,STREET - RWD,1:15.247,S2000
20,52,James Houghton,STREET - FWD,1:15.522,Civic
21,100,Shilun Wu,STREET MODIFIED - RWD,1:15.608,Mustang
22,1,Jeremy Boysen,STREET MODIFIED - RWD,1:16.082,GT4
23,15,Mongha Molitor,TRACK MODIFIED - AWD,1:16.278,Ipreza
24,150,Anthony Leclerc,STREET - RWD,1:16.635,4C
25,34,Austin Hertel,STREET - RWD,1:16.657,370z
26,113,Will Au-yeung,UNLIMITED - FWD,1:16.710,RSX
27,2,Jonathan Finstrom,UNLIMITED - AWD,1:17.025,Wrx Sti
28,74,Chris Neuman,STREET - RWD,1:17.510,M3
29,777,Joshua and Thomas Halka,STREET - AWD,1:17.555,Impreza WRX
30,101,Jason Owens,STREET - FWD,1:18.123,Civic Type R
31,98,Brian McNamara,TRACK MODIFIED - RWD,1:18.293,Miata
32,666,Chris Kennealy,STREET - AWD,1:18.445,Focus RS
33,87,Johnny Rose,STREET - RWD,1:19.056,Miata
34,55,Matt Christie,STREET - RWD,1:19.135,Mustang
35,555,Joe Mielke,STREET - AWD,1:19.238,Impreza WRX STi
36,42,James Houghton,UNLIMITED - AWD,1:19.436,Lancer Evolution
37,9,Steve Sullivan,STREET MODIFIED - FWD,1:23.343,Civic
38,32,Simone Eid,STREET - RWD,1:25.385,Miata
39,14,Ronnie Soliman,TRACK MODIFIED - AWD,1:27.977,Evo
40,69,Zack Hinsperger,STREET MODIFIED - RWD,1:28.481,e30 325
41,135,Chris Smith,STREET - RWD,,1M
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
