Overall Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,6,RICHARD BOAKE,UNLIMITED - AWD,1:03.172,STI
2,41,James Houghton,UNLIMITED - FWD,1:04.061,Integra
3,199,Andy Smedegard,UNLIMITED - AWD,1:05.274,Evo
4,3,Jeremy Swenson,TRACK MODIFIED - RWD,1:07.429,Corvette
5,42,James Houghton,UNLIMITED - AWD,1:07.439,Lancer Evolution
6,921,Aaron Byram,UNLIMITED - AWD,1:09.172,WRX STI
7,22,Jason Harding,TRACK MODIFIED - RWD,1:09.280,Corvette
8,33,Eric Fleming,TRACK MODIFIED - RWD,1:09.304,Corvette
9,5,Luke McGrew,TRACK MODIFIED - RWD,1:09.585,Viper
10,66,Chris Boersma,TRACK MODIFIED - FWD,1:09.827,Civic
11,21,Shawn Krebsbach,STREET MODIFIED - AWD,1:10.395,Lancer Evolutuon 9
12,150,Alexander Moss,STREET MODIFIED - RWD,1:10.540,S2000
13,13,Andrew Stittle,TRACK MODIFIED - FWD,1:10.615,Swift
14,0,Michael Puglisi,TRACK MODIFIED - AWD,1:10.775,Evo
15,30,David Calzada,UNLIMITED - RWD,1:11.082,Miata
16,107,Eric Dewitt,STREET MODIFIED - AWD,1:11.497,Subaru
17,14,Ronnie Soliman,TRACK MODIFIED - AWD,1:11.508,Evo
18,24,Tyler Pappas,UNLIMITED - RWD,1:11.873,M2
19,45,Dan Kroll,UNLIMITED - AWD,1:12.042,Subaru
20,460,Grant Walker,UNLIMITED - RWD,1:12.288,Mazda
21,1,Jeremy Boysen,STREET MODIFIED - RWD,1:12.339,GT4
22,412,Sally McNulty,STREET MODIFIED - AWD,1:12.802,STi
23,50,Michael Aumick,STREET MODIFIED - AWD,1:12.814,Sti
24,70,Bob Meyer,UNLIMITED - RWD,1:13.038,Corvette
25,100,Shilun Wu,STREET MODIFIED - RWD,1:13.297,Mustang
26,2,Jonathan Finstrom,UNLIMITED - AWD,1:13.333,Wrx Sti
27,34,Austin Hertel,STREET - RWD,1:13.401,370z
28,777,Joshua and Thomas Halka,STREET - AWD,1:13.535,Impreza WRX
29,88,Fiona Lou,STREET MODIFIED - RWD,1:13.873,S2000
30,74,Chris Neuman,STREET - RWD,1:13.874,M3
31,52,James Houghton,STREET - FWD,1:14.168,Civic
32,86,Jackie Ding,STREET MODIFIED - RWD,1:14.353,Supra #TA90
33,62,Brian Blaine,TRACK MODIFIED - RWD,1:14.427,RX7
34,200,Andy Smedegard,STREET - RWD,1:14.435,S2000
35,15,Scott Molitor,TRACK MODIFIED - AWD,1:14.436,Ipreza
36,759,Darby Barber,STREET MODIFIED - RWD,1:14.587,Miata
37,113,Will Au-yeung,UNLIMITED - FWD,1:14.660,RSX
38,555,Joe Mielke,STREET - AWD,1:16.006,Impreza WRX STi
39,150,Anthony Leclerc,STREET - RWD,1:16.024,4C
40,625,Sam Bosnian,STREET - RWD,1:16.639,Nissan
41,666,Chris Kennealy,STREET - AWD,1:17.041,Focus RS
42,98,Brian McNamara,TRACK MODIFIED - RWD,1:17.677,Miata
43,7,Armin von Czarnowski,STREET - RWD,1:17.713,mazda
44,101,Jason Owens,STREET - FWD,1:17.738,Civic Type R
45,55,Matt Christie,STREET - RWD,1:17.831,Mustang
46,87,Johnny Rose,STREET - RWD,1:18.194,Miata
47,135,Chris Smith,STREET - RWD,1:21.825,1M
48,9,Steve Sullivan,STREET MODIFIED - FWD,1:22.365,Civic
49,4,Ceso Bagay,STREET MODIFIED - AWD,1:24.663,EVO
50,32,Simone Eid,STREET - RWD,1:24.701,Miata
51,440,Taylor Steck,STREET - RWD,1:25.373,Nissan
52,69,Zack Hinsperger,STREET MODIFIED - RWD,1:28.481,e30 325
