Heat 6 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,41,James Houghton,UNLIMITED - FWD,1:23.533,Integra
2,711,Phillip Grabow,UNLIMITED - AWD,1:28.912,STI
3,106,Feras Qartoumy,TRACK MODIFIED - RWD,1:30.142,Corvette Z06
4,172,Derek Boyd,UNLIMITED - AWD,1:30.892,Evo
5,33,Chris Boersma,TRACK MODIFIED - FWD,1:31.245,Civic
6,520,Andrew Cassidy,UNLIMITED - RWD,1:31.861,RX-7
7,71,Joel Morrison,TRACK MODIFIED - RWD,1:31.963,s2000
8,188,DWIGHT KELLY,UNLIMITED - RWD,1:31.994,M3
9,927,Alex Gallardo,UNLIMITED - RWD,1:33.838,350Z
10,163,Tony Fuentes,TRACK MODIFIED - RWD,1:34.672,M4
11,714,Blue By You Racing,UNLIMITED - RWD,1:34.685,Mustang
12,55,Michael Pagano,STREET MODIFIED - RWD,1:34.967,330ci
13,86,Jackie Ding,STREET MODIFIED - RWD,1:35.653,GR Supra #TA90
14,130,Coby Shield,STREET GT - RWD,1:35.745,Camaro
15,412,Sally McNulty,STREET MODIFIED - AWD,1:35.941,Sti
16,28,Peter Zhang,STREET MODIFIED - AWD,1:36.069,WRX
17,281,Anthony Nguyen,STREET MODIFIED - RWD,1:36.144,BRZ
18,127,Mark Thomsen,TRACK MODIFIED - AWD,1:37.482,GTR
19,160,Nick Wehe,TRACK MODIFIED - RWD,1:37.748,S14
20,34,Austin Hertel,STREET - RWD,1:38.308,370z
21,60,Mark Brylo,STREET - AWD,1:39.598,Lancer Evolution
22,62,Brian Blaine,TRACK MODIFIED - RWD,1:39.737,Rx7
23,719,James Mehl,TRACK MODIFIED - RWD,1:39.741,S2000
24,312,TF Works,STREET MODIFIED - FWD,1:39.821,RSX
25,10,Yo Keutla,STREET GT - RWD,1:39.868,Cayman S
26,36,Ben Mich,STREET MODIFIED - RWD,1:39.918,RX-7
27,500,Chris Allen,STREET GT - RWD,1:40.158,Mustang GT
28,212,Jeff Mccullough,STREET GT - RWD,1:40.290,Corvette
29,12,Andrew Sonnevil,ROADSTER MODIFIED - RWD,1:40.491,Miata
30,555,Dainius Radzevicius,STREET - AWD,1:40.511,Impreza wrx sti
31,777,Joshua Halka,STREET - AWD,1:40.641,WRX
32,545,Ron Ewerth,UNLIMITED - RWD,1:40.737,818R
33,151,David McCallister,TRACK MODIFIED - AWD,1:40.801,Lancer Evo IX
34,871,Kamil Dziwisz,TRACK MODIFIED - FWD,1:40.954,Rsx
35,183,Hunter Harris,STREET GT - RWD,1:41.012,Exige
36,259,Nathan Park,STREET MODIFIED - AWD,1:42.100,Evo X
37,299,Nishant Patel,UNLIMITED - RWD,1:42.459,350z
38,190,Chinchi Chiang,STREET GT - RWD,1:42.851,GR Supra
39,197,Kendall Samuel,UNLIMITED - AWD,1:42.866,Impreza WRX
40,212,Kevin Wesley,TRACK MODIFIED - RWD,1:43.104,Challenger Scat Pack
41,787,Gary Burris jr,STREET GT - AWD,1:43.110,Skyline GTR
42,420,levi brown,TRACK MODIFIED - FWD,1:43.738,civic
43,505,Tim Beek,STREET - RWD,1:43.756,S2000
44,981,Sarah Coleman,STREET - RWD,1:43.916,Caymen S 981
45,319,Alejandro Campos,STREET - RWD,1:44.080,S2000
46,14,Kal Fortner,STREET MODIFIED - AWD,1:44.517,S4
47,350,Dhruv Bhavsar,STREET - AWD,1:44.990,Focus RS
48,120,Jason Jones,TRACK MODIFIED - RWD,1:44.998,350z
49,224,Casey Heldman,STREET - RWD,1:46.171,BRZ Limited w/ Performance Package
50,226,Ian Jagor,STREET - RWD,1:46.400,335i Touring
51,401,silvio zucchet,STREET - RWD,1:46.411,BRZ
52,310,Toyota Racing,TRACK MODIFIED - FWD,1:46.997,Avalon
53,137,Sean Chapman,STREET MODIFIED - AWD,1:47.262,WRX
54,269,Shawn Bassett,SUPER UNLIMITED - RWD,1:47.377,240Z
55,984,Stan Fayngold,STREET MODIFIED - RWD,1:47.417,FR-S
56,46,Nehru Cheddie,STREET - RWD,1:48.344,M3
57,959,James Wood,STREET MODIFIED - RWD,1:49.095,RX7
58,277,Kevin Marques,STREET - FWD,1:49.178,Civic
59,424,Michael Norman,STREET - AWD,1:49.211,STi Hatch
60,136,Roderick Summers,STREET MODIFIED - RWD,1:49.241,G35
61,20,Erik Meadows,TRACK MODIFIED - RWD,1:50.205,Miata
62,680,Liam Laurence,STREET MODIFIED - AWD,1:50.511,Impreza
63,886,Phillip Oliviera,STREET - RWD,1:51.249,FRS
64,333,Brayden Connolly,TRACK MODIFIED - RWD,1:51.595,X1/9
65,121,Joseph King,STREET - FWD,1:54.335,Festiva
66,48,Torry Skurski,TRACK MODIFIED - RWD,1:54.625,328i
67,316,Robert Nelson,UNLIMITED - RWD,1:54.651,X19
68,138,David Bruner,ROADSTER MODIFIED - RWD,1:55.002,Miata
69,325,Michael Hoffman,ROADSTER MODIFIED - RWD,1:55.053,Miata
70,220,Troy Pung,STREET - RWD,2:05.847,M3
71,232,Jordan Nichols,STREET - RWD,2:23.389,Miata
72,318,Matthew Thompson,TRACK MODIFIED - RWD,,Mustang
73,90,Kevin Boehm,TRACK MODIFIED - FWD,,Civic Si Coupe
74,88,Fiona Lou,STREET MODIFIED - RWD,,S2000
75,133,Corrin Tyson,STREET - FWD,,Civic Type R
76,222,Kevin Wesley,UNLIMITED - RWD,,Challenger Hellcat Redeye
