Heat 1 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,8,TheTony Calabrese,UNLIMITED - AWD,1:29.719,STI
2,41,James Houghton,UNLIMITED - FWD,1:30.740,Integra
3,5,Luke McGrew,TRACK MODIFIED - RWD,1:31.955,Viper ACR
4,69,James Forbis,STREET MODIFIED - RWD,1:36.296,Corvette Z06
5,285,Brian Tyson,STREET MODIFIED - RWD,1:36.384,Camaro ZL1
6,45,Paul Curley,TRACK MODIFIED - RWD,1:37.221,Corvette
7,21,Matt DeReus,STREET MODIFIED - RWD,1:37.292,M3
8,22,Jeremy Boysen,STREET MODIFIED - RWD,1:38.856,GT4
9,419,John Hansen,TRACK MODIFIED - RWD,1:38.881,viper
10,77,Alex Artayet,STREET MODIFIED - AWD,1:39.496,WRX STI
11,777,Joshua Halka,STREET - AWD,1:39.776,WRX
12,460,Grant Walker,UNLIMITED - RWD,1:40.500,Miata
13,34,Austin Hertel,STREET - RWD,1:40.693,370z
14,74,Chris Neuman,STREET - RWD,1:40.719,M3
15,123,Christopher Bickford,STREET GT - RWD,1:41.318,Corvette
16,29,Kellan Williams,STREET MODIFIED - RWD,1:41.359,ISF
17,357,Dan Lewis,STREET MODIFIED - RWD,1:41.777,S2000
18,86,Jackie Ding,STREET MODIFIED - RWD,1:41.788,S2000
19,0,Brian/Ron Leazenby/Spear,STREET GT - RWD,1:41.923,Mustang
20,28,Peter Zhang,STREET MODIFIED - AWD,1:42.086,WRX
21,174,James Rauck,STREET - FWD,1:42.945,Type R
22,151,David McCallister,TRACK MODIFIED - AWD,1:43.324,Lancer Evo IX
23,110,Chinchi Chiang,STREET MODIFIED - FWD,1:43.483,Civic Type-R
24,9,Ryan Frew,STREET - RWD,1:43.552,Boxster S
25,150,Anthony Leclerc,STREET - RWD,1:43.953,4C
26,72,Joe Ippolito,STREET - RWD,1:45.182,Camaro
27,2,Derek Roberts,STREET GT - RWD,1:45.207,M3
28,90,Kevin Boehm,TRACK MODIFIED - FWD,1:45.278,Civic Si Coupe
29,36,Ben Mich,STREET MODIFIED - RWD,1:45.709,RX-7
30,88,Fiona Lou,STREET MODIFIED - RWD,1:45.828,S2000
31,199,Ethan Parr,STREET MODIFIED - RWD,1:46.312,Miata
32,625,Sam Bosnian,STREET - RWD,1:46.411,350z Nismo
33,314,Michael Puglisi,TRACK MODIFIED - AWD,1:47.412,Evolution
34,94,Brandon Johnson,STREET - RWD,1:47.582,350Z
35,17,Bob Dice,UNLIMITED - RWD,1:47.698,240sx
36,505,Tim Beek,STREET - RWD,1:48.051,S2000
37,54,Joseph Neuman,STREET - RWD,1:48.455,S2000
38,550,Matt Christie,STREET - RWD,1:48.498,Mustang Eco Boost
39,6,Michael Aumick,STREET MODIFIED - AWD,1:48.703,WRX STI
40,214,Benjamin Skidmore,STREET - RWD,1:49.271,350Z
41,24,Les Epps,STREET - FWD,1:49.707,Acura
42,424,Michael Norman,STREET - AWD,1:50.404,STi Hatch
43,135,Charlie Ensslin,UNLIMITED - RWD,1:50.507,635
44,420,levi brown,TRACK MODIFIED - FWD,1:51.307,civic
45,233,Weiwei SU,STREET MODIFIED - FWD,1:51.599,Civic Type-R FK8
46,185,Kyle Champine,STREET - FWD,1:51.829,Civic
47,33,Chris Boersma,TRACK MODIFIED - FWD,1:52.192,Civic
48,46,Nehru Cheddie,STREET - RWD,1:53.434,330i
49,96,Nigel Teags,STREET MODIFIED - AWD,1:53.467,Impreza WRX
50,81,Benjamin Marouski,STREET - FWD,1:53.510,Cooper
51,20,Erik Meadows,TRACK MODIFIED - RWD,1:53.532,Miata
52,444,Brian Smith,STREET MODIFIED - FWD,1:53.548,GTI
53,75,Ryan Gaydos,STREET - RWD,1:54.362,S2000
54,333,Brayden Connolly,TRACK MODIFIED - RWD,1:54.432,X1/9
55,129,Matt Williams,SUNDAE CUP / SPECFIT - FWD,1:55.239,Fit
56,234,Brad Riemann,STREET - AWD,1:57.728,Focus RS
57,42,Ben Bulthuis,TRACK MODIFIED - FWD,1:58.915,CRX
58,121,Joseph King,STREET - FWD,1:59.179,Festiva
59,556,James Wolters,STREET - FWD,2:00.812,INTEGRA
60,15,Mark Bucheit,SUNDAE CUP / SPECFIT - FWD,2:01.123,Fit
61,133,Corrin Tyson,STREET - FWD,2:01.436,Civic Type R
62,817,Brian Barnhill,STREET MODIFIED - RWD,2:11.248,Miata
63,413,Sally McNulty,SUNDAE CUP / SPECFIT - FWD,2:11.724,Fit
64,40,Chris Reindl,STREET - FWD,2:15.389,Civic
65,91,Gil Winningham,STREET - FWD,,Accord
