Heat 5 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,41,James Houghton,UNLIMITED - FWD,1:23.882,Integra
2,5,Luke McGrew,TRACK MODIFIED - RWD,1:29.219,Viper ACR
3,8,TheTony Calabrese,UNLIMITED - AWD,1:30.382,STI
4,69,James Forbis,STREET MODIFIED - RWD,1:31.433,Corvette Z06
5,314,Michael Puglisi,TRACK MODIFIED - AWD,1:33.537,Evolution
6,21,Matt DeReus,STREET MODIFIED - RWD,1:34.069,M3
7,77,Alex Artayet,STREET MODIFIED - AWD,1:34.495,WRX STI
8,22,Jeremy Boysen,STREET MODIFIED - RWD,1:35.281,GT4
9,357,Dan Lewis,STREET MODIFIED - RWD,1:35.561,S2000
10,90,Kevin Boehm,TRACK MODIFIED - FWD,1:35.620,Civic Si Coupe
11,74,Chris Neuman,STREET - RWD,1:36.049,M3
12,0,Brian/Ron Leazenby/Spear,STREET GT - RWD,1:36.172,Mustang
13,110,Chinchi Chiang,STREET MODIFIED - FWD,1:37.331,Civic Type-R
14,34,Austin Hertel,STREET - RWD,1:37.398,370z
15,777,Joshua Halka,STREET - AWD,1:37.473,WRX
16,123,Christopher Bickford,STREET GT - RWD,1:38.077,Corvette
17,420,levi brown,TRACK MODIFIED - FWD,1:39.287,civic
18,151,David McCallister,TRACK MODIFIED - AWD,1:39.589,Lancer Evo IX
19,150,Anthony Leclerc,STREET - RWD,1:40.060,4C
20,174,James Rauck,STREET - FWD,1:40.489,Type R
21,17,Bob Dice,UNLIMITED - RWD,1:40.536,240sx
22,625,Sam Bosnian,STREET - RWD,1:40.574,350z Nismo
23,72,Joe Ippolito,STREET - RWD,1:40.987,Camaro
24,88,Fiona Lou,STREET MODIFIED - RWD,1:41.045,S2000
25,29,Kellan Williams,STREET MODIFIED - RWD,1:41.286,ISF
26,94,Brandon Johnson,STREET - RWD,1:41.311,350Z
27,550,Matt Christie,STREET - RWD,1:41.832,Mustang Eco Boost
28,36,Ben Mich,STREET MODIFIED - RWD,1:41.877,RX-7
29,9,Ryan Frew,STREET - RWD,1:42.856,Boxster S
30,505,Tim Beek,STREET - RWD,1:42.909,S2000
31,234,Brad Riemann,STREET - AWD,1:43.204,Focus RS
32,199,Ethan Parr,STREET MODIFIED - RWD,1:43.277,Miata
33,10,Yo Keutla,STREET - RWD,1:43.787,Cayman S
34,133,Corrin Tyson,STREET - FWD,1:44.650,Civic Type R
35,33,Chris Boersma,TRACK MODIFIED - FWD,1:45.206,Civic
36,24,Les Epps,STREET - FWD,1:45.393,Acura
37,214,Benjamin Skidmore,STREET - RWD,1:46.127,350Z
38,20,Erik Meadows,TRACK MODIFIED - RWD,1:46.336,Miata
39,75,Ryan Gaydos,STREET - RWD,1:46.734,S2000
40,81,Benjamin Marouski,STREET - FWD,1:47.281,Cooper
41,46,Nehru Cheddie,STREET - RWD,1:47.894,330i
42,185,Kyle Champine,STREET - FWD,1:49.676,Civic
43,121,Joseph King,STREET - FWD,1:51.551,Festiva
44,42,Ben Bulthuis,TRACK MODIFIED - FWD,1:52.606,CRX
45,333,Brayden Connolly,TRACK MODIFIED - RWD,1:55.171,X1/9
46,15,Mark Bucheit,SUNDAE CUP / SPECFIT - FWD,1:58.016,Fit
47,40,Chris Reindl,STREET - FWD,2:00.897,Civic
48,817,Brian Barnhill,STREET MODIFIED - RWD,2:08.102,Miata
