Heat 6 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,41,James Houghton,UNLIMITED - FWD,2:08.107,Integra
2,3,Jeremy Swenson,TRACK MODIFIED - RWD,2:15.623,Corvette
3,106,Feras Qartoumy,TRACK MODIFIED - RWD,2:17.157,Corvette Z06
4,5,Luke McGrew,TRACK MODIFIED - RWD,2:17.864,Viper ACR
5,33,Chris Boersma,TRACK MODIFIED - FWD,2:21.126,Civic
6,715,Blue By You Racing,STREET MODIFIED - RWD,2:23.145,Mustang Boss 302
7,222,Kevin Wesley,UNLIMITED - RWD,2:24.230,Challenger Hellcat Redeye
8,221,shawn krebsbach,STREET MODIFIED - AWD,2:24.632,Lancer Evolution 9
9,21,Evolve Autosport,STREET MODIFIED - RWD,2:27.759,M3
10,22,Jeremy Boysen,STREET MODIFIED - RWD,2:28.017,gT4
11,196,Benjamin Councill,TRACK MODIFIED - RWD,2:28.449,C5Z06
12,0,Cars and Coffee Survivor Racing,STREET GT - RWD,2:29.492,Mustang
13,62,Brian Blaine,TRACK MODIFIED - RWD,2:29.618,Rx7
14,357,Dan Lewis,STREET MODIFIED - RWD,2:30.279,S2000
15,110,Jason Owens,STREET MODIFIED - FWD,2:30.293,Civic Type-R
16,90,Kevin Boehm,TRACK MODIFIED - FWD,2:30.302,Civic Si Coupe
17,460,Grant Walker,UNLIMITED - RWD,2:30.783,Miata
18,777,Joshua Halka,STREET - AWD,2:31.277,WRX
19,34,Austin Hertel,STREET - RWD,2:31.283,370z
20,86,Jackie Ding,STREET MODIFIED - RWD,2:31.434,GR Supra #TA90
21,123,Christopher Bickford,STREET GT - RWD,2:31.791,Corvette
22,28,Peter Zhang,STREET MODIFIED - AWD,2:31.856,WRX
23,56,Charles Miller,STREET - AWD,2:33.943,Evo IX
24,174,James Rauck,STREET - FWD,2:34.428,Type R
25,36,Ben Mich,STREET MODIFIED - RWD,2:34.876,RX-7
26,311,anthony estrella,TRACK MODIFIED - FWD,2:35.107,civic
27,212,Kevin Wesley,TRACK MODIFIED - RWD,2:35.310,Challenger Scat Pack
28,88,Fiona Lou,STREET MODIFIED - RWD,2:35.746,S2000
29,74,Chris Neuman,STREET - RWD,2:36.393,M3
30,719,James Mehl,TRACK MODIFIED - RWD,2:37.015,S2000
31,12,Andrew Sonnevil,ROADSTER MODIFIED - RWD,2:37.721,Miata
32,625,Sam Bosnian,STREET - RWD,2:38.389,350z Nismo
33,46,Nehru Cheddie,STREET - RWD,2:40.321,M3
34,246,Josh Tenge,TRACK MODIFIED - AWD,2:40.485,tt rs
35,122,ben ryan,UNLIMITED - RWD,2:40.881,325i
36,14,Kal Fortner,STREET MODIFIED - AWD,2:41.000,S4
37,130,Coby Shield,STREET GT - RWD,2:42.870,Camaro
38,75,Ryan Gaydos,STREET - RWD,2:44.050,S2000
39,73,David Hornburg,ROADSTER MODIFIED - RWD,2:46.483,Miata
40,800,Colin Enz,STREET - AWD,2:46.931,Focus RS
41,375,Carson Christel,TRACK MODIFIED - FWD,2:46.980,GTi
42,54,Joseph Neuman,STREET - RWD,2:47.196,S2000
43,211,Troy Videkovich,STREET MODIFIED - AWD,2:47.943,WRX
44,617,Chris Law,ROADSTER MODIFIED - RWD,2:49.684,Miata
45,23,Nilesh Patel,STREET MODIFIED - AWD,2:51.683,Evo
46,89,James Kelly,STREET - RWD,2:52.131,BRZ
47,621,Troy Mass,STREET - RWD,2:52.305,BRZ
48,20,Erik Meadows,TRACK MODIFIED - RWD,2:53.673,Miata
49,121,Joseph King,STREET - FWD,2:54.700,Festiva
50,549,Bryce Rehder,STREET - RWD,2:58.850,S2000
51,93,Alexander Mishra,SUNDAE CUP / SPECFIT - FWD,3:08.176,Fit
52,15,Mark Bucheit,SUNDAE CUP / SPECFIT - FWD,3:13.154,Fit
53,424,Michael Norman,STREET - AWD,5:37.654,STi Hatch
54,185,Kyle card,STREET - FWD,5:38.055,Civic
