Heat 4 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,5,Luke McGrew,TRACK MODIFIED - RWD,1:31.612,Viper ACR
2,715,Blue By You Racing,STREET MODIFIED - RWD,1:34.668,Mustang Boss 302
3,69,James Forbis,STREET MODIFIED - RWD,1:35.730,Corvette Z06
4,45,Paul Curley,TRACK MODIFIED - RWD,1:35.770,Corvette
5,130,Coby Shield,STREET GT - RWD,1:35.916,Camaro
6,22,Jeremy Boysen,STREET MODIFIED - RWD,1:37.250,GT4
7,714,Blue By You Racing,UNLIMITED - RWD,1:37.393,Mustang
8,777,Joshua Halka,STREET - AWD,1:37.963,WRX
9,77,Alex Artayet,STREET MODIFIED - AWD,1:38.229,WRX STI
10,28,Peter Zhang,STREET MODIFIED - AWD,1:38.863,WRX
11,36,Ben Mich,STREET MODIFIED - RWD,1:39.325,RX-7
12,59,Justin Crenshaw,TRACK MODIFIED - FWD,1:39.852,xA
13,101,Craig Krzywicki,TRACK MODIFIED - RWD,1:40.013,Brz
14,60,Mark Brylo,STREET - AWD,1:40.163,Lancer Evolution
15,37,Ivan Adamiec,STREET MODIFIED - AWD,1:40.355,90
16,7,Scott Merker,ROADSTER MODIFIED - RWD,1:40.389,MX-5
17,159,Joshua Rubenstein,ROADSTER MODIFIED - RWD,1:40.673,Miata
18,999,Elias Espinal,STREET - FWD,1:42.972,Civic Type R
19,404,Donald TsunMin Lui,STREET - RWD,1:43.540,frs
20,20,Erik Meadows,TRACK MODIFIED - RWD,1:44.135,Miata
21,621,Troy Mass,STREET - RWD,1:44.166,BRZ
22,25,Cote Taylor,STREET - RWD,1:44.872,Rx8
23,213,Karl Hertel,TRACK MODIFIED - FWD,1:44.932,Odyssey
24,102,emil blanco,STREET - RWD,1:45.132,fr-s
25,17,Orlando Figueroa,TRACK MODIFIED - RWD,1:45.944,S2000
26,121,Joseph King,STREET - FWD,1:48.067,Festiva
27,134,David Albrecht,STREET - RWD,1:48.335,RX-8
28,4,Michael Thoma,TRACK MODIFIED - FWD,1:48.920,Celica
29,80,William Shelter,STREET GT - RWD,1:57.429,Mustang GT
30,42,Ben Bulthuis,TRACK MODIFIED - FWD,,CRX
