Heat 4 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,72,Feras Qartoumy,TRACK MODIFIED - RWD,1:26.713,Corvette
2,414,RS Motors,STREET MODIFIED - AWD,1:28.443,Evo IX
3,86,Jackie Ding,STREET MODIFIED - RWD,1:29.048,Supra #TA90
4,150,Alexander Moss,STREET MODIFIED - RWD,1:29.447,S2000
5,121,Ryan Mathews,STREET MODIFIED - RWD,1:30.454,Z06
6,71,Joel Morrison,TRACK MODIFIED - RWD,1:30.630,S2000
7,314,Michael Puglisi,TRACK MODIFIED - AWD,1:30.906,EVO IX
8,115,Electron Sport,STREET MODIFIED - RWD,1:30.931,Corvette
9,130,Coby Shield,STREET GT - RWD,1:30.946,Camaro
10,6,Michael Aumick,STREET MODIFIED - AWD,1:32.068,STI
11,22,Jeremy Boysen,STREET MODIFIED - RWD,1:32.438,GT4
12,87,Team Twitch,STREET - RWD,1:32.475,M3
13,34,Austin Hertel,STREET - RWD,1:32.947,370z
14,77,Alex Artayet,STREET GT - RWD,1:33.610,M3
15,335,Christopher Bickford,STREET GT - RWD,1:34.295,Corvette
16,511,Peter Granberg,STREET MODIFIED - RWD,1:35.142,BRZ
17,97,Anthony Leclerc,STREET - RWD,1:35.657,4C
18,16,Alex Peitz,STREET GT - RWD,1:35.757,Corvette
19,625,Samel Meseljevic,STREET - RWD,1:35.917,350Z Nismo
20,36,Ben Mich,STREET MODIFIED - RWD,1:35.936,Rx7
21,330,Vladimir Skirda,STREET - AWD,1:35.996,STi
22,10,Kyoo Lee,STREET - AWD,1:36.107,Lancer Evolution
23,66,Ben Thorn,STREET - FWD,1:36.678,Civic
24,60,Mark Brylo,STREET - AWD,1:36.716,Evo
25,117,Jared Garcia,STREET MODIFIED - RWD,1:36.913,S2000
26,35,Alex Westergaard,STREET MODIFIED - RWD,1:37.022,S2000
27,70,Nicholas Kohrs,STREET MODIFIED - FWD,1:37.150,Civic Si
28,17,Ryan Frew,STREET GT - RWD,1:37.403,Boxster S
29,724,Mingzhao Chen,STREET MODIFIED - AWD,1:37.581,EVO X
30,151,David McCallister,TRACK MODIFIED - AWD,1:37.829,Lancer Evolution IX
31,18,Dominic Loffredi,STREET - RWD,1:38.017,M3
32,27,Ken Devriese,STREET - RWD,1:38.177,S2000
33,14,Kal Fortner,STREET - AWD,1:38.289,S3
34,259,Nathan Park,STREET MODIFIED - AWD,1:38.527,Evo x
35,74,Grant Davidson,STREET - FWD,1:39.033,Integra
36,75,Ryan Gaydos,STREET - RWD,1:39.224,S2000
37,46,Nehru Cheddie,STREET - RWD,1:39.278,M3
38,23,Nilesh Patel,STREET MODIFIED - AWD,1:39.466,EVO 9
39,11,Brandon Ham,STREET GT - RWD,1:39.528,911
40,310,Mike Coons,STREET - AWD,1:39.999,Impreza WRX STI
41,118,Jason Owens,STREET - FWD,1:40.403,Civic Si
42,32,Yo Keutla,STREET - RWD,1:41.289,Cayman
43,31,Bart Goldenbeld,TRACK MODIFIED - RWD,1:42.035,Miata
44,69,Kevin Hardin,STREET - RWD,1:42.743,350z
45,262,Julian Mancuso,STREET - RWD,1:42.774,FRS
46,33,Dale Henry,STREET MODIFIED - RWD,1:44.644,FRS
47,38,Ernestas Puzelis,TRACK MODIFIED - RWD,1:45.108,370z
48,88,Chad Meeks,SUNDAE CUP / SPECFIT - FWD,1:46.063,Fit Sport
49,48,Torry Skurski,STREET - RWD,1:46.121,328i
50,666,Ryan Borst,STREET MODIFIED - FWD,1:47.042,Civic EX
51,129,Matt Williams,SUNDAE CUP / SPECFIT - FWD,1:47.616,Fit
52,37,Timothy Newsome,STREET MODIFIED - RWD,1:47.937,RX-7
53,395,Michael Smith,SUNDAE CUP / SPECFIT - FWD,1:48.985,Fit
54,64,Grant Mullet,STREET GT - RWD,1:51.636,Civic Si
55,8,Not So Fit Racing,SUNDAE CUP / SPECFIT - FWD,1:53.702,Fit
56,28,Peter Zhang,STREET MODIFIED - AWD,,Impreza WRX
58,,,,,
59,,,,,
60,,,,,
