Heat 3 Results All Groups - Night/Wet,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
23,44,Joel Phillips,ROADSTER MODIFIED - RWD,,Miata
2,56,Charles Miller,STREET - AWD,2:08.565,Evo IX
16,99,jake kistka,STREET - FWD,2:32.499,Civic si
12,266,Jim Kenevan,STREET - RWD,2:29.433,BRZ
13,9,Ryan Frew,STREET - RWD,2:29.451,Boxster S
14,624,Tyler Vogt,STREET - RWD,2:30.387,Camaro LT
15,262,Julian Mancuso,STREET - RWD,2:32.171,FRS
17,123,Christopher Bickford,STREET - RWD,2:33.102,370Z
19,89,James Kelly,STREET - RWD,2:41.200,BRZ
20,323,Michael Peters,STREET - RWD,2:48.682,S2000
21,171,Richard Soukhavong,STREET - RWD,3:01.166,NSX
9,11,Brandon Ham,STREET GT - RWD,2:25.935,911 S
3,14,Kal Fortner,STREET MODIFIED - AWD,2:12.621,S4
4,28,Peter Zhang,STREET MODIFIED - AWD,2:12.664,WRX
5,940,Stephen Barnes,STREET MODIFIED - AWD,2:16.687,Wrx Wagon
6,298,Anthony Novelli,STREET MODIFIED - AWD,2:19.086,STI
24,70,Six Star Motorsports,STREET MODIFIED - AWD,,Impreza L
1,21,Evolve Autosport,STREET MODIFIED - RWD,2:04.499,M3
7,511,Peter Granberg,STREET MODIFIED - RWD,2:19.994,BRZ
8,128,josh hanger,STREET MODIFIED - RWD,2:21.760,rx7
11,139,Kevin Head,STREET MODIFIED - RWD,2:27.049,RX7
22,158,Joseph Dale,STREET MODIFIED - RWD,,S2000
18,93,Alexander Mishra,SUNDAE CUP / SPECFIT - FWD,2:35.063,Fit
10,151,David McCallister,TRACK MODIFIED - AWD,2:26.076,Lancer Evo IX
