Heat 5 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,41,James Houghton,UNLIMITED - FWD,1:25.634,Integra
2,84,Andy Smedegard,TRACK MODIFIED - RWD,1:32.641,M3
3,314,Michael Puglisi,TRACK MODIFIED - AWD,1:33.105,Evolution
4,70,Six Star Motorsports,STREET MODIFIED - AWD,1:34.867,Impreza L
5,83,Alex Moss,STREET MODIFIED - RWD,1:35.175,S2000
6,6,Michael Aumick,STREET MODIFIED - AWD,1:36.204,WRX STI
7,21,Evolve Autosport,STREET MODIFIED - RWD,1:36.897,M3
8,334,John Koster,UNLIMITED - FWD,1:37.390,Civic
9,56,Charles Miller,STREET - AWD,1:38.009,Evo IX
10,449,Luigi Montanez,TRACK MODIFIED - AWD,1:38.254,INTEGRA
11,28,Peter Zhang,STREET MODIFIED - AWD,1:38.522,WRX
12,759,Darby Barber,STREET MODIFIED - RWD,1:39.223,miata
13,777,Joshua Halka,STREET - AWD,1:39.648,WRX
14,298,Anthony Novelli,STREET MODIFIED - AWD,1:39.881,STI
15,511,Peter Granberg,STREET MODIFIED - RWD,1:40.457,BRZ
16,174,James Rauck,STREET - FWD,1:40.675,Type R
17,128,josh hanger,STREET MODIFIED - RWD,1:40.780,rx7
18,36,Ben Mich,STREET MODIFIED - RWD,1:40.937,RX-7
19,68,Tony Desero,TRACK MODIFIED - RWD,1:41.172,m3
20,170,Vito Jin,STREET - RWD,1:41.295,M3
21,748,Devin Giles,TRACK MODIFIED - RWD,1:41.386,S2000
22,139,Kevin Head,STREET MODIFIED - RWD,1:41.872,RX7
23,531,Evan Weider,STREET - FWD,1:41.959,Civic
24,558,Joseph Mielke,STREET - AWD,1:42.004,Impreza STi
25,9,Ryan Frew,STREET - RWD,1:42.176,Boxster S
26,151,David McCallister,TRACK MODIFIED - AWD,1:42.381,Lancer Evo IX
27,625,Sam Bosnian,STREET - RWD,1:42.444,350z Nismo
28,23,Nilesh Patel,STREET MODIFIED - AWD,1:42.685,Evo
29,44,Joel Phillips,ROADSTER MODIFIED - RWD,1:43.564,Miata
30,176,Andy Voelkel,TRACK MODIFIED - RWD,1:43.590,Corvette
31,940,Stephen Barnes,STREET MODIFIED - AWD,1:44.155,Wrx Wagon
32,164,Ken Devriese,STREET - RWD,1:44.524,S2000
33,31,BART GOLDENBELD,ROADSTER MODIFIED - RWD,1:44.859,Miata
34,73,David Hornburg,ROADSTER MODIFIED - RWD,1:44.969,Miata
35,11,Brandon Ham,STREET GT - RWD,1:45.543,911 S
36,103,Max Schrager,STREET - AWD,1:46.148,wrx sti
37,624,Tyler Vogt,STREET - RWD,1:46.457,Camaro LT
38,171,Richard Soukhavong,STREET - RWD,1:47.302,NSX
39,268,Kaval Vilkhu,STREET MODIFIED - FWD,1:47.536,Civic
40,129,Brap- ish,STREET - RWD,1:47.619,S2000
41,621,Troy Mass,STREET - RWD,1:48.909,BRZ
42,266,Jim Kenevan,STREET - RWD,1:49.098,BRZ
43,89,James Kelly,STREET - RWD,1:49.283,BRZ
44,262,Julian Mancuso,STREET - RWD,1:49.517,FRS
45,158,Joseph Dale,STREET MODIFIED - RWD,1:50.410,S2000
46,161,Ernestas Puzelis,TRACK MODIFIED - RWD,1:51.765,370z
47,48,Torry Skurski,STREET - RWD,1:51.776,328i
48,192,Michael Horn,STREET - FWD,1:52.478,Jetta
49,323,Michael Peters,STREET - RWD,1:52.518,S2000
50,99,jake kistka,STREET - FWD,1:59.081,Civic si
