Heat 6 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,72,Feras Qartoumy,TRACK MODIFIED - RWD,1:30.548,Corvette
2,150,Alexander Moss,STREET MODIFIED - RWD,1:33.466,S2000
3,121,Ryan Mathews,STREET MODIFIED - RWD,1:35.203,Z06
4,62,Brian Blaine,TRACK MODIFIED - RWD,1:36.675,Rx7
5,115,Darius Zajac,STREET MODIFIED - RWD,1:37.302,Corvette
6,130,Coby Shield,STREET GT - RWD,1:37.752,Camaro
7,222,Kevin Wesley,UNLIMITED - RWD,1:38.207,Challenger Redeye
8,7,Joshua Halka,STREET - AWD,1:38.394,Impreza WRX
9,511,Peter Granberg,STREET MODIFIED - RWD,1:39.495,BRZ
10,5,Dan Ireland,STREET GT - RWD,1:39.804,Grand Sport
11,335,Christopher Bickford,STREET GT - RWD,1:39.984,Camaro
12,77,Alex Artayet,STREET GT - RWD,1:40.162,M3
13,36,Ben Mich,STREET MODIFIED - RWD,1:41.448,Rx7
14,298,Anthony Carrie Novelli,STREET MODIFIED - AWD,1:42.107,WRX STI
15,625,samel meseljevic,STREET - RWD,1:42.298,350Z Nismo
16,66,Ben Thorn,STREET - FWD,1:42.327,Civic
17,606,Arwin Chen,TRACK MODIFIED - RWD,1:42.539,Z06
18,94,Nicholas Phillips,STREET GT - RWD,1:43.009,Z06
19,718,Mark Montayne,TRACK MODIFIED - RWD,1:43.322,Z06
20,16,Alex Peitz,STREET GT - RWD,1:43.654,Corvette
21,70,Nicholas Kohrs,STREET MODIFIED - FWD,1:44.049,Civic Si
22,14,Kal Fortner,STREET MODIFIED - AWD,1:44.050,S3
23,13,jerami bailey,STREET MODIFIED - RWD,1:44.172,FRS
24,85,Jimmy Diggs,STREET - RWD,1:44.876,S2000
25,31,BART GOLDENBELD,TRACK MODIFIED - RWD,1:45.682,Miata
26,118,Jason Owens,STREET - FWD,1:46.269,Civic Si
27,69,Kevin Hardin,STREET - RWD,1:49.639,350z
28,88,chad meeks,SUNDAE CUP/SPEC FIT - FWD,1:54.753,Fit Sport
29,993,Christopher Watson,STREET MODIFIED - RWD,1:56.441,Miata
30,139,Kevin Head,SUNDAE CUP/SPEC FIT - FWD,2:01.001,Fit
31,8,Not So Fit Racing,SUNDAE CUP/SPEC FIT - FWD,2:01.258,Fit
32,495,Richard Cho,STREET - RWD,,370z
33,777,Dewey DeWitt,STREET MODIFIED - AWD,,Boogeyman
34,86,Jackie Ding,STREET MODIFIED - RWD,,Supra #TA90
