Heat 1 Results All Groups (WET),,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,49,Snap Understeer,STREET MODIFIED - AWD,1:59.009,TTRS
2,133,Dan Foley,STREET MODIFIED - AWD,2:03.124,Evo 10
3,155,Joseph Mielke,STREET - AWD,2:05.212,STI
4,7,Joshua Halka,STREET - AWD,2:06.162,Impreza WRX
5,55,Charles Miller,STREET - AWD,2:06.668,Evo IX
6,115,Electron Sport,STREET MODIFIED - RWD,2:09.105,Corvette
7,222,Kevin Wesley,UNLIMITED - RWD,2:10.463,Challenger Scatpack
8,60,Mark Brylo,STREET - AWD,2:13.417,Evo
9,14,Kal Fortner,STREET MODIFIED - AWD,2:13.820,S4
10,511,Peter Granberg,STREET MODIFIED - RWD,2:14.867,BRZ
11,64,Grant Mullet,STREET GT - RWD,2:14.959,Z06
12,83,Shane Duncan,STREET - RWD,2:16.734,S2000
13,79,Nicholas Kohrs,STREET MODIFIED - FWD,2:17.951,Civic Si
14,48,Torry Skurski,STREET - RWD,2:18.782,328i
15,129,Matt Williams,SUNDAE CUP / SPECFIT - FWD,2:18.804,Fit
16,8,Not So Fit Racing,SUNDAE CUP / SPECFIT - FWD,2:19.120,Fit
17,32,Mullet Racing,TRACK MODIFIED - RWD,2:19.124,Corvette
18,28,Peter Zhang,STREET MODIFIED - AWD,2:20.674,Impreza WRX
19,52,Nicholas Gardner,TRACK MODIFIED - RWD,2:21.316,Shelby GT500
20,74,Grant Davidson,STREET - FWD,2:26.985,Integra
21,66,Ben Thorn,STREET - FWD,2:58.475,Civic
