Heat 4 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,72,Feras Qartoumy,TRACK MODIFIED - RWD,1:27.097,Corvette
2,3,Jeremy Swenson,TRACK MODIFIED - RWD,1:28.854,Corvette
3,414,RS Motors,STREET MODIFIED - AWD,1:32.256,Evo IX
4,84,ASM MS7,TRACK MODIFIED - RWD,1:32.477,M3
5,126,Eric Fleming,TRACK MODIFIED - RWD,1:32.731,Corvette
6,86,Jackie Ding,STREET MODIFIED - RWD,1:32.799,Supra #TA90
7,71,Joel Morrison,TRACK MODIFIED - RWD,1:33.096,S2000
8,460,Grant Walker,TRACK MODIFIED - RWD,1:34.555,Miata
9,115,Electron Sport,STREET MODIFIED - RWD,1:36.027,Corvette
10,133,Dan Foley,STREET MODIFIED - AWD,1:36.438,Evo 10
11,123,Chris Bickford,UNLIMITED - RWD,1:36.637,Camaro
12,7,Joshua Halka,STREET - AWD,1:36.730,Impreza WRX
13,49,Snap Understeer,STREET MODIFIED - AWD,1:37.389,TTRS
14,6,Michael Aumick,STREET MODIFIED - AWD,1:37.721,STI
15,52,Nicholas Gardner,TRACK MODIFIED - RWD,1:37.841,Shelby GT500
16,128,Joshua Hanger,STREET MODIFIED - RWD,1:38.079,RX-7
17,28,Peter Zhang,STREET MODIFIED - AWD,1:38.273,Impreza WRX
18,330,Vladimir Skirda,STREET - AWD,1:38.890,STi
19,77,Alex Artayet,STREET GT - RWD,1:39.149,M3
20,35,Alex Westergaard,STREET MODIFIED - RWD,1:39.234,S2000
21,63,Luca Barberis,STREET MODIFIED - AWD,1:39.672,Lancer Evolution IX
22,55,Charles Miller,STREET - AWD,1:39.743,Evo IX
23,155,Joseph Mielke,STREET - AWD,1:39.772,STI
24,222,Kevin Wesley,UNLIMITED - RWD,1:39.899,Challenger Scatpack
25,62,Brian Blaine,TRACK MODIFIED - RWD,1:39.950,Rx7
26,10,Kyoo Lee,STREET - AWD,1:40.218,Lancer Evolution
27,625,Samel Meseljevic,STREET - RWD,1:40.433,350Z Nismo
28,233,Wilbur Huang,STREET GT - RWD,1:40.782,M4
29,117,Jared Garcia,STREET MODIFIED - RWD,1:40.795,S2000
30,79,Nicholas Kohrs,STREET MODIFIED - FWD,1:40.854,Civic Si
31,19,Scott Hollingsworth,STREET MODIFIED - RWD,1:41.981,S2000
32,575,Clay Davidson,STREET MODIFIED - RWD,1:42.043,Mustang
33,83,Shane Duncan,STREET - RWD,1:42.341,S2000
34,90,Real Jimmy Diggs,STREET GT - RWD,1:42.401,Supra
35,511,Peter Granberg,STREET MODIFIED - RWD,1:42.405,BRZ
36,31,Bart Goldenbeld,TRACK MODIFIED - RWD,1:42.827,Miata
37,17,Ryan Frew,STREET GT - RWD,1:42.963,Boxster S
38,495,Richard Cho,STREET - RWD,1:43.074,370z
39,66,Ben Thorn,STREET - FWD,1:43.165,Civic
40,85,Phiona Lou,STREET - RWD,1:44.158,S2000
41,187,Nick Stentiford,STREET - RWD,1:44.912,Silvia
42,321,Teagan Thostenson,STREET - AWD,1:44.966,STi
43,60,Mark Brylo,STREET - AWD,1:45.422,Evo
44,25,Max Schrager,STREET - AWD,1:45.775,STi
45,118,Jason Owens,STREET - FWD,1:47.033,Civic Si
46,375,Carson Christel,TRACK MODIFIED - FWD,1:48.315,GTI
47,323,Michael Peters,STREET MODIFIED - RWD,1:49.683,S2000
48,24,Jacob Elkins,STREET MODIFIED - RWD,1:51.279,BRZ
49,48,Torry Skurski,STREET - RWD,1:51.831,328i
50,129,Matt Williams,SUNDAE CUP / SPECFIT - FWD,1:53.573,Fit
51,440,Taylor Steck,STREET - RWD,1:54.205,350z
52,56,Patrick Hardin,STREET - FWD,1:55.072,Civic Si
53,139,Kevin Head,SUNDAE CUP / SPECFIT - FWD,1:56.394,Fit
54,296,Ryan McGriff,TRACK MODIFIED - RWD,1:56.947,SC400
55,8,Not So Fit Racing,SUNDAE CUP / SPECFIT - FWD,1:57.650,Fit
56,333,Darby Barber,STREET MODIFIED - RWD,2:20.014,Miata
57,74,Grant Davidson,STREET - FWD,2:23.819,Integra
58,135,Charlie Ensslin,UNLIMITED - AWD,2:30.609,STi
59,505,Tim Beek,STREET - RWD,11:57.390,Sky Redline
60,512,Savanna Little,STREET MODIFIED - RWD,,Skyline
61,32,Mullet Racing,TRACK MODIFIED - RWD,,Corvette
