Heat 5 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,3,Team Swurley Jeremy Swenson Paul Curley,TRACK MODIFIED - RWD,1:27.702,Corvette
2,126,Eric Fleming,TRACK MODIFIED - RWD,1:27.743,Corvette
3,414,RS Motors,STREET MODIFIED - AWD,1:30.121,Evo IX
4,86,Jackie Ding,STREET MODIFIED - RWD,1:30.566,Supra #TA90
5,121,Ryan Mathews,STREET MODIFIED - RWD,1:31.392,Z06
6,714,Eric Rockwell,TRACK MODIFIED - RWD,1:32.184,Shelby GT500
7,691,James Forbis,STREET MODIFIED - RWD,1:33.441,Corvette
8,130,Coby Shield,STREET GT - RWD,1:33.900,Camaro
9,22,Jeremy Boysen,STREET MODIFIED - RWD,1:34.410,GT4
10,115,Electron Sport,STREET MODIFIED - RWD,1:34.775,Corvette
11,133,Dan Foley,STREET MODIFIED - AWD,1:34.839,Evo 10
12,34,Austin Hertel,TRACK MODIFIED - RWD,1:35.051,370z
13,77,Alex Artayet,STREET GT - RWD,1:35.601,M3
14,82,Logan Carswell,UNLIMITED - RWD,1:35.856,RX7
15,32,Ron Mullet,TRACK MODIFIED - RWD,1:36.108,Corvette
16,7,Joshua Halka,STREET - AWD,1:36.215,Impreza WRX
17,335,Christopher Bickford,STREET GT - RWD,1:36.555,Corvette
18,36,Ben Mich,STREET MODIFIED - RWD,1:36.756,Rx7
19,70,Nicholas Kohrs,STREET MODIFIED - FWD,1:36.860,Civic Si
20,330,Vladimir Skirda,STREET - AWD,1:37.105,STi
21,155,Joseph Mielke,STREET - AWD,1:37.443,STI
22,202,John Renna,TRACK MODIFIED - RWD,1:37.723,RX-7
23,35,Alex Westergaard,STREET MODIFIED - RWD,1:38.086,S2000
24,117,Jared Garcia,STREET MODIFIED - RWD,1:38.111,S2000
25,60,Mark Brylo,STREET - AWD,1:38.194,Evo
26,76,David Ottobre,STREET MODIFIED - RWD,1:38.235,240sx
27,575,Clay Davidson,STREET MODIFIED - RWD,1:38.462,Mustang
28,64,Grant Mullet,STREET GT - RWD,1:38.846,Civic Si
29,460,Grant Walker,TRACK MODIFIED - RWD,1:39.167,Miata
30,52,Nicholas Gardner,TRACK MODIFIED - RWD,1:39.260,Shelby GT500
31,94,Nicholas Phillips,STREET GT - RWD,1:39.326,Z06
32,16,Alex Peitz,STREET GT - RWD,1:39.334,Corvette
33,495,Richard Cho,STREET - RWD,1:39.576,370z
34,23,Nilesh Patel,STREET MODIFIED - AWD,1:39.882,EVO 9
35,156,Neil Hancock,STREET - AWD,1:39.918,WRX
36,298,Orange Crush Racing,STREET MODIFIED - AWD,1:40.033,WRX STI
37,151,David McCallister,TRACK MODIFIED - AWD,1:40.261,Lancer Evolution IX
38,511,Peter Granberg,STREET MODIFIED - RWD,1:40.556,BRZ
39,13,Jerami Bailey,STREET MODIFIED - RWD,1:41.084,FRS
40,619,Taylor Bowling,STREET - RWD,1:41.114,Cayman S
41,777,Dewey DeWitt,STREET - RWD,1:41.325,BRZ
42,32,Yo Keutla,STREET - RWD,1:41.405,Cayman
43,118,Jason Owens,STREET - FWD,1:41.471,Civic Si
44,6,Michael Aumick,STREET MODIFIED - AWD,1:41.471,STI
45,145,Devin Hofmann,STREET MODIFIED - AWD,1:41.712,WRX STI
46,27,Ken Devriese,STREET - RWD,1:42.341,S2000
47,83,Shane Duncan,STREET - RWD,1:42.575,S2000
48,65,Ben Lin,STREET - AWD,1:43.266,Evo
49,46,Nehru Cheddie,STREET - RWD,1:43.368,M3
50,444,Brian Smith,STREET MODIFIED - FWD,1:44.385,GTI
51,67,Yunan Liu,STREET - RWD,1:45.364,S2000
52,39,Kevin Tanakhone,STREET - RWD,1:46.167,S2000
53,42,Ben Bulthuis,TRACK MODIFIED - FWD,1:49.240,Civic
54,31,Bart Goldenbeld,TRACK MODIFIED - RWD,1:49.867,Miata
55,270,Max Rooney,STREET - FWD,1:50.020,Civic Si
56,38,Ernestas Puzelis,TRACK MODIFIED - RWD,1:50.320,370z
57,20,Freddy Assuncao,TRACK MODIFIED - AWD,1:51.157,Jetta GLI
58,48,Torry Skurski,STREET - RWD,1:51.258,328i
59,440,Taylor Steck,STREET - RWD,1:51.589,350z
60,68,Daniel Montanez,STREET - RWD,1:56.038,BRZ
61,139,Kevin Head,SUNDAE CUP / SPECFIT - FWD,1:56.214,Fit
62,8,Not So Fit Racing,SUNDAE CUP / SPECFIT - FWD,1:57.493,Fit
63,14,Kal Fortner,UNLIMITED - AWD,,S4
64,28,Peter Zhang,STREET MODIFIED - AWD,,Impreza WRX
65,395,Michael Smith,SUNDAE CUP / SPECFIT - FWD,,Fit
