Results Overall - All Groups,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,3,Team Swurley Jeremy Swenson Paul Curley,TRACK MODIFIED - RWD,1:26.881,Corvette
2,126,Eric Fleming,TRACK MODIFIED - RWD,1:27.743,Corvette
3,72,Feras Qartoumy,TRACK MODIFIED - RWD,1:29.090,Corvette
4,86,Jackie Ding,STREET MODIFIED - RWD,1:29.457,Supra #TA90
5,414,RS Motors,STREET MODIFIED - AWD,1:30.121,Evo IX
6,121,Ryan Mathews,STREET MODIFIED - RWD,1:31.347,Z06
7,714,Eric Rockwell,TRACK MODIFIED - RWD,1:32.184,Shelby GT500
8,130,Coby Shield,STREET GT - RWD,1:32.849,Camaro
9,691,James Forbis,STREET MODIFIED - RWD,1:33.411,Corvette
10,6,Michael Aumick,STREET MODIFIED - AWD,1:33.714,STI
11,22,Jeremy Boysen,STREET MODIFIED - RWD,1:33.995,GT4
12,82,Logan Carswell,UNLIMITED - RWD,1:34.225,RX7
13,115,Electron Sport,STREET MODIFIED - RWD,1:34.283,Corvette
14,7,Joshua Halka,STREET - AWD,1:34.362,Impreza WRX
15,133,Dan Foley,STREET MODIFIED - AWD,1:34.839,Evo 10
16,460,Grant Walker,TRACK MODIFIED - RWD,1:34.857,Miata
17,34,Austin Hertel,TRACK MODIFIED - RWD,1:35.051,370z
18,335,Christopher Bickford,STREET GT - RWD,1:35.494,Corvette
19,77,Alex Artayet,STREET GT - RWD,1:35.601,M3
20,314,Michael Puglisi,TRACK MODIFIED - AWD,1:35.675,EVO IX
21,61,Steven Greene,STREET GT - RWD,1:35.818,Corvette Grand Sport
22,28,Peter Zhang,STREET MODIFIED - AWD,1:35.844,Impreza WRX
23,32,Ron Mullet,TRACK MODIFIED - RWD,1:35.926,Corvette
24,36,Ben Mich,STREET MODIFIED - RWD,1:36.756,Rx7
25,70,Nicholas Kohrs,STREET MODIFIED - FWD,1:36.860,Civic Si
26,117,Jared Garcia,STREET MODIFIED - RWD,1:36.964,S2000
27,330,Vladimir Skirda,STREET - AWD,1:37.045,STi
28,298,Orange Crush Racing,STREET MODIFIED - AWD,1:37.414,WRX STI
29,155,Joseph Mielke,STREET - AWD,1:37.443,STI
30,60,Mark Brylo,STREET - AWD,1:37.491,Evo
31,202,John Renna,TRACK MODIFIED - RWD,1:37.616,RX-7
32,991,James Rauck,TRACK MODIFIED - RWD,1:37.887,GT2RS
33,35,Alex Westergaard,STREET MODIFIED - RWD,1:38.086,S2000
34,23,Nilesh Patel,STREET MODIFIED - AWD,1:38.142,EVO 9
35,76,David Ottobre,STREET MODIFIED - RWD,1:38.235,240sx
36,151,David McCallister,TRACK MODIFIED - AWD,1:38.348,Lancer Evolution IX
37,511,Peter Granberg,STREET MODIFIED - RWD,1:38.371,BRZ
38,575,Clay Davidson,STREET MODIFIED - RWD,1:38.462,Mustang
39,135,Charlie Ensslin,UNLIMITED - RWD,1:38.598,Type R
40,64,Grant Mullet,STREET GT - RWD,1:38.846,Civic Si
41,52,Nicholas Gardner,TRACK MODIFIED - RWD,1:39.071,Shelby GT500
42,13,Jerami Bailey,STREET MODIFIED - RWD,1:39.083,FRS
43,94,Nicholas Phillips,STREET GT - RWD,1:39.326,Z06
44,16,Alex Peitz,STREET GT - RWD,1:39.334,Corvette
45,495,Richard Cho,STREET - RWD,1:39.482,370z
46,156,Neil Hancock,STREET - AWD,1:39.574,WRX
47,777,Dewey DeWitt,STREET - RWD,1:40.785,BRZ
48,619,Taylor Bowling,STREET - RWD,1:41.114,Cayman S
49,32,Yo Keutla,STREET - RWD,1:41.405,Cayman
50,118,Jason Owens,STREET - FWD,1:41.471,Civic Si
51,145,Devin Hofmann,STREET MODIFIED - AWD,1:41.566,WRX STI
52,27,Ken Devriese,STREET - RWD,1:42.108,S2000
53,83,Shane Duncan,STREET - RWD,1:42.280,S2000
54,46,Nehru Cheddie,STREET - RWD,1:42.986,M3
55,65,Ben Lin,STREET - AWD,1:43.266,Evo
56,444,Brian Smith,STREET MODIFIED - FWD,1:43.893,GTI
57,67,Yunan Liu,STREET - RWD,1:45.364,S2000
58,39,Kevin Tanakhone,STREET - RWD,1:46.167,S2000
59,42,Ben Bulthuis,TRACK MODIFIED - FWD,1:46.361,Civic
60,270,Max Rooney,STREET - FWD,1:47.578,Civic Si
61,38,Ernestas Puzelis,TRACK MODIFIED - RWD,1:47.612,370z
62,31,Bart Goldenbeld,TRACK MODIFIED - RWD,1:48.171,Miata
63,440,Taylor Steck,STREET - RWD,1:50.805,350z
64,48,Torry Skurski,STREET - RWD,1:50.913,328i
65,20,Freddy Assuncao,TRACK MODIFIED - AWD,1:51.157,Jetta GLI
66,129,Matt Williams,SUNDAE CUP / SPECFIT - FWD,1:51.777,Fit
67,395,Michael Smith,SUNDAE CUP / SPECFIT - FWD,1:52.198,Fit
68,14,Kal Fortner,UNLIMITED - AWD,1:53.613,S4
69,68,Daniel Montanez,STREET - RWD,1:54.098,BRZ
70,139,Kevin Head,SUNDAE CUP / SPECFIT - FWD,1:54.292,Fit
71,8,Not So Fit Racing,SUNDAE CUP / SPECFIT - FWD,1:57.493,Fit
