Heat 1 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,130,Coby Shield,STREET GT - RWD,2:54.029,Camaro
2,86,Jackie Ding,STREET MODIFIED - RWD,2:55.224,Supra #TA90
3,7,Joshua Halka,STREET - AWD,3:08.122,Impreza WRX
4,330,Vladimir Skirda,STREET - AWD,3:11.852,STi
5,60,Mark Brylo,STREET - AWD,3:12.542,Evo
6,151,David McCallister,TRACK MODIFIED - AWD,3:13.375,Lancer Evolution IX
7,120,Steve Loudin,TRACK MODIFIED - RWD,3:14.062,ZR1
8,303,Ryan Dussex,UNLIMITED - AWD,3:14.472,WRX
9,575,Clay Davidson,STREET MODIFIED - RWD,3:14.659,Mustang
10,55,Charles Miller,STREET - AWD,3:15.284,Evo IX
11,298,Orange Crush Racing,STREET MODIFIED - AWD,3:16.268,WRX STI
12,79,Nicholas Kohrs,STREET MODIFIED - FWD,3:17.467,Civic Si
13,66,Ben Thorn,STREET - FWD,3:19.795,Civic
14,118,Jason Owens,STREET - FWD,3:21.284,Civic Si
15,991,James Rauck,TRACK MODIFIED - RWD,3:21.460,GT2RS
16,12,Andrew Sonnevil,STREET MODIFIED - RWD,3:21.986,Focus ST
17,62,Brian Blaine,TRACK MODIFIED - RWD,3:22.229,Rx7
18,63,Luca Barberis,STREET MODIFIED - AWD,3:22.312,Lancer Evolution IX
19,426,Adam Wood,STREET - AWD,3:22.509,Impreza
20,495,Richard Cho,STREET - RWD,3:23.408,370z
21,32,Yo Keutla,STREET - RWD,3:23.910,Cayman
22,52,Nicholas Gardner,TRACK MODIFIED - RWD,3:24.099,Shelby GT500
23,777,Dewey DeWitt,STREET - RWD,3:25.257,BRZ
24,77,Alex Artayet,STREET GT - RWD,3:25.377,M3
25,511,Peter Granberg,STREET MODIFIED - RWD,3:26.379,BRZ
26,64,Grant Mullet,STREET GT - RWD,3:28.569,Z06
27,115,Electron Sport,STREET MODIFIED - RWD,3:30.583,Corvette
28,48,Torry Skurski,STREET - RWD,3:33.839,328i
29,35,Alex Westergaard,STREET MODIFIED - RWD,3:36.640,S2000
30,22,Jeremy Boysen,STREET GT - RWD,3:36.706,C8
31,103,Wilbur Huang,UNLIMITED - RWD,3:40.599,M4
32,56,Patrick Hardin,STREET - FWD,3:44.409,Civic Si
33,39,Kevin Tanakhone,STREET - RWD,3:45.329,S2000
34,324,Garrett Tkach,STREET GT - RWD,3:46.873,C5 Z06
35,69,Kevin Hardin,STREET - RWD,3:47.320,350z
36,46,Nehru Cheddie,STREET - RWD,3:48.596,M3
37,32,Ron Mullet,TRACK MODIFIED - RWD,3:50.714,Corvette
38,177,Michael Neat,STREET MODIFIED - RWD,3:52.623,FR-S
39,13,Jerami Bailey,STREET MODIFIED - RWD,4:05.553,FRS
40,108,Jeanette Negri,STREET MODIFIED - RWD,4:08.871,BRZ
