Time Attack Heat 7 Results,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,121,Ryan Mathews,STREET MODIFIED - RWD,2:20.205,Z06
2,150,Alexander Moss,STREET MODIFIED - RWD,2:22.756,S2000
3,991,James Rauck,TRACK MODIFIED - RWD,2:23.573,GT2RS
4,62,Brian Blaine,TRACK MODIFIED - RWD,2:24.516,Rx7
5,7,Joshua Halka,STREET - AWD,2:27.650,Impreza WRX
6,52,Nicholas Gardner,TRACK MODIFIED - RWD,2:28.322,Shelby GT500
7,271,Mark Thomsen,TRACK MODIFIED - AWD,2:29.114,GTR
8,55,Charles Miller,STREET - AWD,2:29.468,Evo IX
9,330,Vladimir Skirda,STREET - AWD,2:29.542,STi
10,303,Ryan Dussex,UNLIMITED - AWD,2:30.075,WRX
11,335,Christopher Bickford,STREET GT - RWD,2:30.234,Corvette
12,36,Ben Mich,STREET MODIFIED - RWD,2:31.199,Rx7
13,117,Jared Garcia,STREET MODIFIED - RWD,2:31.677,S2000
14,79,Nicholas Kohrs,STREET MODIFIED - FWD,2:32.528,Civic Si
15,120,Steve Loudin,TRACK MODIFIED - RWD,2:32.633,ZR1
16,77,Alex Artayet,STREET GT - RWD,2:32.664,M3
17,22,Jeremy Boysen,STREET GT - RWD,2:32.841,C8
18,60,Mark Brylo,STREET - AWD,2:33.237,Evo
19,575,Clay Davidson,STREET MODIFIED - RWD,2:34.073,Mustang
20,66,Ben Thorn,STREET - FWD,2:34.103,Civic
21,717,Drew Cleaver,STREET GT - AWD,2:34.210,Model 3
22,23,Nilesh Patel,STREET MODIFIED - AWD,2:34.279,EVO 9
23,115,Electron Sport,STREET MODIFIED - RWD,2:34.539,Corvette
24,64,Grant Mullet,STREET GT - RWD,2:34.683,Z06
25,151,David McCallister,TRACK MODIFIED - AWD,2:35.496,Lancer Evolution IX
26,298,Orange Crush Racing,STREET MODIFIED - AWD,2:35.702,WRX STI
27,35,Alex Westergaard,STREET MODIFIED - RWD,2:35.801,S2000
28,625,Samel Meseljevic,STREET - RWD,2:35.930,350Z Nismo
29,495,Richard Cho,STREET - RWD,2:36.683,370z
30,13,Jerami Bailey,STREET MODIFIED - RWD,2:37.878,FRS
31,10,Kyoo Lee,STREET - AWD,2:38.009,Lancer Evolution
32,103,Wilbur Huang,UNLIMITED - RWD,2:39.108,M4
33,118,Jason Owens,STREET - FWD,2:39.338,Civic Si
34,32,Yo Keutla,STREET - RWD,2:39.874,Cayman
35,46,Nehru Cheddie,STREET - RWD,2:40.268,M3
36,211,Troy Videkovich,STREET MODIFIED - AWD,2:41.117,WRX
37,777,Dewey DeWitt,STREET - RWD,2:41.124,BRZ
38,512,Savanna Little,STREET MODIFIED - RWD,2:42.053,Skyline
39,426,Adam Wood,STREET - AWD,2:42.782,Impreza
40,270,Max Rooney,STREET - FWD,2:46.159,Civic Si
41,177,Michael Neat,STREET MODIFIED - RWD,2:46.901,FR-S
42,69,Kevin Hardin,STREET - RWD,2:48.440,350z
43,197,Mechanical Advantage,UNLIMITED - AWD,2:48.867,Sti
44,56,Patrick Hardin,STREET - FWD,2:51.565,Civic Si
45,440,Taylor Steck,STREET - RWD,2:54.652,350z
46,48,Torry Skurski,STREET - RWD,2:55.409,328i
47,108,Jeanette Negri,STREET MODIFIED - RWD,2:56.949,BRZ
48,969,Peter Lindberg,SUNDAE CUP / SPECFIT - FWD,3:15.521,Fit
