Heat 1 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
27,726,Jacob Abbott,CLUB TR - AWD,1:47.911,Impreza
25,66,Ben Thorn,CLUB TR - FWD,1:47.066,Civic
37,312,Mikey Singhaseni,CLUB TR - FWD,1:51.489,INTEGRA
41,270,Max Rooney,CLUB TR - FWD,1:54.207,Civic Si
42,602,Daniel Chun,CLUB TR - FWD,1:54.548,Civic SI
56,74,Grant Davidson,CLUB TR - FWD,,Integra
8,255,Ryan Seiler,CLUB TR - RWD,1:42.455,S2000
10,610,Banana Power,CLUB TR - RWD,1:42.955,FRS
14,109,Dana Basinski,CLUB TR - RWD,1:43.952,Brz
17,27,Ken Devriese,CLUB TR - RWD,1:44.393,S2000
31,238,Garrett Gloceri,CLUB TR - RWD,1:49.301,RX-8
32,777,Team D Squared,CLUB TR - RWD,1:50.739,BRZ
35,334,Jim Smitholene,CLUB TR - RWD,1:51.178,S2000
36,319,Hyder Arain,CLUB TR - RWD,1:51.393,S2000
50,442,Logan Geyer,CLUB TR - RWD,1:57.590,BRZ
3,386,Jackie Ding,STREET - AWD,1:39.714,Model 3 Performance
5,10,Kyoo Lee,STREET - AWD,1:42.098,Evo
6,155,Joseph Mielke,STREET - AWD,1:42.358,Impreza WRX STi
15,623,Stan Fayngold,STREET - AWD,1:44.114,EVO X
20,333,Tony Barber,STREET - AWD,1:45.552,Model 3
33,234,Brad Riemann,STREET - AWD,1:50.840,Focus RS
51,625,Samel Meseljevic,STREET - AWD,1:58.642,EVO X
16,737,Alex Lundeen,STREET - FWD,1:44.392,Mazdaspeed3
21,470,Edward Segal,STREET - FWD,1:46.458,Civic Type R
38,141,Lisa Keyes,STREET - FWD,1:53.411,Civic Si
46,808,Chong Lor,STREET - FWD,1:55.280,Type R
30,48,Torry Skurski,STREET - RWD,1:49.156,328i
53,528,Richard Sawicki,STREET - RWD,2:03.100,Miata
55,614,Eric Knerr,STREET - RWD,2:11.539,Miata
7,773,Keenan Prusank,STREET GT - RWD,1:42.390,CAMARO SS 1LE
12,77,Alex Artayet,STREET GT - RWD,1:43.553,M3
19,64,Grant Mullet,STREET GT - RWD,1:45.157,Corvette
22,167,Taylor Allen,STREET GT - RWD,1:46.834,Corvette Z06
23,335,Christopher Bickford,STREET GT - RWD,1:46.854,Corvette
26,931,Brad Moore,STREET GT - RWD,1:47.120,M2
18,14,Kal Fortner,STREET MOD - AWD,1:44.419,S4
39,510,Piero Pucci,STREET MOD - AWD,1:53.902,Evolution 8
1,86,Jackie Ding,STREET MOD - RWD,1:33.730,Supra #TA90
2,150,Alex Moss,STREET MOD - RWD,1:38.638,S2000
4,35,Alex Westergaard,STREET MOD - RWD,1:41.380,S2000
9,121,Ryan Mathews,STREET MOD - RWD,1:42.566,Corvette
24,511,Peter Granberg,STREET MOD - RWD,1:46.961,BRZ
29,373,Ivan Onofriiciuc,STREET MOD - RWD,1:49.133,370z
48,736,Cody Smith,STREET MOD - RWD,1:55.806,Cutlass
52,19,Scott Hollingsworth,STREET MOD - RWD,2:01.929,S2000
44,411,Kyle Carstens,SUNDAE CUP - FWD,1:54.886,Fit
45,926,James Morgan,SUNDAE CUP - FWD,1:54.964,Fit
47,969,Peter Lindberg,SUNDAE CUP - FWD,1:55.351,FIT
49,526,Patrick Morgan,SUNDAE CUP - FWD,1:56.697,Fit
28,38,Ernestas Puzelis,TRACK MOD - RWD,1:48.369,370Z
34,206,Dalton Klein,TRACK MOD - RWD,1:51.15 H,Camaro
40,76,David Ottobre,TRACK MOD - RWD,1:54.170,Mustang
43,46,Nehru Cheddie,TRACK MOD - RWD,1:54.745,M3
57,197,Kendall Samuel,UNLIMITED - AWD,,Impreza
11,871,Aurimas Karosas,UNLIMITED - RWD,1:43.005,m3
13,99,Vytis Aranauskas,UNLIMITED - RWD,1:43.718,M3
54,44,Joel Phillips,UNLIMITED - RWD,2:05.912,Miata
