Results Overall - All Groups - Final,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,86,Jackie Ding,STREET MOD - RWD,1:28.472,Supra #TA90
10,333,Tony Barber,STREET - AWD,1:34.999,Model 3
11,10,Kyoo Lee,STREET - AWD,1:35.194,Evo
12,623,Stan Fayngold,STREET - AWD,1:35.195,EVO X
13,511,Peter Granberg,STREET MOD - RWD,1:35.418,BRZ
14,773,Keenan Prusank,STREET GT - RWD,1:35.749,CAMARO SS 1LE
15,386,Jackie Ding,STREET - AWD,1:35.869,Model 3 Performance
16,808,Chong Lor,STREET - FWD,1:36.036,Type R
17,74,Grant Davidson,CLUB TR - FWD,1:36.164,Integra
18,76,David Ottobre,UNLIMITED - RWD,1:36.234,Mustang
19,255,Ryan Seiler,CLUB TR - RWD,1:36.300,S2000
2,150,Alex Moss,STREET MOD - RWD,1:30.086,S2000
20,38,Ernestas Puzelis,TRACK MOD - RWD,1:36.353,370Z
21,931,Brad Moore,STREET GT - RWD,1:36.377,M2
22,155,Joseph Mielke,STREET - AWD,1:36.479,Impreza WRX STi
23,737,Alex Lundeen,STREET - FWD,1:36.803,Mazdaspeed3
24,510,Piero Pucci,STREET MOD - AWD,1:36.906,Evolution 8
25,109,Dana Basinski,CLUB TR - RWD,1:36.955,Brz
26,27,Ken Devriese,CLUB TR - RWD,1:37.682,S2000
27,610,Banana Power,CLUB TR - RWD,1:38.062,FRS
28,14,Kal Fortner,STREET MOD - AWD,1:38.248,S4
29,334,Jim Smitholene,CLUB TR - RWD,1:38.317,S2000
3,121,Ryan Mathews,STREET MOD - RWD,1:30.175,Corvette
30,167,Taylor Allen,STREET GT - RWD,1:38.428,Corvette Z06
31,312,Mikey Singhaseni,CLUB TR - FWD,1:38.677,INTEGRA
32,777,Team D Squared,CLUB TR - RWD,1:38.799,BRZ
33,470,Edward Segal,STREET - FWD,1:38.948,Civic Type R
34,625,Samel Meseljevic,STREET - AWD,1:39.313,EVO X
35,319,Hyder Arain,CLUB TR - RWD,1:39.364,S2000
36,736,Cody Smith,STREET MOD - RWD,1:40.471,Cutlass
37,270,Max Rooney,CLUB TR - FWD,1:40.803,Civic Si
38,46,Nehru Cheddie,TRACK MOD - RWD,1:40.964,M3
39,238,Garrett Gloceri,CLUB TR - RWD,1:41.846,RX-8
4,99,Vytis Aranauskas,UNLIMITED - RWD,1:32.022,M3
40,726,Jacob Abbott,CLUB TR - AWD,1:42.121,Impreza
41,206,Dalton Klein,TRACK MOD - RWD,1:42.261,Camaro
42,528,Richard Sawicki,STREET - RWD,1:42.326,Miata
43,197,Kendall Samuel,UNLIMITED - AWD,1:42.410,Impreza
44,141,Lisa Keyes,STREET - FWD,1:42.542,Civic Si
45,871,Aurimas Karosas,UNLIMITED - RWD,1:43.005,m3
46,19,Scott Hollingsworth,STREET MOD - RWD,1:43.143,S2000
47,234,Brad Riemann,STREET - AWD,1:43.606,Focus RS
48,442,Logan Geyer,CLUB TR - RWD,1:43.933,BRZ
49,373,Ivan Onofriiciuc,STREET MOD - RWD,1:44.314,370z
5,35,Alex Westergaard,STREET MOD - RWD,1:32.045,S2000
50,64,Grant Mullet,STREET GT - RWD,1:45.157,Corvette
51,602,Daniel Chun,CLUB TR - FWD,1:45.713,Civic SI
52,48,Torry Skurski,STREET - RWD,1:46.484,328i
53,614,Eric Knerr,STREET - RWD,1:47.664,Miata
54,926,James Morgan,SUNDAE CUP - FWD,1:50.636,Fit
55,411,Hard Times Racing,SUNDAE CUP - FWD,1:50.936,Fit
56,44,Joel Phillips,UNLIMITED - RWD,1:52.247,Miata
57,526,Patrick Morgan,SUNDAE CUP - FWD,1:52.625,Fit
58,969,Peter Lindberg,SUNDAE CUP - FWD,1:52.922,FIT
59,6,Michael Aumick,STREET MOD - AWD,,Sti
6,335,Christopher Bickford,STREET GT - RWD,1:33.596,Corvette
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
7,77,Alex Artayet,STREET GT - RWD,1:33.786,M3
70,,,,,
71,,,,,
72,,,,,
73,,,,,
8,329,PhD Racing,TRACK MOD - RWD,1:34.093,911
9,66,Ben Thorn,CLUB TR - FWD,1:34.779,Civic
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
