Heat 2 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,345,Paul Curley,STREET MOD - RWD,1:33.480,Corvette
2,70,Dewey DeWitt,STREET MOD - AWD,1:34.651,Impreza L (Boogeyman)
3,174,David Calzada,UNLIMITED - RWD,1:35.441,Miata
4,80,Damian Dabrowski,UNLIMITED - RWD,1:36.279,350z
5,133,Dan Foley,UNLIMITED - AWD,1:37.666,Evo x
6,87,Team Twitch,STREET - RWD,1:38.647,M3
7,63,Luca Barberis,STREET MOD - AWD,1:39.172,Lancer Evolution 9
8,65,Ben Lin,STREET - AWD,1:41.138,Evo
9,575,Clay Davidson,STREET MOD - RWD,1:41.345,Mustang
10,74,Grant Davidson,CLUB TR - FWD,1:41.629,Integra
11,511,Peter Granberg,STREET MOD - RWD,1:41.812,BRZ
12,64,Grant Mullet,STREET GT - RWD,1:41.966,Corvette
13,531,Evan Weider,CLUB TR - FWD,1:42.447,Civic
14,38,Ernestas Puzelis,TRACK MOD - RWD,1:42.627,C606
15,77,Alex Artayet,STREET GT - RWD,1:42.731,M3
16,834,Andrew Voelkel,STREET GT - RWD,1:42.900,Corvette C8
17,310,Mike Coons,STREET - AWD,1:43.021,STI
18,255,Ryan Seiler,CLUB TR - RWD,1:43.379,S2000
19,155,Joseph Mielke,STREET - AWD,1:43.400,Impreza WRX STi
20,14,Kal Fortner,STREET MOD - AWD,1:43.584,S4
21,90,Jimmy Diggs,CLUB TR - FWD,1:43.588,Civic Sport
22,7,Joshua Halka,STREET - AWD,1:44.080,Impreza WRX
23,541,Johnny Rose,UNLIMITED - FWD,1:44.163,Integra
24,9,Drew Turner,CLUB TR - RWD,1:44.273,S2000
25,334,Jim Smitholine,CLUB TR - RWD,1:44.355,S2000
26,109,Dana Basinski,CLUB TR - RWD,1:44.424,Brz
27,495,Richard Cho,STREET - RWD,1:44.453,370Z
28,776,Dallas Reed,TRACK MOD - RWD,1:44.552,RX-8
29,167,Taylor Allen,STREET GT - RWD,1:44.563,Corvette Z06
30,27,Ken Devriese,CLUB TR - RWD,1:44.762,S2000
31,624,Tyler Vogt,STREET - RWD,1:44.906,Camaro
32,99,Vytis Aranauskas,TRACK MOD - RWD,1:45.492,M3
33,527,Jackson Jensen,CLUB TR - RWD,1:45.551,S2000
34,777,Team No Krutch,CLUB TR - RWD,1:45.717,BRZ
35,944,Daniel Wolski,CLUB TR - RWD,1:46.148,S2000
36,189,Jakob Boedenauer,CLUB TR - RWD,1:46.200,S2000
37,808,Impulse Performance,STREET - FWD,1:46.248,Type R
38,629,Jiaqi Li,STREET GT - RWD,1:46.312,Julia
39,329,PHD Racing,TRACK MOD - RWD,1:46.441,911
40,79,Nicholas Kohrs,STREET MOD - FWD,1:46.633,Civic
41,994,Nathan Brown,STREET - FWD,1:46.673,GTI
42,111,Chris Scheidecker,STREET - RWD,1:46.736,S2000
43,723,Christopher Watson,STREET MOD - RWD,1:46.785,Miata
44,374,Derek Durkee,STREET MOD - AWD,1:47.563,Forester
45,470,Edward Segal,STREET - FWD,1:47.647,Civic Type R
46,888,Sammy So,TRACK MOD - AWD,1:47.823,WRX
47,19,Scott Hollingsworth,STREET MOD - RWD,1:47.879,S2000
48,238,Garrett Gloceri,CLUB TR - RWD,1:48.027,RX-8
49,821,Evan Madore,STREET MOD - FWD,1:48.181,Cooper S
50,900,Ian Creps,STREET - FWD,1:49.144,Type R
51,206,Dalton Klein,TRACK MOD - RWD,1:49.666,Camaro
52,321,Teagan Thostenson,STREET - AWD,1:49.814,STi
53,373,Ivan Onofriiciuc,STREET MOD - RWD,1:50.176,370z
54,827,Vito Jin,STREET GT - RWD,1:50.469,M4
55,234,Brad Riemann,STREET - AWD,1:50.650,Focus RS
56,602,Daniel Chun,CLUB TR - FWD,1:50.712,Civic SI
57,726,Jacob Abbott,CLUB TR - AWD,1:51.01 UO,Impreza
58,442,Logan Geyer,CLUB TR - RWD,1:51.222,BRZ
59,700,Tom Halka,STREET - AWD,1:51.460,2.5 RS
