Results Overall - All Groups - Final,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
72,726,Jacob Abbott,CLUB TR - AWD,1:49.853,Impreza
29,66,Ben Thorn,CLUB TR - FWD,1:40.586,Civic
34,74,Grant Davidson,CLUB TR - FWD,1:41.629,Integra
36,531,Evan Weider,CLUB TR - FWD,1:41.750,Civic
38,90,Jimmy Diggs,CLUB TR - FWD,1:41.935,Civic Sport
53,312,Mikey Singhaseni,CLUB TR - FWD,1:44.863,INTEGRA
71,602,Daniel Chun,CLUB TR - FWD,1:49.687,Civic Si
91,249,Brett Marko,CLUB TR - FWD,2:10.203,Civic
40,255,Ryan Seiler,CLUB TR - RWD,1:42.845,S2000
46,334,Jim Smitholine,CLUB TR - RWD,1:43.574,S2000
50,9,Drew Turner,CLUB TR - RWD,1:44.273,S2000
51,27,Ken Devriese,CLUB TR - RWD,1:44.344,S2000
52,109,Dana Basinski,CLUB TR - RWD,1:44.424,Brz
54,527,Jackson Jensen,CLUB TR - RWD,1:45.312,S2000
57,777,Team No Krutch,CLUB TR - RWD,1:45.646,BRZ
59,944,Daniel Wolski,CLUB TR - RWD,1:45.840,S2000
61,189,Jakob Boedenauer,CLUB TR - RWD,1:46.200,S2000
66,238,Garrett Gloceri,CLUB TR - RWD,1:47.320,RX-8
76,442,Logan Geyer,CLUB TR - RWD,1:51.222,BRZ
77,614,Eric Knerr,CLUB TR - RWD,1:51.519,Miata
10,7,Joshua Halka,STREET - AWD,1:37.856,Impreza WRX
24,65,Ben Lin,STREET - AWD,1:39.772,Evo
25,55,Charles Miller,STREET - AWD,1:39.806,Evo 9
26,155,Joseph Mielke,STREET - AWD,1:39.896,Impreza WRX STi
31,310,Mike Coons,STREET - AWD,1:41.095,STI
48,321,Teagan Thostenson,STREET - AWD,1:43.825,STi
62,625,Samel Meseljevic,STREET - AWD,1:46.343,EVO X
65,234,Brad Riemann,STREET - AWD,1:47.090,Focus RS
75,700,Tom Halka,STREET - AWD,1:51.134,2.5 RS
19,808,Impulse Performance,STREET - FWD,1:39.561,Type R
55,470,Edward Segal,STREET - FWD,1:45.33 H,Civic Type R
56,900,Ian Creps,STREET - FWD,1:45.532,Type R
64,994,Nathan Brown,STREET - FWD,1:46.673,GTI
11,87,Team Twitch,STREET - RWD,1:38.065,M3
41,624,Tyler Vogt,STREET - RWD,1:42.941,Camaro
47,495,Richard Cho,STREET - RWD,1:43.717,370Z
58,111,Chris Scheidecker,STREET - RWD,1:45.739,S2000
73,113,Trip Walker,STREET - RWD,1:50.157,FRS
74,616,Taylor Bowling,STREET - RWD,1:50.179,S2000
79,48,Torry Skurski,STREET - RWD,1:52.959,328i
14,335,Christopher Bickford,STREET GT - RWD,1:38.464,Corvette
15,77,Alex Artayet,STREET GT - RWD,1:38.730,M3
21,827,Jin Vito,STREET GT - RWD,1:39.656,M4
23,64,Grant Mullet,STREET GT - RWD,1:39.720,Corvette
28,834,Andrew Voelkel,STREET GT - RWD,1:40.464,Corvette C8
42,167,Taylor Allen,STREET GT - RWD,1:43.052,Corvette Z06
44,629,Jiaqi Li,STREET GT - RWD,1:43.319,Julia
4,70,Dewey DeWitt,STREET MOD - AWD,1:34.651,Impreza L (Boogeyman)
5,6,Michael Aumick,STREET MOD - AWD,1:35.098,Sti
13,63,Luca Barberis,STREET MOD - AWD,1:38.385,Lancer Evolution 9
43,14,Kal Fortner,STREET MOD - AWD,1:43.298,S4
45,374,Derek Durkee,STREET MOD - AWD,1:43.400,Forester
78,135,Hard Times Racing,STREET MOD - AWD,1:52.887,STI
12,79,Nicholas Kohrs,STREET MOD - FWD,1:38.253,Civic
60,217,David Cordell,STREET MOD - FWD,1:45.930,Type R
67,821,Evan Madore,STREET MOD - FWD,1:47.715,Cooper S
2,345,Paul Curley,STREET MOD - RWD,1:33.428,Corvette
6,150,Alexander Moss,STREET MOD - RWD,1:35.804,S2000
16,128,Joshua Hanger,STREET MOD - RWD,1:38.874,RX-7
22,35,Alex Westergaard,STREET MOD - RWD,1:39.668,S2000
27,511,Peter Granberg,STREET MOD - RWD,1:40.433,BRZ
30,575,Clay Davidson,STREET MOD - RWD,1:40.710,Mustang
32,723,Christopher Watson,STREET MOD - RWD,1:41.227,Miata
35,441,Adam Ulrich,STREET MOD - RWD,1:41.699,Corvette
39,19,Scott Hollingsworth,STREET MOD - RWD,1:42.155,S2000
69,373,Ivan Onofriiciuc,STREET MOD - RWD,1:48.836,370z
70,736,Cody Smith,STREET MOD - RWD,1:48.943,Cutlass
80,129,Matt Williams,SUNDAE CUP - FWD,1:53.941,Fit
81,139,Team Brap,SUNDAE CUP - FWD,1:54.857,Fit
82,395,Michael Smith,SUNDAE CUP - FWD,1:54.875,Fit
83,370,Samuel Deuling,SUNDAE CUP - FWD,1:55.319,Fit
84,411,Kyle Carstens,SUNDAE CUP - FWD,1:57.485,Fit
85,926,James Morgan,SUNDAE CUP - FWD,1:57.864,Fit
87,513,Jon Sneller,SUNDAE CUP - FWD,1:59.508,Fit
88,201,Faaez Dar,SUNDAE CUP - FWD,1:59.531,Fit
89,969,Peter Lindberg,SUNDAE CUP - FWD,2:00.044,FIT
90,526,Patrick Morgan,SUNDAE CUP - FWD,2:03.863,Fit
92,122,Bijan Behrouzi,SUNDAE CUP - FWD,2:10.210,Civic
63,888,Sammy So,TRACK MOD - AWD,1:46.380,WRX
7,776,Dallas Reed,TRACK MOD - RWD,1:35.867,RX-8
9,32,Mullet Racing,TRACK MOD - RWD,1:37.623,Corvette
17,329,PHD Racing,TRACK MOD - RWD,1:38.939,911
18,99,Vytis Aranauskas,TRACK MOD - RWD,1:39.103,M3
33,12,Andrew Sonnevil,TRACK MOD - RWD,1:41.408,Miata
37,38,Ernestas Puzelis,TRACK MOD - RWD,1:41.928,C606
68,206,Dalton Klein,TRACK MOD - RWD,1:48.097,Camaro
1,133,Dan Foley,UNLIMITED - AWD,1:30.983,Evo x
49,541,Johnny Rose,UNLIMITED - FWD,1:44.163,Integra
3,174,David Calzada,UNLIMITED - RWD,1:34.028,Miata
8,80,Damian Dabrowski,UNLIMITED - RWD,1:36.027,350z
20,771,Aric Streeter,UNLIMITED - RWD,1:39.649,Seven
86,44,Joel Phillips,UNLIMITED - RWD,1:58.880,Miata
