Heat 3 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,72,Feras Qartoumy,UNLIMITED - RWD,1:25.981,Corvette
2,212,Shawn Krebsbach,STREET MOD - AWD,1:32.482,Evo
3,460,Grant Walker,TRACK MOD - RWD,1:32.759,Miata
4,991,Jimmy Rauck,TRACK MOD - RWD,1:33.953,GT2RS
5,180,Robert Thorne,TRACK MOD - RWD,1:35.224,S2000
6,80,Damian Dabrowski,UNLIMITED - RWD,1:36.327,350z
7,174,David Calzada,UNLIMITED - RWD,1:37.051,Miata
8,155,Joseph Mielke,STREET - AWD,1:37.201,Impreza WRX STi
9,28,Peter Zhang,STREET MOD - AWD,1:37.371,Impreza WRX
10,7,Joshua Halka,STREET - AWD,1:37.423,Impreza WRX
11,77,Alex Artayet,STREET GT - RWD,1:37.442,M3
12,63,Luca Barberis,STREET MOD - AWD,1:38.028,Lancer Evolution 9
13,87,Team Twitch,STREET - RWD,1:38.055,M3
14,386,Jackie Ding,STREET - AWD,1:38.310,Model 3 Performance
15,55,Charles Miller,STREET - AWD,1:39.386,Evo 9
16,441,Adam Ulrich,STREET MOD - RWD,1:39.471,Corvette
17,335,Christopher Bickford,STREET GT - RWD,1:39.922,Corvette
18,128,Joshua Hanger,STREET MOD - RWD,1:40.382,RX-7
19,79,Nicholas Kohrs,STREET MOD - FWD,1:40.528,Civic Si
20,66,Ben Thorn,CLUB TR - FWD,1:40.741,Civic
21,19,Scott Hollingsworth,STREET MOD - RWD,1:40.755,S2000
22,827,Vito Jin,STREET GT - RWD,1:40.807,M4
23,437,Cory Ross,TRACK MOD - RWD,1:41.116,M3
24,511,Peter Granberg,STREET MOD - RWD,1:41.565,BRZ
25,495,Richard Cho,STREET - RWD,1:41.772,370Z
26,109,Dana Basinski,CLUB TR - RWD,1:42.281,Brz
27,625,Samel Meseljevic,STREET - AWD,1:42.478,EVO X
28,255,Ryan Seiler,CLUB TR - RWD,1:42.934,S2000
29,334,Jim Smitholene,CLUB TR - RWD,1:43.011,S2000
30,470,Edward Segal,STREET - FWD,1:43.136,Civic Type R
31,36,Ben Mich,STREET MOD - RWD,1:43.178,RX-7
32,321,Teagan Thostenson,STREET - AWD,1:43.503,STi
33,4,Matt Williams,CLUB TR - RWD,1:43.744,RX7
34,10,Kyoo Lee,STREET - AWD,1:43.909,Evo
35,14,Kal Fortner,STREET MOD - AWD,1:44.324,S4
36,610,Fez Babar,CLUB TR - RWD,1:46.914,FRS
37,224,Charlie Whitney,UNLIMITED - FWD,1:47.009,Festiva
38,270,Max Rooney,CLUB TR - FWD,1:47.694,Civic Si
39,736,Cody Smith,STREET MOD - RWD,1:48.638,Cutlass
40,238,Garrett Gloceri,CLUB TR - RWD,1:49.157,RX-8
41,373,Ivan Onofriiciuc,STREET MOD - RWD,1:50.396,370z
42,700,Tom Halka,STREET - AWD,1:52.196,2.5 RS
43,142,Juan Johnson,CLUB TR - RWD,1:55.341,S2000
44,411,Hard Times Racing,SUNDAE CUP - FWD,1:56.561,Fit
45,139,Kevin Head,SUNDAE CUP - FWD,1:57.143,Fit
46,716,Mike Mills,SUNDAE CUP - FWD,2:00.119,Fiesta
47,105,Chris Smith,STREET MOD - RWD,2:03.241,135
48,167,Taylor Allen,UNLIMITED - RWD,,Corvette Z06
49,969,Peter Lindberg,SUNDAE CUP - FWD,,FIT
50,52,Nicholas Gardner,UNLIMITED - RWD,,GT500
