Results Overall - All Groups,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
83,726,Jacob Abbott,CLUB TR - AWD,1:48.620,Impreza
39,66,Ben Thorn,CLUB TR - FWD,1:39.847,Civic
40,74,Grant Davidson,CLUB TR - FWD,1:40.033,Integra
46,531,Evan Weider,CLUB TR - FWD,1:40.814,Civic
66,514,Evan Mclaren,CLUB TR - FWD,1:44.439,Integra
78,270,Max Rooney,CLUB TR - FWD,1:46.151,Civic Si
87,230,Lester Epps,CLUB TR - FWD,1:50.223,Celica
36,4,Matt Williams,CLUB TR - RWD,1:39.255,RX7
50,172,Anish Ramrakhyani,CLUB TR - RWD,1:41.206,S2000
52,255,Ryan Seiler,CLUB TR - RWD,1:41.527,S2000
53,109,Dana Basinski,CLUB TR - RWD,1:41.557,Brz
55,189,Team Jakoby,CLUB TR - RWD,1:41.665,S2000
59,334,Jim Smitholene,CLUB TR - RWD,1:42.307,S2000
68,610,Fez Babar,CLUB TR - RWD,1:44.478,FRS
69,527,Jackson Jensen,CLUB TR - RWD,1:44.762,S2000
74,238,Garrett Gloceri,CLUB TR - RWD,1:45.658,RX-8
84,442,Logan Geyer,CLUB TR - RWD,1:48.900,BRZ
88,142,Juan Johnson,CLUB TR - RWD,1:50.508,S2000
90,68,Daniel Montanez,CLUB TR - RWD,1:54.204,BRZ
14,155,Joseph Mielke,STREET - AWD,1:36.654,Impreza WRX STi
19,7,Joshua Halka,STREET - AWD,1:36.988,Impreza WRX
22,623,Stan Fayngold,STREET - AWD,1:37.819,EVO X
25,386,Jackie Ding,STREET - AWD,1:38.310,Model 3 Performance
33,55,Charles Miller,STREET - AWD,1:38.897,Evo 9
34,333,Tony Barber,STREET - AWD,1:39.000,Model 3
38,65,Ben Lin,STREET - AWD,1:39.399,Evo
43,10,Kyoo Lee,STREET - AWD,1:40.253,Evo
47,625,Samel Meseljevic,STREET - AWD,1:40.970,EVO X
49,310,Mike Coons,STREET - AWD,1:41.139,Impreza WRX STI
63,321,Teagan Thostenson,STREET - AWD,1:43.095,STi
70,424,Michael Norman,STREET - AWD,1:45.033,STI Hatchback
73,700,Tom Halka,STREET - AWD,1:45.452,2.5 RS
75,234,Brad Riemann,STREET - AWD,1:45.836,Focus RS
58,470,Edward Segal,STREET - FWD,1:42.105,Civic Type R
67,557,Patrick Daugherty,STREET - FWD,1:44.445,CIVIC TYPE R
82,124,PhD Racing V-Lobster,STREET - FWD,1:48.378,Veloster N
92,47,Nicholas Lucchesi,STREET - FWD,1:54.643,Civic
21,87,Team Twitch,STREET - RWD,1:37.618,M3
56,495,Richard Cho,STREET - RWD,1:41.772,370Z
72,58,Benny Buljko,STREET - RWD,1:45.365,370Z
76,655,Allen Ma,STREET - RWD,1:45.865,RX-7
77,58,Benny Buljko,STREET - RWD,1:45.997,370Z
86,440,Taylor Steck,STREET - RWD,1:50.035,350z
89,48,Torry Skurski,STREET - RWD,1:52.425,328i
17,77,Alex Artayet,STREET GT - RWD,1:36.923,M3
26,335,Christopher Bickford,STREET GT - RWD,1:38.432,Corvette
30,827,Vito Jin,STREET GT - RWD,1:38.720,M4
35,340,Brian Leazenby,STREET GT - RWD,1:39.146,Mustang
37,834,Andrew Voelkel,STREET GT - RWD,1:39.263,Corvette C8
54,106,Jason Kanakry,STREET GT - RWD,1:41.629,M3
57,226,Jerry Liu,STREET GT - RWD,1:41.955,Supra
101,64,Grant Mullet,STREET GT - RWD,,Corvette
3,212,Shawn Krebsbach,STREET MOD - AWD,1:31.723,Evo
8,6,Michael Aumick,STREET MOD - AWD,1:34.398,Sti
10,70,Dewey DeWitt,STREET MOD - AWD,1:34.562,Impreza L (Boogeyman)
15,28,Peter Zhang,STREET MOD - AWD,1:36.740,Impreza WRX
23,63,Luca Barberis,STREET MOD - AWD,1:38.028,Lancer Evolution 9
61,14,Kal Fortner,STREET MOD - AWD,1:42.916,S4
20,79,Nicholas Kohrs,STREET MOD - FWD,1:37.603,Civic Si
16,441,Adam Ulrich,STREET MOD - RWD,1:36.866,Corvette
18,35,Alex Westergaard,STREET MOD - RWD,1:36.937,S2000
28,19,Scott Hollingsworth,STREET MOD - RWD,1:38.576,S2000
31,36,Ben Mich,STREET MOD - RWD,1:38.769,RX-7
32,128,Joshua Hanger,STREET MOD - RWD,1:38.838,RX-7
44,511,Peter Granberg,STREET MOD - RWD,1:40.422,BRZ
45,575,Clay Davidson,STREET MOD - RWD,1:40.774,Mustang
71,105,Chris Smith,STREET MOD - RWD,1:45.088,135
79,736,Cody Smith,STREET MOD - RWD,1:46.713,Cutlass
80,373,Ivan Onofriiciuc,STREET MOD - RWD,1:47.023,370z
81,287,Johnny Rose,STREET MOD - RWD,1:47.794,Miata
91,139,Kevin Head,SUNDAE CUP - FWD,1:54.215,Fit
93,411,Hard Times Racing,SUNDAE CUP - FWD,1:54.860,Fit
94,716,Mike Mills,SUNDAE CUP - FWD,1:57.230,Fiesta
95,595,Dustin Williams,SUNDAE CUP - FWD,1:57.531,Civic
96,926,James Morgan,SUNDAE CUP - FWD,1:57.593,Fit
97,600,Dalton Klein,SUNDAE CUP - FWD,1:57.762,Fit
98,969,Peter Lindberg,SUNDAE CUP - FWD,1:58.263,FIT
99,122,Bijan Behrouzi,SUNDAE CUP - FWD,2:10.688,Civic
100,526,Patrick Morgan,SUNDAE CUP - FWD,6:56.904,Fit
12,12,Nate Vincent,SUPER UNLIMITED - RWD,1:35.278,AMG GT4
42,964,Chris Forsberg,SUPER UNLIMITED - RWD,1:40.161,Altimaniac
85,888,Sammy So,TRACK MOD - AWD,1:49.907,WRX
2,991,Jimmy Rauck,TRACK MOD - RWD,1:30.839,GT2RS
4,460,Grant Walker,TRACK MOD - RWD,1:32.622,Miata
5,180,Robert Thorne,TRACK MOD - RWD,1:33.037,S2000
29,437,Cory Ross,TRACK MOD - RWD,1:38.691,M3
41,12,Sonnevil Andrew,TRACK MOD - RWD,1:40.085,Miata
48,44,Joel Phillips,TRACK MOD - RWD,1:41.032,991
62,31,Bart Goldenbald,TRACK MOD - RWD,1:42.918,Miata
64,62,Brian Blaine,TRACK MOD - RWD,1:43.809,Rx7
65,605,Ted Vartabedian,TRACK MOD - RWD,1:44.436,911 GT3 RS
9,197,Kendall Samuel,UNLIMITED - AWD,1:34.556,Impreza
60,224,Charlie Whitney,UNLIMITED - FWD,1:42.572,Festiva
1,72,Feras Qartoumy,UNLIMITED - RWD,1:24.116,Corvette
6,30,Steve Luca,UNLIMITED - RWD,1:33.503,Mustang
7,80,Damian Dabrowski,UNLIMITED - RWD,1:33.829,350z
11,174,David Calzada,UNLIMITED - RWD,1:35.007,Miata
13,776,Dallas Reed,UNLIMITED - RWD,1:35.377,RX-8
24,52,Nicholas Gardner,UNLIMITED - RWD,1:38.163,GT500
27,771,Aric STREETer,UNLIMITED - RWD,1:38.555,Elise
51,167,Taylor Allen,UNLIMITED - RWD,1:41.242,Corvette Z06
