Heat 5 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,86,Jackie Ding,STREET MOD - RWD,1:37.938,Supra #TA90
2,459,Brad Perkins,UNLIMITED - RWD,1:39.068,M3
3,6,Michael Aumick,STREET MOD - AWD,1:40.077,Sti
4,318,Nick Anderson,SUPER UNLIMITED - RWD,1:42.922,Viper Competiton Coupe
5,70,Dewey DeWitt,STREET MOD - AWD,1:43.079,Impreza L (Boogeyman)
6,437,Cory Ross,TRACK MOD - RWD,1:43.662,M3
7,302,Dan Ropar,UNLIMITED - RWD,1:43.703,Corvette
8,28,Peter Zhang,STREET MOD - AWD,1:43.790,Impreza WRX
9,7,Joshua Halka,STREET - AWD,1:44.042,Impreza WRX
10,63,Luca Barberis,STREET MOD - AWD,1:45.075,Lancer Evolution 9
11,109,Dana Basinski,CLUB TR - RWD,1:45.599,Brz
12,511,Peter Granberg,STREET MOD - RWD,1:46.545,BRZ
13,55,Charles Miller,STREET - AWD,1:46.833,Evo 9
14,191,Andy Hollis,STREET - FWD,1:46.841,CRX
15,255,Ryan Seiler,CLUB TR - RWD,1:47.255,S2000
16,207,Adam Wood,STREET - AWD,1:47.370,Impreza
17,900,Ian Creps,STREET - FWD,1:47.835,Type R
18,10,Kyoo Lee,STREET - AWD,1:47.959,Evo
19,737,Alex Lundeen,STREET - FWD,1:48.016,Mazdaspeed3
20,9,Drew Turner,CLUB TR - RWD,1:48.643,S2000
21,717,Drew Cleaver,TRACK MOD - AWD,1:49.074,Model 3 performance
22,310,Mike Coons,STREET - AWD,1:49.580,Impreza WRX STI
23,527,Jackson Jensen,CLUB TR - RWD,1:50.348,S2000
24,809,Team MVP,CLUB TR - RWD,1:50.723,FRS
25,700,Tom Halka,STREET - AWD,1:50.736,2.5 RS
26,736,Cody Smith,STREET MOD - RWD,1:51.913,Cutlass
27,299,John Hunter,STREET - RWD,1:53.049,Miata
28,22,Luke Records,STREET - RWD,1:53.379,Solstice GXP
29,234,Brad Riemann,STREET - AWD,1:53.532,Focus RS
30,540,Douglas Hills,TRACK MOD - FWD,1:53.977,Civic
31,46,Nehru Cheddie,TRACK MOD - RWD,1:54.777,M3
32,21,Austin Covey,STREET MOD - RWD,1:54.959,Corvette
33,424,Michael Norman,STREET - AWD,1:58.641,STI Hatchback
34,48,Torry Skurski,STREET - RWD,1:59.437,328i
35,129,Matt Williams,SUNDAE CUP - FWD,2:00.267,Fit
36,930,Paul Nixon,STREET - RWD,2:00.400,350Z
37,139,Team Brap,SUNDAE CUP - FWD,2:00.990,Fit
38,411,Hard Times Racing,SUNDAE CUP - FWD,2:02.523,Fit
39,926,James Morgan,SUNDAE CUP - FWD,2:04.659,Fit
40,594,Rory Lonergan,SUNDAE CUP - FWD,2:06.300,Fit
41,600,Dalton Klein,SUNDAE CUP - FWD,2:09.687,Fit
42,702,IR Racing,SUNDAE CUP - FWD,2:11.793,Fit
43,690,Dan Gordon,UNLIMITED - RWD,,ZR1
