Results Overall - All Groups - Updated w/ H8,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
13,109,Dana Basinski,CLUB TR - RWD,1:45.599,Brz
19,255,Ryan Seiler,CLUB TR - RWD,1:47.060,S2000
24,9,Drew Turner,CLUB TR - RWD,1:48.643,S2000
28,527,Jackson Jensen,CLUB TR - RWD,1:49.910,S2000
30,809,Team MVP,CLUB TR - RWD,1:50.723,FRS
44,68,Daniel Montanez,CLUB TR - RWD,2:00.550,BRZ
11,7,Joshua Halka,STREET - AWD,1:43.376,Impreza WRX
16,55,Charles Miller,STREET - AWD,1:46.340,Evo 9
17,207,Adam Wood,STREET - AWD,1:46.605,Impreza
18,10,Kyoo Lee,STREET - AWD,1:46.959,Evo
23,700,Tom Halka,STREET - AWD,1:47.995,2.5 RS
26,310,Mike Coons,STREET - AWD,1:49.510,Impreza WRX STI
33,234,Brad Riemann,STREET - AWD,1:52.749,Focus RS
37,424,Michael Norman,STREET - AWD,1:53.697,STI Hatchback
14,191,Andy Hollis,STREET - FWD,1:46.048,CRX
20,900,Ian Creps,STREET - FWD,1:47.453,Type R
21,737,Alex Lundeen,STREET - FWD,1:47.544,Mazdaspeed3
25,299,John Hunter,STREET - RWD,1:49.145,Miata
35,22,Luke Records,STREET - RWD,1:53.002,Solstice GXP
40,48,Torry Skurski,STREET - RWD,1:58.983,328i
42,930,Paul Nixon,STREET - RWD,1:59.878,350Z
36,629,Jiaqi Li,STREET GT - RWD,1:53.139,Julia
3,6,Michael Aumick,STREET MOD - AWD,1:39.338,Sti
7,70,Dewey DeWitt,STREET MOD - AWD,1:42.146,Impreza L (Boogeyman)
8,28,Peter Zhang,STREET MOD - AWD,1:42.172,Impreza WRX
12,63,Luca Barberis,STREET MOD - AWD,1:44.962,Lancer Evolution 9
27,14,Kal Fortner,STREET MOD - AWD,1:49.764,S4
31,510,Piero Pucci,STREET MOD - AWD,1:51.124,Evolution 8
1,86,Jackie Ding,STREET MOD - RWD,1:37.938,Supra #TA90
5,150,Alex Moss,STREET MOD - RWD,1:41.275,S2000
15,511,Peter Granberg,STREET MOD - RWD,1:46.284,BRZ
32,736,Cody Smith,STREET MOD - RWD,1:51.392,Cutlass
39,21,Austin Covey,STREET MOD - RWD,1:54.491,Corvette
41,129,Matt Williams,SUNDAE CUP - FWD,1:59.724,Fit
43,139,Team Brap,SUNDAE CUP - FWD,1:59.932,Fit
45,411,Hard Times Racing,SUNDAE CUP - FWD,2:01.858,Fit
46,926,James Morgan,SUNDAE CUP - FWD,2:04.432,Fit
47,702,IR Racing,SUNDAE CUP - FWD,2:04.733,Fit
48,594,Rory Lonergan,SUNDAE CUP - FWD,2:05.307,Fit
49,600,Dalton Klein,SUNDAE CUP - FWD,2:07.726,Fit
9,318,Nick Anderson,SUPER UNLIMITED - RWD,1:42.788,Viper Competiton Coupe
22,717,Drew Cleaver,TRACK MOD - AWD,1:47.625,Model 3 performance
34,540,Douglas Hills,TRACK MOD - FWD,1:52.812,Civic
10,437,Cory Ross,TRACK MOD - RWD,1:43.320,M3
29,163,Duston Nixon,TRACK MOD - RWD,1:50.216,Camaro
38,46,Nehru Cheddie,TRACK MOD - RWD,1:53.770,M3
2,459,Brad Perkins,UNLIMITED - RWD,1:38.294,M3
4,690,Dan Gordon,UNLIMITED - RWD,1:40.885,ZR1
6,302,Dan Ropar,UNLIMITED - RWD,1:42.127,Corvette
