Heat 5 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,460,Grant Walker,TRACK MOD - RWD,1:29.233,Miata
2,82,Logan Carswell,UNLIMITED - RWD,1:31.287,Rx-7
3,121,Ryan Mathews,STREET MOD - RWD,1:31.780,Corvette
4,80,Damian Dabrowski,UNLIMITED - RWD,1:32.558,350z
5,248,Mike Kang,STREET MOD - RWD,1:32.914,Supra
6,7,Joshua Halka,STREET - AWD,1:33.632,Impreza WRX
7,79,Nicholas Kohrs,STREET MOD - FWD,1:33.918,Civic Si
8,52,Nicholas Gardner,UNLIMITED - RWD,1:34.262,GT500
9,114,Bronson McNemar,TRACK MOD - RWD,1:34.733,Miata
10,441,Adam Ulrich,STREET MOD - RWD,1:34.801,Corvette
11,63,Luca Barberis,STREET MOD - AWD,1:35.174,Lancer Evolution 9
12,35,Alex Westergaard,STREET MOD - RWD,1:35.191,S2000
13,834,Andrew Voelkel,STREET GT - RWD,1:35.411,Corvette C8
14,87,Team Twitch,STREET - RWD,1:35.708,M3
15,333,Tony Barber,STREET - AWD,1:35.816,Model 3
16,96,Johnny Cichowski,UNLIMITED - RWD,1:36.066,Miata
17,65,Ben Lin,STREET - AWD,1:36.630,Evo
18,575,Clay Davidson,STREET MOD - RWD,1:37.290,Mustang
19,74,Grant Davidson,CLUB TR - FWD,1:37.523,Integra
20,76,David Ottobre,UNLIMITED - RWD,1:37.647,Mustang
21,511,Peter Granberg,STREET MOD - RWD,1:37.662,BRZ
22,94,Nicholas Phillips,STREET GT - RWD,1:37.745,Corvette Z06
23,197,Kendall Samuel,UNLIMITED - AWD,1:37.774,Impreza
24,155,Joseph Mielke,STREET - AWD,1:37.823,Impreza WRX STi
25,12,Andrew Sonnevil,TRACK MOD - RWD,1:38.187,Miata
26,462,Connor Gallagher,STREET GT - AWD,1:38.281,GTR
27,28,Peter Zhang,STREET MOD - AWD,1:38.742,Impreza WRX
28,470,Edward Segal,STREET - FWD,1:38.866,Civic Type R
29,39,Graham Gaylord,TRACK MOD - RWD,1:39.052,C8
30,226,Jerry Liu,STREET GT - RWD,1:39.128,Supra
31,310,Mike Coons,STREET - AWD,1:39.145,Impreza WRX STI
32,900,Ian Creps,STREET - FWD,1:39.172,Type R
33,625,Samel Meseljevic,STREET - AWD,1:39.174,EVO X
34,189,Team Jakoby,CLUB TR - RWD,1:39.358,S2000
35,321,Teagan Thostenson,STREET - AWD,1:39.674,STi
36,776,Dallas Reed,UNLIMITED - RWD,1:39.720,RX-8
37,495,Richard Cho,STREET - RWD,1:39.782,370Z
38,44,Joel Phillips,UNLIMITED - RWD,1:39.861,Carrera S
39,255,Ryan Seiler,CLUB TR - RWD,1:39.924,S2000
40,334,Jim Smitholene,CLUB TR - RWD,1:40.129,S2000
41,531,Evan Weider,CLUB TR - FWD,1:40.169,Civic
42,167,Taylor Allen,STREET GT - RWD,1:40.309,Corvette Z06
43,284,Ido Waksman,CLUB TR - RWD,1:40.335,128i
44,13,Jerami Bailey,STREET MOD - RWD,1:40.550,Frs
45,14,Kal Fortner,STREET MOD - AWD,1:40.871,S4
46,243,Kevin Zhu,CLUB TR - FWD,1:41.257,Civic Si
47,527,Jackson Jensen,CLUB TR - RWD,1:42.010,S2000
48,976,Wes Case,UNLIMITED - RWD,1:42.699,M3
49,910,Zachary Anderson,STREET - RWD,1:42.967,350z
50,316,Phillip Jue,STREET - RWD,1:42.978,350z
51,747,John Butler,STREET - RWD,1:44.575,M3
52,305,Randy Bader Jr,TRACK MOD - AWD,1:44.702,Impreza RS
53,528,Richard Sawicki,STREET - RWD,1:45.407,Miata
54,203,Austin Leiphart,CLUB TR - RWD,1:45.833,Mx-5
55,424,Michael Norman,STREET - AWD,1:45.963,STI Hatchback
56,444,Brian Smith,STREET MOD - FWD,1:46.093,GTI
57,373,Ivan Onofriiciuc,STREET MOD - RWD,1:46.798,370z
58,270,Max Rooney,CLUB TR - FWD,1:47.577,Civic Si
59,238,Garrett Gloceri,CLUB TR - RWD,1:47.728,RX-8
60,124,PhD Racing V-Lobster,STREET - FWD,1:47.995,Veloster N
61,726,Jacob Abbott,CLUB TR - AWD,1:48.306,Impreza
62,221,Joseph King,TRACK MOD - FWD,1:48.725,Festiva
63,614,Eric Knerr,CLUB TR - RWD,1:48.879,Miata
64,48,Torry Skurski,STREET - RWD,1:48.901,328i
65,113,Trip Walker,STREET - RWD,1:50.197,FRS
66,771,Aric Streeter,CLUB TR - RWD,1:50.614,Elise
67,175,Cortland Bailey,TRACK MOD - RWD,1:50.757,325is
68,440,Taylor Steck,STREET - RWD,1:51.560,350z
69,395,Michael Smith,SUNDAE CUP - FWD,1:52.673,Fit
70,411,Hard Times Racing,SUNDAE CUP - FWD,1:52.937,Fit
71,969,Peter Lindberg,SUNDAE CUP - FWD,1:56.349,FIT
72,809,Daniel Malloy,SUNDAE CUP - FWD,1:56.975,2
73,716,Mike Mills,SUNDAE CUP - FWD,1:57.706,Fiesta
74,254,Dusty Michael,SUNDAE CUP - FWD,1:59.516,Fit
75,201,Faaez Dar,SUNDAE CUP - FWD,2:03.317,Fit
76,433,Bob Miller,SUNDAE CUP - FWD,2:03.855,Rio
77,925,Team Sumlin,SUNDAE CUP - FWD,2:17.891,2
78,705,Patrick Daugherty,STREET - RWD,,M3
