Heat 2 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,30,Steven Luca,UNLIMITED - RWD,2:07.011,Mustang
2,991,Jimmy Rauck,TRACK MOD - RWD,2:08.422,GT2RS
3,86,Jackie Ding,STREET MOD - RWD,2:08.462,Supra #TA90
4,245,Justin Peachey,TRACK MOD - RWD,2:10.221,Corvette
5,150,Alexander Moss,STREET MOD - RWD,2:11.513,S2000
6,133,Dan Foley,UNLIMITED - AWD,2:12.698,Evo x
7,87,Team Twitch,STREET - RWD,2:14.887,M3
8,670,Doug Francis,STREET GT - RWD,2:14.976,Corvette Z06
9,52,Nicholas Gardner,UNLIMITED - RWD,2:15.480,GT500
10,441,Adam Ulrich,STREET MOD - RWD,2:15.601,Corvette
11,7,Joshua Halka,STREET - AWD,2:15.784,Impreza WRX
12,460,Grant Walker,TRACK MOD - RWD,2:16.752,Miata
13,2,Ryan Dussex,UNLIMITED - AWD,2:17.255,Impreza
14,335,Christopher Bickford,STREET GT - RWD,2:17.845,Corvette
15,176,Jacob Hunt,STREET GT - RWD,2:18.248,Corvette Grand Sport
16,77,Alex Artayet,STREET GT - RWD,2:18.739,M3
17,333,Tony Barber,STREET - AWD,2:19.259,Model 3
18,65,Ben Lin,STREET - AWD,2:19.600,Evo
19,180,Dallas Reed,UNLIMITED - RWD,2:19.695,RX-8
20,705,Patrick Daugherty,STREET - FWD,2:20.177,Type R
21,10,Kyoo Lee,STREET - AWD,2:20.473,Evo
22,90,Jimmy Diggs,CLUB TR - FWD,2:21.152,Civic Sport
23,9,Drew Turner,CLUB TR - RWD,2:21.362,S2000
24,83,Shane Duncan,STREET - RWD,2:21.508,S2000
25,255,Ryan Seiler,CLUB TR - RWD,2:21.906,S2000
26,79,Nicholas Kohrs,STREET MOD - FWD,2:22.081,Civic
27,15,Rusty English,STREET GT - RWD,2:22.834,Corvette Z06
28,291,Chad Ross,TRACK MOD - RWD,2:22.958,Corvette Z06
29,189,Jakob Boedenauer,CLUB TR - RWD,2:23.171,S2000
30,575,Clay Davidson,STREET MOD - RWD,2:23.218,Mustang
31,63,Luca Barberis,STREET MOD - AWD,2:23.318,Lancer Evolution 9
32,64,Grant Mullet,STREET GT - RWD,2:23.442,Corvette
33,510,Piero Pucci,STREET MOD - AWD,2:23.465,Evolution 8
34,808,Chong Lor,STREET - FWD,2:23.599,Type R
35,32,Mullet Racing,TRACK MOD - RWD,2:23.740,Corvette
36,29,Kevin Tanakhone,CLUB TR - RWD,2:23.894,S2000
37,109,Dana Basinski,CLUB TR - RWD,2:25.498,Brz
38,195,Mike Jannsen,STREET - FWD,2:25.765,Civic
39,145,Devin Hoffman,STREET MOD - AWD,2:26.092,WRX STI
40,113,David Walker,STREET - RWD,2:26.245,FRS
41,495,Richard Cho,STREET - RWD,2:26.369,370Z
42,81,Tyler Powell,UNLIMITED - RWD,2:26.411,240z
43,98,Keyin Ding,STREET - FWD,2:26.443,Focus RS
44,327,Scott Knick,UNLIMITED - RWD,2:26.445,Corvette
45,177,Michael Neat,STREET MOD - RWD,2:26.669,FR-S
46,27,Ken Devriese,CLUB TR - RWD,2:26.788,S2000
47,148,Barry Ehrnschwender,STREET GT - RWD,2:26.992,Corvette Grand Sport
48,920,Mary Valdez,STREET - FWD,2:27.629,Civic Type R
49,203,Austin Leiphart,CLUB TR - RWD,2:28.224,Mx-5
50,39,Jeremy Boysen,STREET GT - RWD,2:28.507,C8
51,112,Ethan Bailey,STREET - AWD,2:30.155,WRX
52,385,Ian Manger,STREET - FWD,2:30.859,RSX
53,38,Ernestas Puzelis,TRACK MOD - RWD,2:32.229,370Z
54,141,Lisa Keyes,STREET - FWD,2:32.737,Civic Si
55,46,Nehru Cheddie,STREET - RWD,2:33.404,M3
56,28,Peter Zhang,CLUB TR - RWD,2:34.487,FRS
57,206,Dalton Klein,TRACK MOD - RWD,2:35.317,Camaro
58,700,Tom Halka,STREET - AWD,2:36.403,Impreza WRX
59,221,Joseph King,TRACK MOD - FWD,2:37.826,Festiva
60,395,Michael Smith,SUNDAE CUP - FWD,2:38.948,Fit
61,129,Matt Williams,SUNDAE CUP - FWD,2:39.324,Fit
62,12,Andrew Sonnevil,TRACK MOD - RWD,2:39.931,Miata
63,48,Torry Skurski,STREET - RWD,2:40.580,328i
64,602,Daniel Chun,CLUB TR - FWD,2:41.130,Civic SI
65,139,Team Brap,SUNDAE CUP - FWD,2:44.795,Fit
66,373,Ivan Onofriiciuc,STREET - RWD,2:50.823,370z
67,926,James Morgan,SUNDAE CUP - FWD,2:51.362,Fit
68,292,Charity Thompson,STREET MOD - RWD,2:52.595,86
69,142,Juan Johnson,STREET MOD - RWD,2:54.035,S2000
70,440,Taylor Steck,STREET - RWD,2:54.369,350z
71,411,Kyle Carstens,SUNDAE CUP - FWD,2:59.167,Fit
