Time Attack Overall Results - Updated 4:01pm,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
25,90,Jimmy Diggs,CLUB TR - FWD,2:19.103,Civic Sport
60,602,Daniel Chun,CLUB TR - FWD,2:29.978,Civic SI
29,9,Drew Turner,CLUB TR - RWD,2:20.252,S2000
37,255,Ryan Seiler,CLUB TR - RWD,2:21.906,S2000
38,189,Jakob Boedenauer,CLUB TR - RWD,2:22.066,S2000
40,4,Matt Williams,CLUB TR - RWD,2:22.399,RX7
42,109,Dana Basinski,CLUB TR - RWD,2:23.076,Brz
43,27,Ken Devriese,CLUB TR - RWD,2:23.312,S2000
44,29,Kevin Tanakhone,CLUB TR - RWD,2:23.894,S2000
55,203,Austin Leiphart,CLUB TR - RWD,2:27.670,Mx-5
59,28,Peter Zhang,CLUB TR - RWD,2:29.820,FRS
15,7,Joshua Halka,STREET - AWD,2:15.714,Impreza WRX
20,65,Ben Lin,STREET - AWD,2:18.585,Evo
22,333,Tony Barber,STREET - AWD,2:18.818,modifiedel 3
27,10,Kyoo Lee,STREET - AWD,2:19.310,Evo
46,112,Ethan Bailey,STREET - AWD,2:24.696,WRX
47,700,Tom Halka,STREET - AWD,2:24.803,Impreza WRX
28,705,Patrick Daugherty,STREET - FWD,2:19.651,Type R
33,808,Chong Lor,STREET - FWD,2:21.332,Type R
35,920,Mary Valdez,STREET - FWD,2:21.638,Civic Type R
45,98,Keyin Ding,STREET - FWD,2:24.218,Focus RS
48,195,Mike Jannsen,STREET - FWD,2:25.065,Civic
56,141,Lisa Keyes,STREET - FWD,2:28.460,Civic Si
61,385,Ian Manger,STREET - FWD,2:30.413,RSX
9,87,Team Twitch,STREET - RWD,2:13.884,M3
31,83,Shane Duncan,STREET - RWD,2:20.796,S2000
34,495,Richard Cho,STREET - RWD,2:21.631,370Z
51,113,David Walker,STREET - RWD,2:26.245,FRS
54,46,Nehru Cheddie,STREET - RWD,2:27.263,M3
65,616,Taylor Bowling,STREET - RWD,2:36.478,S2000
67,48,Torry Skurski,STREET - RWD,2:38.820,328i
71,440,Taylor Steck,STREET - RWD,2:43.853,350z
72,373,Ivan Onofriiciuc,STREET - RWD,2:44.983,370z
13,670,Doug Francis,STREET GT - RWD,2:14.616,Corvette Z06
14,176,Jacob Hunt,STREET GT - RWD,2:14.917,Corvette Grand Sport
17,335,Christopher Bickford,STREET GT - RWD,2:16.792,Corvette
18,77,Alex Artayet,STREET GT - RWD,2:17.606,M3
23,15,Rusty English,STREET GT - RWD,2:18.827,Corvette Z06
30,64,Grant Mullet,STREET GT - RWD,2:20.501,Corvette
49,148,Barry Ehrnschwender,STREET GT - RWD,2:25.163,Corvette Grand Sport
19,63,Luca Barberis,STREET modified - AWD,2:18.127,Lancer Evolution 9
39,145,Devin Hoffman,STREET modified - AWD,2:22.195,WRX STI
41,510,Piero Pucci,STREET modified - AWD,2:23.070,Evolution 8
10,79,Nicholas Kohrs,STREET modified - FWD,2:14.114,Civic
2,86,Jackie Ding,STREET modified - RWD,2:07.967,Supra #TA90
6,150,Alexander Moss,STREET modified - RWD,2:10.968,S2000
7,441,Adam Ulrich,STREET modified - RWD,2:12.281,Corvette
36,575,Clay Davidson,STREET modified - RWD,2:21.824,Mustang
50,177,Michael Neat,STREET modified - RWD,2:25.458,FR-S
68,292,Charity Thompson,STREET modified - RWD,2:39.340,86
70,142,Juan Johnson,STREET modified - RWD,2:42.971,S2000
64,129,Matt Williams,SUNDAE CUP - FWD,2:36.457,Fit
66,395,Michael Smith,SUNDAE CUP - FWD,2:38.378,Fit
69,139,Team Brap,SUNDAE CUP - FWD,2:42.763,Fit
73,411,Kyle Carstens,SUNDAE CUP - FWD,2:48.031,Fit
75,926,James Morgan,SUNDAE CUP - FWD,2:50.931,Fit
76,433,Bob Miller,SUNDAE CUP - FWD,2:58.614,Rio
63,221,Joseph King,TRACK modified - FWD,2:32.779,Festiva
4,991,Jimmy Rauck,TRACK modified - RWD,2:08.422,GT2RS
5,245,Justin Peachey,TRACK modified - RWD,2:10.221,Corvette
8,460,Grant Walker,TRACK modified - RWD,2:12.617,Miata
21,291,Chad Ross,TRACK modified - RWD,2:18.792,Corvette Z06
24,32,Mullet Racing,TRACK modified - RWD,2:19.064,Corvette
26,39,Graham Gaylord,TRACK modified - RWD,2:19.248,C8
32,12,Andrew Sonnevil,TRACK modified - RWD,2:21.080,Miata
57,206,Dalton Klein,TRACK modified - RWD,2:29.057,Camaro
58,46,Nehru Cheddie,TRACK modified - RWD,2:29.174,M3
62,38,Ernestas Puzelis,TRACK modified - RWD,2:32.229,370Z
3,133,Dan Foley,UNLIMITED - AWD,2:08.073,Evo x
16,2,Ryan Dussex,UNLIMITED - AWD,2:16.577,Impreza
74,197,Kendall Samuel,UNLIMITED - AWD,2:49.162,Impreza
1,30,Steven Luca,UNLIMITED - RWD,2:06.804,Mustang
11,180,Dallas Reed,UNLIMITED - RWD,2:14.455,RX-8
12,52,Nicholas Gardner,UNLIMITED - RWD,2:14.541,GT500
52,81,Tyler Powell,UNLIMITED - RWD,2:26.411,240z
53,327,Scott Knick,UNLIMITED - RWD,2:26.445,Corvette
