TA Overall Results - Updated 3:07pm,,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine,Points
9,7,Joshua Halka,STREET - AWD,1:53.631,Impreza WRX,100
34,234,Keyin Ding,STREET - AWD,2:06.080,Focus RS,0
21,808,Chong Lor,STREET - FWD,1:58.764,Civic Type R,49
31,141,Lisa Keyes,STREET - FWD,2:03.607,Civic,0
37,312,Mikey Singhaseni,STREET - FWD,2:06.498,TSX,0
38,182,Ethan Swindel,STREET - FWD,2:07.673,Integra,0
40,651,Charlie Moua,STREET - FWD,2:09.227,Civic,0
42,89,John Zepeda,STREET - FWD,2:10.462,Civic Si,0
47,89,John Zepeda,STREET - FWD,2:12.603,Civic Si,0
22,255,Ryan Seiler,STREET - RWD,1:58.935,S2000,47
24,27,Ken Devriese,STREET - RWD,1:59.820,S2000,38
25,57,Andrew Hayes,STREET - RWD,2:00.997,M3,26
27,46,Nehru Cheddie,STREET - RWD,2:01.688,M3,19
35,331,Christian Duchesne,STREET - RWD,2:06.395,FRS,0
45,48,Torry Skurski,STREET - RWD,2:11.984,328i,0
5,110,Chet Moseley,STREET GT - RWD,1:50.161,Corvette,100
10,335,Christopher Bickford,STREET GT - RWD,1:54.245,Corvette,59
13,22,Jeremy Boysen,STREET GT - RWD,1:55.528,C8,46
15,233,Wilbur Huang,STREET GT - RWD,1:55.968,M4,42
41,103,James Sisson,STREET GT - RWD,2:09.287,Corvette,0
6,6,Michael Aumick,STREET MODIFIED - AWD,1:50.549,STI,83
26,14,Kal Fortner,STREET MODIFIED - AWD,2:01.075,S4,0
18,603,David Cordell,STREET MODIFIED - FWD,1:57.724,Civic Type R,11
2,86,Jackie Ding,STREET MODIFIED - RWD,1:48.853,Supra #TA90,100
7,100,Chase Johnston,STREET MODIFIED - RWD,1:51.278,S2000,76
11,35,Alex Westergaard,STREET MODIFIED - RWD,1:54.460,S2000,44
17,13,Jerami Bailey,STREET MODIFIED - RWD,1:57.375,FRS,15
20,125,Kevin Head,STREET MODIFIED - RWD,1:58.601,RX-7,3
23,401,SuperK Retirement Project,STREET MODIFIED - RWD,1:59.180,S2000,0
36,556,Anthony Bui,STREET MODIFIED - RWD,2:06.498,S2000,0
44,129,Matt Williams,SUNDAE CUP / SPECFIT - FWD,2:11.573,Fit,100
46,139,Team Brap,SUNDAE CUP / SPECFIT - FWD,2:12.587,Fit,90
14,717,Drew Cleaver,TRACK MODIFIED - AWD,1:55.627,Model 3,42
4,206,Dalton Klein,TRACK MODIFIED - RWD,1:49.785,Corvette Z06,100
12,291,Chad Ross,TRACK MODIFIED - RWD,1:54.505,Corvette,53
16,361,Dustin Nixon,TRACK MODIFIED - RWD,1:56.286,Camaro,35
28,860,Joshua Garcia,TRACK MODIFIED - RWD,2:01.733,Corolla,0
29,38,Ernestas Puzelis,TRACK MODIFIED - RWD,2:01.847,370z,0
33,959,James Wood,TRACK MODIFIED - RWD,2:05.563,RX-7,0
30,197,Mechanical Advantage Unlimited,UNLIMITED - AWD,2:02.818,Sti,0
1,281,Casey Jones,UNLIMITED - RWD,1:48.261,Corvette,100
3,173,Dylan Brown,UNLIMITED - RWD,1:49.033,GT350,92
8,96,Johnny Cichowski,UNLIMITED - RWD,1:51.392,Miata,69
19,50,Phil Grabow,UNLIMITED - RWD,1:58.240,911,0
32,51,Patel Nish,UNLIMITED - RWD,2:04.434,Corvette,0
39,44,Joel Phillips,UNLIMITED - RWD,2:07.903,C63,0
43,1,Kevin Parlett,UNLIMITED - RWD,2:10.723,Corvette,0
