Heat 4 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,86,Jackie Ding,STREET MOD - RWD,2:43.456,
2,55,Charles Miller,STREET - AWD,2:55.945,
3,87,Team Twitch,STREET - RWD,3:00.431,
4,241,Lali Nyiri,Track Mod -,3:04.226,
5,171,ANDRIUS BERTULIS,UNLIMITED - RWD,3:04.247,
6,14,Kal Fortner,STREET MOD - AWD,3:04.260,
7,437,Cory Ross,TRACK MOD - RWD,3:06.108,
8,79,Nicholas Kohrs,STREET MOD - FWD,3:07.418,
9,27,Ken Devriese,CLUB TR - RWD,3:08.515,
10,120,Steve Loudin,TRACK MOD - RWD,3:09.084,
11,234,Brad Riemann,STREET - AWD,3:09.106,
12,7,Joshua Halka,STREET - AWD,3:09.198,
13,255,Ryan Seiler,CLUB TR - RWD,3:13.935,
14,726,Jacob Abbott,CLUB TR - AWD,3:14.110,
15,48,Torry Skurski,STREET - RWD,3:14.416,
16,474,Derek Durkee,Club TR - AWD,3:14.925,
17,106,Jason Kanakry,STREET GT - RWD,3:16.750,
18,203,Austin Leiphart,CLUB TR - RWD,3:17.562,
19,226,Jerry Liu,STREET GT - RWD,3:17.646,
20,777,Team D Squared,CLUB TR - RWD,3:17.797,
21,13,Jerami Bailey,STREET MOD - RWD,3:18.038,
22,124,PhD Racing V-Lobster,STREET - FWD,3:22.653,
23,395,Michael Smith,SUNDAE CUP - FWD,3:22.779,
24,926,James Morgan,SUNDAE CUP - FWD,3:24.657,
25,109,Dana Basinski,CLUB TR - RWD,3:25.274,
26,675,Adam Jabaay,SUNDAE CUP - FWD,3:29.193,
27,107,Andre Wenzel,STREET MOD - RWD,3:29.497,
28,736,Cody Smith,STREET MOD - RWD,3:29.709,
29,623,Stan Fayngold,STREET - RWD,3:30.421,
30,942,Zachary Lovoy,TRACK MOD - RWD,3:31.023,
31,9,Drew Turner,CLUB TR - RWD,3:33.411,
32,433,Bob Miller,SUNDAE CUP - FWD,3:34.395,
33,716,Mike Mills,SUNDAE CUP - FWD,3:34.673,
34,38,Ernestas Puzelis,TRACK MOD - RWD,3:37.102,
35,411,Hard Times Racing,SUNDAE CUP - FWD,3:38.014,
36,373,Ivan Onofriiciuc,STREET MOD - RWD,3:38.125,
37,629,Jiaqi Li,STREET GT - RWD,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
