Results Overall - All Groups,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
68,726,Jacob Abbott,CLUB TR - AWD,2:49.539,Impreza
75,474,Derek Durkee,Club TR - AWD,3:01.828,CooperS
50,270,Max Rooney,CLUB TR - FWD,2:40.364,Civic Si
63,941,Justin Tilus,CLUB TR - FWD,2:45.637,Civic Si
70,230,Team NRB,CLUB TR - FWD,2:55.162,Celica
37,109,Dana Basinski,CLUB TR - RWD,2:35.093,Brz
41,255,Ryan Seiler,CLUB TR - RWD,2:35.899,S2000
44,9,Drew Turner,CLUB TR - RWD,2:37.931,S2000
45,27,Ken Devriese,CLUB TR - RWD,2:38.131,S2000
52,527,Jackson Jensen,CLUB TR - RWD,2:41.651,S2000
53,621,Troy Mass,CLUB TR - RWD,2:42.666,BRZ
58,777,Team D Squared,CLUB TR - RWD,2:43.351,BRZ
67,203,Austin Leiphart,CLUB TR - RWD,2:49.029,Mx-5
20,55,Charles Miller,STREET - AWD,2:31.221,Evo 9
27,7,Joshua Halka,STREET - AWD,2:32.171,Impreza WRX
54,207,Adam Wood,STREET - AWD,2:42.681,Impreza
59,234,Brad Riemann,STREET - AWD,2:43.842,Focus RS
62,700,Tom Halka,STREET - AWD,2:44.781,2.5 RS
46,900,Ian Creps,STREET - FWD,2:38.265,Type R
65,124,PhD Racing V-Lobster,STREET - FWD,2:47.269,Veloster N
72,47,Nicholas Lucchesi,STREET - FWD,2:59.066,Civic
18,87,Team Twitch,STREET - RWD,2:30.608,M3
19,625,samel meseljevic,STREET - RWD,2:31.039,350Z Nismo
57,747,John Butler,STREET - RWD,2:43.308,M3
60,623,Stan Fayngold,STREET - RWD,2:44.061,370Z
61,46,Nehru Cheddie,STREET - RWD,2:44.114,e46 M3
69,48,Torry Skurski,STREET - RWD,2:53.948,328i
71,440,Taylor Steck,STREET - RWD,2:55.262,350z
16,77,Alex Artayet,STREET GT - RWD,2:28.970,M3
26,773,Keenan Prusank,STREET GT - RWD,2:32.138,CAMARO SS 1LE
32,363,Michael Kubiak,STREET GT - RWD,2:33.433,Corvette Z06
35,931,Brad Moore,STREET GT - RWD,2:34.886,M2
36,629,Jiaqi Li,STREET GT - RWD,2:35.092,Giulia
39,351,Michael Barnes,STREET GT - RWD,2:35.396,Shelby GT350
40,106,Jason Kanakry,STREET GT - RWD,2:35.811,M3
42,226,Jerry Liu,STREET GT - RWD,2:35.910,Supra
8,6,Michael Aumick,STREET MOD - AWD,2:21.587,Sti
21,145,Devin Hoffman,STREET MOD - AWD,2:31.468,WRX STI
28,510,Piero Pucci,STREET MOD - AWD,2:32.438,Evolution 8
47,14,Kal Fortner,STREET MOD - AWD,2:38.387,S4
85,211,Troy Videkovich,STREET MOD - AWD,,WRX
12,79,Nicholas Kohrs,STREET MOD - FWD,2:25.714,Civic Si
2,86,Jackie Ding,STREET MOD - RWD,2:17.453,Supra #TA90
9,150,Alex Moss,STREET MOD - RWD,2:22.596,S2000
17,35,Alex Westergaard,STREET MOD - RWD,2:29.095,S2000
24,575,Clay Davidson,STREET MOD - RWD,2:31.897,Mustang
34,107,Andre Wenzel,STREET MOD - RWD,2:34.394,Rx7
49,205,Neal Scharte,STREET MOD - RWD,2:40.052,Rx8
51,13,Jerami Bailey,STREET MOD - RWD,2:40.373,Frs
55,373,Ivan Onofriiciuc,STREET MOD - RWD,2:42.725,370z
64,736,Cody Smith,STREET MOD - RWD,2:46.532,Cutlass
66,177,Michael Neat,STREET MOD - RWD,2:48.017,FR-S
73,395,Michael Smith,SUNDAE CUP - FWD,3:01.392,Fit
74,411,Hard Times Racing,SUNDAE CUP - FWD,3:01.786,Fit
76,926,James Morgan,SUNDAE CUP - FWD,3:04.230,Fit
