Heat 1 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,991,Jimmy Rauck,TRACK MODIFIED - RWD,1:28.817,911 GT2RS
2,307,Andy Hsiao,STREET MODIFIED - RWD,1:28.827,Corvette Z06
3,53,Robert Rushton,STREET - FWD,1:30.328,Civic Type R
4,42,David Marcus,STREET GT - RWD,1:30.493,Supra
5,106,Jason Kanakry,STREET MODIFIED - RWD,1:31.271,600LT
6,23,Chris Sewell,STREET MODIFIED - RWD,1:32.243 / 1:29.8*,370z
7,9,Drew Turner,CLUB TR - RWD,1:32.884,S2000
8,531,Evan Weider,CLUB TR - FWD,1:33.017,Civic
9,189,Jakob Boedenauer,CLUB TR - RWD,1:33.122,S2000
10,222,Meredith Najewicz,CLUB TR - RWD,1:33.323,BRZ
11,696,Fernando Granados,STREET GT - RWD,1:34.331,Supra
12,24,Anthony Lusano,CLUB TR - FWD,1:34.545,Civic
13,5,Zachary Anderson,CLUB TR - RWD,1:35.180,FR-S
14,933,Grant Murphy,CLUB TR - RWD,1:35.462,FR-S
15,540,Douglas Hills,TRACK MODIFIED - FWD,1:35.649,Civic
16,272,Brad Balkham,STREET MODIFIED - AWD,1:36.160,EVO X
17,74,Grant Davidson,CLUB TR - FWD,1:36.209,Integra GSR
18,373,Ivan Onofriiciuc,STREET - RWD,1:36.739,370z
19,110,William Gravely,STREET - RWD,1:36.846,911
20,311,Berk Cerci,STREET GT - RWD,1:37.192,Mustang GT
21,75,Jerome Cahuzac,STREET GT - RWD,1:37.206,M2
22,277,Brandon Luethye,STREET - AWD,1:38.014,Golf R
23,934,Cameron Boers,STREET - FWD,1:38.810,GTI
24,91,Chris Rice,STREET GT - RWD,1:38.819,Mustang Shelby GT
25,474,Derek Durkee,CLUB TR - FWD,1:39.821,Cooper S
26,129,Matt Williams,SUNDAE CUP - RWD,1:40.222,Fit
27,142,Juan Johnson,CLUB TR - RWD,1:40.917,S2000
28,231,Frank Schwartz,SUNDAE CUP - FWD,1:41.982,Cooper
29,144,Jonathan Wheeler,STREET MODIFIED - RWD,1:42.171,370z Nismo
30,139,Kevin Head,SUNDAE CUP - FWD,1:42.619,Fit
31,18,Kevin Vue,CLUB TR - FWD,1:42.708,Integra
32,395,Michael Smith,SUNDAE CUP - FWD,1:43.677,Fit
33,130,James Smith,SUNDAE CUP - RWD,1:43.763,Fit
34,201,Faaez Dar,SUNDAE CUP - FWD,1:44.448,Fit
35,780,Mark Johnson,STREET - RWD,1:46.477,Miata
36,301,Stewart Storm,SUNDAE CUP - FWD,1:46.940,Fit
37,616,Nathan Valdez,STREET - AWD,1:47.773,A3
38,175,Cortland Bailey,STREET MODIFIED - RWD,1:47.780,325is
39,959,James Wood,TRACK MODIFIED - RWD,1:48.767,318i
40,8,Christopher Wolf,SUNDAE CUP - FWD,1:51.671,Fit
41,193,Mark Kilgore,STREET MODIFIED - RWD,1:52.294,135i
42,713,Fernando Dahbura,SUNDAE CUP - FWD,1:53.948,Cooper
43,725,Erik Voelkle,SUNDAE CUP - FWD,1:54.527,Fit
44,93,Derick Hohenshilt,TRACK MODIFIED - FWD,1:56.781,CR-X
45,137,Lisa Keys,STREET MODIFIED - FWD,1:57.473,Civic
