Results Overall - All Groups,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,106,Jason Kanakry,STREET MODIFIED - RWD,1:26.949,600LT
2,307,Andy Hsiao,STREET MODIFIED - RWD,1:27.186,Corvette Z06
3,991,Jimmy Rauck,TRACK MODIFIED - RWD,1:28.333,911 GT2RS
4,42,David Marcus,STREET GT - RWD,1:28.984,Supra
5,23,Chris Sewell,STREET MODIFIED - RWD,1:29.108,370z
6,7,Halka Racing,STREET - AWD,1:29.571,Impreza WRX
7,74,Grant Davidson,CLUB TR - FWD,1:29.851,Integra GSR
8,53,Robert Rushton,STREET - FWD,1:30.023,Civic Type R
9,531,Evan Weider,CLUB TR - FWD,1:31.105,Civic
10,555,Patrick Daugherty,STREET - FWD,1:31.521,Type R
11,24,Anthony Lusano,CLUB TR - FWD,1:31.626,Civic
12,232,Rod Summers,STREET MODIFIED - RWD,1:31.700,G35
13,9,Drew Turner,CLUB TR - RWD,1:32.042,S2000
14,272,Brad Balkham,STREET MODIFIED - AWD,1:32.540,EVO X
15,189,Jakob Boedenauer,CLUB TR - RWD,1:32.575,S2000
16,311,Berk Cerci,STREET GT - RWD,1:32.756,Mustang GT
17,222,Meredith Najewicz,CLUB TR - RWD,1:33.323,BRZ
18,696,Fernando Granados,STREET GT - RWD,1:33.976,Supra
19,110,William Gravely,STREET - RWD,1:34.095,911
20,5,Zachary Anderson,CLUB TR - RWD,1:34.290,FR-S
21,933,Grant Murphy,CLUB TR - RWD,1:34.656,FR-S
22,373,Ivan Onofriiciuc,STREET - RWD,1:34.657,370z
23,540,Douglas Hills,TRACK MODIFIED - FWD,1:35.458,Civic
24,91,Chris Rice,STREET GT - RWD,1:36.248,Mustang Shelby GT
25,142,Juan Johnson,CLUB TR - RWD,1:36.347,S2000
26,75,Jerome Cahuzac,STREET GT - RWD,1:36.706,M2
27,20,Ryan Zupancic,CLUB TR - RWD,1:36.801,Miata
28,197,Kendall Samuel,TRACK MODIFIED - AWD,1:37.005,Impreza
29,193,Mark Kilgore,STREET MODIFIED - RWD,1:37.686,135i
30,18,Kevin Vue,CLUB TR - FWD,1:37.748,Integra
31,277,Brandon Luethye,STREET - AWD,1:37.775,Golf R
32,934,Cameron Boers,STREET - FWD,1:38.171,GTI
33,780,Mark Johnson,STREET - RWD,1:38.903,Miata
34,474,Derek Durkee,CLUB TR - FWD,1:38.934,Cooper S
35,144,Jonathan Wheeler,STREET MODIFIED - RWD,1:39.127,370z Nismo
36,137,Lisa Keys,STREET MODIFIED - FWD,1:39.193,Civic
37,129,Matt Williams,SUNDAE CUP - RWD,1:40.222,Fit
38,231,Frank Schwartz,SUNDAE CUP - FWD,1:40.889,Cooper
39,616,Nathan Valdez,STREET - AWD,1:41.068,A3
40,395,Michael Smith,SUNDAE CUP - FWD,1:41.624,Fit
41,130,James Smith,SUNDAE CUP - RWD,1:42.472,Fit
42,713,Fernando Dahbura,SUNDAE CUP - FWD,1:42.530,Cooper
43,139,Kevin Head,SUNDAE CUP - FWD,1:42.551,Fit
44,175,Cortland Bailey,STREET MODIFIED - RWD,1:43.016,325is
45,201,Faaez Dar,SUNDAE CUP - FWD,1:43.686,Fit
46,411,Kyle Carstens,SUNDAE CUP - FWD,1:44.621,Fit
47,301,Stewart Storm,SUNDAE CUP - FWD,1:45.740,Fit
48,8,Christopher Wolf,SUNDAE CUP - FWD,1:46.010,Fit
49,42,Brandt Vircks,SUNDAE CUP - FWD,1:46.244,Cobalt
50,235,Anthony Novelli,SUNDAE CUP - FWD,1:46.353,Fit
51,926,James Morgan,SUNDAE CUP - FWD,1:46.420,Fit
52,959,James Wood,TRACK MODIFIED - RWD,1:47.728,318i
53,725,Erik Voelkle,SUNDAE CUP - FWD,1:48.655,Fit
54,193,Mark Kilgore,STREET MOD -,1:52.294,135i
55,93,Derick Hohenshilt,TRACK MODIFIED - FWD,1:56.781,CR-X
56,197,Kendall Samuel,UNLIMITED - AWD,,Impreza
57,22,Renee Hines,CLUB TR - FWD,,CRX
58,150,Alex Moss,STREET MODIFIED - RWD,,S2000
