Heat 1 Results All Groups,,,,
Pos,No.,Name,Class,Best Time of Heat
1,171,Andrius Bertulis,UNLIMITED - RWD,1:57.205
2,144,Kal/Daniel Als Autobody,UNLIMITED - AWD,2:06.444
3,86,Jackie Ding,STREET MODIFIED - RWD,2:08.439
4,968,Matthew Davey,STREET MODIFIED - FWD,2:10.409
5,109,Dana Basinski,CLUB TR - RWD,2:10.584
6,284,Ido Waksman,CLUB TR - RWD,2:12.626
7,511,Peter Granberg,CLUB TR - RWD,2:12.709
8,41,Foster Johnson,CLUB TR - RWD,2:14.141
9,230,Team NRB,CLUB TR - FWD,2:14.249
10,333,Tony Barber,STREET - AWD,2:15.213
11,310,Mike Coons,STREET - AWD,2:15.288
12,7,Josh Halka,STREET - AWD,2:15.438
13,610,Fez Babar,CLUB TR - RWD,2:16.533
14,63,Luca Barberis,STREET - AWD,2:19.543
15,736,Cody Smith,STREET MODIFIED - RWD,2:20.845
16,266,Derek Mews,STREET - RWD,2:21.628
17,998,Thomas Bitterman,CLUB TR - FWD,2:22.508
18,869,Kevin Vo,CLUB TR - RWD,2:23.918
19,931,Brad Moore,STREET GT - RWD,2:24.040
20,470,Edward Segal,STREET - FWD,2:24.374
21,96,Sean Heneghan,CLUB TR - FWD,2:24.764
22,113,Trip Walker,CLUB TR - RWD,2:24.937
23,909,Becky Burton,SUNDAE CUP - FWD,2:25.997
24,388,Eric Jancsovics,CLUB TR - RWD,2:26.078
25,19,Scott Hollingsworth,STREET MODIFIED - RWD,2:28.497
26,37,Ekow Mensah,CLUB TR - RWD,2:29.684
27,316,Phillip Jue,STREET - RWD,2:30.071
28,510,Piero Pucci,CLUB TR - RWD,2:30.980
29,829,Tim Fleury,TRACK MODIFIED - RWD,2:31.238
30,226,Jerry Liu,STREET MODIFIED - RWD,2:32.556
31,35,Alex Westergaard,STREET MODIFIED - RWD,2:33.367
32,92,Brad Smith,SUNDAE CUP - FWD,2:34.607
33,442,Logan Geyer,CLUB TR - RWD,2:34.775
34,519,Malindima Sampa,STREET - RWD,2:36.411
35,12,Matthew Koval,CLUB TR - RWD,2:38.821
36,50,Ruben Manrique,STREET GT - RWD,2:46.001
37,828,Matthew Smith,CLUB TR - RWD,3:00.920
38,525,Christopher Quashnie,TRACK MODIFIED - RWD,
39,594,Rory Lonergan,SUNDAE CUP - FWD,
40,154,Jeff Franson,STREET MODIFIED - AWD,
41,238,Garrett Gloceri,CLUB TR - RWD,
42,20,Arthur Dvortsen,CLUB TR - RWD,
