Heat 5 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,86,Jackie Ding,STREET MODIFIED - RWD,1:26.651,GR Supra
2,991,Jimmy Rauck,TRACK MODIFIED - RWD,1:29.089,911 GT2RS
3,150,Alex Moss,STREET MODIFIED - RWD,1:29.327,S2000
4,54,Jaime Santos,STREET MODIFIED - RWD,1:30.870,1M
5,329,Alex Li,TRACK MODIFIED - RWD,1:31.969,911 GT3
6,377,Allen Ma,TRACK MODIFIED - RWD,1:32.231,GT3RS
7,350,Steve Luca,STREET GT - RWD,1:32.491,GT350R
8,35,Alex Westergaard,STREET MODIFIED - RWD,1:32.499,S2000
9,74,Grant Davidson,CLUB TR - FWD,1:33.258,GSR
10,52,Nicholas Gardner,UNLIMITED - RWD,1:33.427,GT500
11,171,Andrius Bertulis,UNLIMITED - RWD,1:33.507,RC F
12,63,Luca Barberis,STREET - AWD,1:33.545,Lancer Evolution 9
13,109,Dana Basinski,CLUB TR - RWD,1:33.828,BRZ
14,363,Mike Kubiak,STREET GT - RWD,1:33.994,Corvette
15,623,Stan Fayngold,STREET - AWD,1:34.249,Evo X
16,531,Evan Weider,CLUB TR - FWD,1:34.313,Civic
17,333,Tony Barber,STREET - AWD,1:34.409,Model 3 Performance
18,773,Keenan Prusank,STREET GT - RWD,1:34.443,Camaro SS 1LE
19,9,Drew Turner,STREET MODIFIED - RWD,1:34.921,Supra
20,334,Jim Smitholene,CLUB TR - RWD,1:35.349,S2000
21,829,Tim Fleury,TRACK MODIFIED - RWD,1:35.397,Camaro
22,313,Zachary Moore,STREET MODIFIED - RWD,1:35.398,Corvette
23,968,Matthew Davey,STREET MODIFIED - FWD,1:35.512,Focus ST
24,310,Mike Coons,STREET - AWD,1:35.907,WRX Sti
25,226,Jerry Liu,STREET MODIFIED - RWD,1:36.088,GR Supra
26,525,Christopher Quashnie,TRACK MODIFIED - RWD,1:36.395,Camaro ZL1 1LE
27,610,Fez Babar,CLUB TR - RWD,1:36.436,GR86
28,12,Matthew Koval,CLUB TR - RWD,1:36.484,S2000
29,266,Derek Mews,STREET - RWD,1:36.564,370z
30,41,Foster Johnson,CLUB TR - RWD,1:36.578,S2000
31,50,Ruben Manrique,STREET GT - RWD,1:36.827,Supra
32,27,Mario Mirone,CLUB TR - FWD,1:37.047,Civic
33,470,Edward Segal,STREET - FWD,1:37.081,Civic Type R
34,869,Kevin Vo,CLUB TR - RWD,1:37.134,FR-S
35,351,Michael Barnes,STREET GT - RWD,1:37.188,Shelby GT350
36,827,Vito Jin,STREET - RWD,1:37.542,M3
37,511,Peter Granberg,CLUB TR - RWD,1:37.660,BRZ
38,736,Cody Smith,STREET MODIFIED - RWD,1:38.356,Cutlass
39,44,Joel Phillips,TRACK MODIFIED - RWD,1:38.639,Carrera S
40,316,Phillip Jue,STREET - RWD,1:39.221,350Z
41,113,Trip Walker,CLUB TR - RWD,1:39.309,FR-S
42,284,Ido Waksman,CLUB TR - RWD,1:39.494,128i
43,388,Eric Jancsovics,CLUB TR - RWD,1:39.777,BRZ
44,373,Ivan Onofriiciuc,STREET - RWD,1:39.921,370z
45,95,Darian Taggart,CLUB TR - RWD,1:40.067,S2000
46,205,Neal Scharte,STREET MODIFIED - RWD,1:40.442,Rx8
47,238,Garrett Gloceri,CLUB TR - RWD,1:40.701,RX-8
48,46,Nehru Cheddie,STREET - RWD,1:40.733,E46 M3
49,28,Azmath Mohammed,CLUB TR - RWD,1:40.760,FR-S
50,828,Matthew Smith,CLUB TR - RWD,1:40.776,S2000
51,442,Logan Geyer,CLUB TR - RWD,1:40.777,BRZ
52,20,Arthur Dvortsen,CLUB TR - RWD,1:40.806,MX-5
53,519,Malindima Sampa,STREET - RWD,1:41.318,350Z
54,510,Piero Pucci,CLUB TR - RWD,1:42.082,FRS
55,96,Sean Heneghan,CLUB TR - FWD,1:43.213,Civic Si
56,700,Thomas Halka,STREET - AWD,1:43.530,RS
57,998,Thomas Bitterman,CLUB TR - FWD,1:43.873,Civic Si
58,154,Jeff Franson,STREET MODIFIED - AWD,1:44.074,Pulsar
59,169,Dan Mai,CLUB TR - RWD,1:44.598,325i
60,826,Jacob Abbott,SUNDAE CUP - FWD,1:46.817,Fit
61,144,Kal/Daniel Als Autobody,UNLIMITED - AWD,1:46.958,S4
62,37,Ekow Mensah,CLUB TR - RWD,1:48.259,Miata
63,92,Brad Smith,SUNDAE CUP - FWD,1:48.363,Fit
64,594,Rory Lonergan,SUNDAE CUP - FWD,1:48.924,Fit
65,771,Aric Streeter,SUNDAE CUP - FWD,1:49.422,Cooper
66,47,Nicholas Lucchesi,STREET - FWD,1:49.826,Civic
67,8,Christopher Wolf,SUNDAE CUP - FWD,1:50.843,Fit
68,967,Samuel Gwatkin,STREET GT - RWD,1:51.146,Mustang Cobra
69,201,Faaez Dar,SUNDAE CUP - FWD,1:51.342,Fit
70,909,Becky Burton,SUNDAE CUP - FWD,1:52.221,Mazda 2
71,411,Kyle Carstens,SUNDAE CUP - FWD,1:54.598,Fit
72,725,Erik Voelkle,SUNDAE CUP - FWD,1:57.629,Fit
73,412,Joe Sabol,STREET - FWD,4:20.253,TSX
74,172,Anish Ramrakhyani,CLUB TR - RWD,,S2000
75,969,Pete Lindberg,SUNDAE CUP - FWD,,Fit
76,16,Anish Ramrakhyani,STREET - RWD,,Cayman T
77,7,Josh Halka,STREET - AWD,,WRX
