Results Overall - All Groups,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,86,Jackie Ding,STREET MODIFIED - RWD,1:26.372,GR Supra
2,991,Jimmy Rauck,TRACK MODIFIED - RWD,1:28.304,911 GT2RS
3,150,Alex Moss,STREET MODIFIED - RWD,1:28.588,S2000
4,54,Jaime Santos,STREET MODIFIED - RWD,1:30.870,1M
5,377,Allen Ma,TRACK MODIFIED - RWD,1:31.445,GT3RS
6,350,Steve Luca,STREET GT - RWD,1:31.725,GT350R
7,35,Alex Westergaard,STREET MODIFIED - RWD,1:31.873,S2000
8,7,Josh Halka,STREET - AWD,1:31.918,WRX
9,329,Alex Li,TRACK MODIFIED - RWD,1:31.969,911 GT3
10,623,Stan Fayngold,STREET - AWD,1:32.098,Evo X
11,63,Luca Barberis,STREET - AWD,1:32.442,Lancer Evolution 9
12,52,Nicholas Gardner,UNLIMITED - RWD,1:32.608,GT500
13,109,Dana Basinski,CLUB TR - RWD,1:32.782,BRZ
14,74,Grant Davidson,CLUB TR - FWD,1:32.842,GSR
15,525,Christopher Quashnie,TRACK MODIFIED - RWD,1:33.102,Camaro ZL1 1LE
16,313,Zachary Moore,STREET MODIFIED - RWD,1:33.328,Corvette
17,333,Tony Barber,STREET - AWD,1:33.452,Model 3 Performance
18,171,Andrius Bertulis,UNLIMITED - RWD,1:33.507,RC F
19,531,Evan Weider,CLUB TR - FWD,1:33.758,Civic
20,363,Mike Kubiak,STREET GT - RWD,1:33.994,Corvette
21,9,Drew Turner,STREET MODIFIED - RWD,1:34.036,Supra
22,511,Peter Granberg,CLUB TR - RWD,1:34.341,BRZ
23,172,Anish Ramrakhyani,CLUB TR - RWD,1:34.358,S2000
24,334,Jim Smitholene,CLUB TR - RWD,1:34.434,S2000
25,829,Tim Fleury,TRACK MODIFIED - RWD,1:34.440,Camaro
26,773,Keenan Prusank,STREET GT - RWD,1:34.443,Camaro SS 1LE
27,226,Jerry Liu,STREET MODIFIED - RWD,1:34.451,GR Supra
28,27,Mario Mirone,CLUB TR - FWD,1:34.604,Civic
29,16,Anish Ramrakhyani,STREET - RWD,1:35.022,Cayman T
30,266,Derek Mews,STREET - RWD,1:35.145,370z
31,50,Ruben Manrique,STREET GT - RWD,1:35.434,Supra
32,310,Mike Coons,STREET - AWD,1:35.435,WRX Sti
33,968,Matthew Davey,STREET MODIFIED - FWD,1:35.471,Focus ST
34,41,Foster Johnson,CLUB TR - RWD,1:35.569,S2000
35,610,Fez Babar,CLUB TR - RWD,1:35.676,GR86
36,470,Edward Segal,STREET - FWD,1:35.799,Civic Type R
37,12,Matthew Koval,CLUB TR - RWD,1:36.042,S2000
38,869,Kevin Vo,CLUB TR - RWD,1:36.097,FR-S
39,351,Michael Barnes,STREET GT - RWD,1:36.382,Shelby GT350
40,827,Vito Jin,STREET - RWD,1:36.456,M3
41,284,Ido Waksman,CLUB TR - RWD,1:36.493,128i
42,700,Thomas Halka,STREET - AWD,1:36.539,RS
43,931,Brad Moore,STREET GT - RWD,1:36.654,M2
44,44,Joel Phillips,TRACK MODIFIED - RWD,1:36.930,Carrera S
45,107,Andre Wenzel,STREET MODIFIED - FWD,1:37.163,RX-7
46,144,Kal/Daniel Als Autobody,UNLIMITED - AWD,1:37.272,S4
