Heat 6 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,72,Feras Qartoumy,UNLIMITED - RWD,1:28.577,Corvette
2,113,Will Au-Yeung,TRACK MODIFIED - FWD,1:33.126,RSX
3,314,Michael Puglisi,TRACK MOD - AWD,1:33.648,Evo 9
4,150,ASM SuperK,STREET MODIFIED - RWD,1:34.463,S2000
5,86,Alex Lee,STREET MODIFIED - RWD,1:34.742,Supra
6,6,Michael Aumick,STREET MODIFIED - AWD,1:35.411,WRX STi
7,106,Jason Kanakry,STREET MODIFIED - RWD,1:36.145,600LT
8,70,Dewey Dewitt,STREET MODIFIED - AWD,1:36.182,Impreza L
9,14,Kal Fortner,STREET MODIFIED - RWD,1:36.392,GTS
10,176,Cody Hunt,STREET GT - RWD,1:37.223,Corvette
11,350,Steven Luca,STREET GT - RWD,1:37.647,Shelby GT350R
12,65,Ben Lin,STREET - AWD,1:37.693,Evo 9
13,411,Ryan Tuerck,UNLIMITED - RWD,1:37.710,GR Supra
14,377,Tianyi Ma,TRACK MODIFIED - RWD,1:37.960,911 GT3RS
15,174,David Calzada,UNLIMITED - RWD,1:38.348,Miata
16,335,Christopher Bickford,TRACK MOD - RWD,1:38.581,Camaro
17,155,Joe Mielke,STREET - AWD,1:38.641,Impreza WRX STi
18,460,Grant Walker,TRACK MOD - RWD,1:39.009,Miata
19,776,Dallas Reed,UNLIMITED - RWD,1:39.064,RX-8
20,34,Andy Voelkel,STREET GT - RWD,1:39.113,Corvette
21,623,Stan Fayngold,STREET - AWD,1:39.363,Evo X
22,77,Alex Artayet,STREET GT - RWD,1:39.650,M3
23,33,Chris Boersma,TRACK MOD - FWD,1:39.778,Civic
24,35,Alex Westergaard,STREET MODIFIED - RWD,1:39.877,S2000
25,625,Sammy Bosnian,STREET - RWD,1:39.881,350z Nismo
26,114,Bronson McNemar,TRACK MOD - RWD,1:39.966,Miata
27,206,Dalton Klein,TRACK MOD - RWD,1:40.282,Corvette
28,12,Andrew Sonnevil,TRACK MOD - RWD,1:40.383,Miata
29,89,Brandon Hodge,STREET GT - RWD,1:40.741,Supra
30,363,Mike Kubiak,STREET GT - RWD,1:40.877,Corvette Z06
31,66,Ben Thorn,CLUB TR - FWD,1:41.039,Civic
32,21,Teagan Thostenson,STREET - AWD,1:41.632,STi
33,531,Evan Weider,CLUB TR - FWD,1:41.783,Civic
34,50,Ruben Manrique,STREET GT - RWD,1:41.819,Supra
35,470,Eddy Segal,STREET - FWD,1:42.188,Civic Type R
36,511,Peter Granberg,CLUB TR - RWD,1:42.644,BRZ
37,310,Mike Coons,STREET - AWD,1:42.767,WRX STi
38,827,Vito Jin,STREET GT - RWD,1:43.103,M4
39,109,Dana Basinski,CLUB TR - RWD,1:43.126,BRZ
40,514,Evan Mclaren,CLUB TR - FWD,1:43.158,Integra
41,12,Matthew Koval,CLUB TR - RWD,1:43.311,S2000
42,27,Mario Mirone,CLUB TR - FWD,1:43.794,Civic
43,11,Graham Gaylord,STREET - AWD,1:44.466,Impreza
44,54,Tim Kainu,STREET GT - RWD,1:44.530,Supra
45,555,Patrick Daugherty,STREET - FWD,1:44.549,Civic Type R
46,266,Derek Mews,STREET - RWD,1:44.706,370z
47,610,Fez Babar,CLUB TR - RWD,1:45.118,GR86
48,595,Dustin Williams,TRACK MOD - AWD,1:45.125,R32 GTR
49,95,Darian Taggart,CLUB TR - RWD,1:46.103,S2000
50,13,Jerami Bailey,CLUB TR - RWD,1:46.331,FR-S
51,238,Garrett Gloceri,CLUB TR - RWD,1:46.363,RX-8
52,736,Cody Smith,STREET MODIFIED - RWD,1:46.380,Cutlass
53,91,Chris Rice,STREET GT - RWD,1:46.459,Mustang Shelby GT
54,88,Austin Goetz,CLUB TR - FWD,1:46.691,Civic
55,234,Brad Riemann,STREET - AWD,1:46.745,Focus RS
56,869,Kevin Vo,CLUB TR - RWD,1:47.383,FR-S
57,442,Logan Geyer,CLUB TR - RWD,1:47.395,BRZ
58,700,Tom Halka,STREET - AWD,1:47.442,2.5RS
59,96,Sean Heneghan,CLUB TR - FWD,1:47.515,Civic Si
60,52,Nicholas Gardner,UNLIMITED - RWD,1:47.573,Mustang GT500
61,444,Brian Smith,STREET MODIFIED - FWD,1:48.249,GTI
62,320,Nathan Poulson,CLUB TR - RWD,1:48.379,BRZ
63,199,Ian Flavin,CLUB TR - RWD,1:48.544,BRZ
64,142,Juan Johnson,CLUB TR - RWD,1:48.709,S2000
65,38,Ernestas Puzelis,TRACK MOD - RWD,1:48.803,370z
66,230,Team NRB,CLUB TR - FWD,1:48.811,Celica GT
67,519,Malindima Sampa,STREET - RWD,1:49.282,350z
68,440,Taylor Steck,STREET - RWD,1:49.565,350z
69,614,Eric Knerr,CLUB TR - RWD,1:49.671,MX-5
