Results Overall - All Groups,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,72,Feras Qartoumy,UNLIMITED - RWD,1:24.486,Corvette
2,113,Will Au-Yeung,TRACK MODIFIED - FWD,1:31.514,RSX
3,314,Michael Puglisi,TRACK MOD - AWD,1:32.361,Evo 9
4,991,Jimmy Rauck,TRACK MOD - RWD,1:32.507,911 GT2RS
5,6,Michael Aumick,STREET MODIFIED - AWD,1:32.876,WRX STi
6,150,ASM SuperK,STREET MODIFIED - RWD,1:33.067,S2000
7,411,Ryan Tuerck,UNLIMITED - RWD,1:33.535,GR Supra
8,70,Dewey Dewitt,STREET MODIFIED - AWD,1:33.551,Impreza L
9,106,Jason Kanakry,STREET MODIFIED - RWD,1:34.304,600LT
10,174,David Calzada,UNLIMITED - RWD,1:34.480,Miata
11,86,Alex Lee,STREET MODIFIED - RWD,1:34.597,Supra
12,197,Kendall Samuel,TRACK MOD - AWD,1:34.826,Impreza
13,79,Nicholas Kohrs,STREET MODIFIED - FWD,1:35.010,Civic Si
14,14,Kal Fortner,STREET MODIFIED - RWD,1:35.589,GTS
15,776,Dallas Reed,UNLIMITED - RWD,1:36.162,RX-8
16,176,Cody Hunt,STREET GT - RWD,1:36.167,Corvette
17,350,Steven Luca,STREET GT - RWD,1:36.205,Shelby GT350R
18,65,Ben Lin,STREET - AWD,1:36.388,Evo 9
19,155,Joe Mielke,STREET - AWD,1:36.453,Impreza WRX STi
20,377,Tianyi Ma,TRACK MODIFIED - RWD,1:36.583,911 GT3RS
21,33,Chris Boersma,TRACK MOD - FWD,1:36.708,Civic
22,52,Nicholas Gardner,UNLIMITED - RWD,1:36.723,Mustang GT500
23,7,Tony Barber,STREET - AWD,1:36.826,Impreza WRX
24,460,Grant Walker,TRACK MOD - RWD,1:36.955,Miata
25,206,Dalton Klein,TRACK MOD - RWD,1:37.019,Corvette
26,63,Luca Barberis,STREET - AWD,1:37.077,Lancer Evolution 9
27,34,Andy Voelkel,STREET GT - RWD,1:37.239,Corvette
28,623,Stan Fayngold,STREET - AWD,1:37.250,Evo X
29,335,Christopher Bickford,TRACK MOD - RWD,1:37.352,Camaro
30,77,Alex Artayet,STREET GT - RWD,1:37.397,M3
31,377,Tianyi MA,TRACK MOD - RWD,1:37.425,
32,114,Bronson McNemar,TRACK MOD - RWD,1:37.466,Miata
33,35,Alex Westergaard,STREET MODIFIED - RWD,1:37.829,S2000
34,233,Kevin Wesley,UNLIMITED - RWD,1:37.958,Hellcat Redeye
35,74,Grant Davidson,CLUB TR - FWD,1:38.900,Integra GSR
36,109,Dana Basinski,CLUB TR - RWD,1:39.005,BRZ
37,19,Scott Hollingsworth,STREET MODIFIED - RWD,1:39.209,S2000
38,363,Mike Kubiak,STREET GT - RWD,1:39.376,Corvette Z06
39,44,Joel Phillips,TRACK MOD - RWD,1:39.465,Carrera S
40,89,Brandon Hodge,STREET GT - RWD,1:39.772,Supra
41,12,Andrew Sonnevil,TRACK MOD - RWD,1:39.806,Miata
42,511,Peter Granberg,CLUB TR - RWD,1:39.864,BRZ
43,625,Samel Meseljevic,STREET - RWD,1:39.869,350z Nismo
44,54,Tim Kainu,STREET GT - RWD,1:39.942,Supra
45,66,Ben Thorn,CLUB TR - FWD,1:40.051,Civic
46,531,Evan Weider,CLUB TR - FWD,1:40.161,Civic
47,510,Piero Pucci,STREET MODIFIED - AWD,1:40.253,Evolution
48,310,Mike Coons,STREET - AWD,1:40.461,WRX STi
49,773,Keenan Prusank,STREET GT - RWD,1:40.675,Camaro SS 1LE
50,827,Vito Jin,STREET GT - RWD,1:40.685,M4
51,50,Ruben Manrique,STREET GT - RWD,1:40.814,Supra
52,21,Teagan Thostenson,STREET - AWD,1:40.862,STi
53,470,Eddy Segal,STREET - FWD,1:41.093,Civic Type R
