Heat 2 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,72,Feras Qartoumy,UNLIMITED - RWD,1:34.418,Corvette
2,86,Jackie Ding,STREET MODIFIED - RWD,1:36.495,GR Supra
3,313,Tadas Karlinskas,UNLIMITED - RWD,1:39.050,Cayman
4,6,Michael Aumick,STREET MODIFIED - AWD,1:39.979,Impreza
5,70,Eric (Dewey) DeWitt,STREET MODIFIED - AWD,1:40.766,Impreza
6,79,Nicholas Kohrs,STREET MODIFIED - FWD,1:41.461,Civic
7,106,Jason Kanakry,STREET MODIFIED - RWD,1:42.444,720S
8,100,Andy Hollis,TRACK MODIFIED - RWD,1:42.451,720S
9,7,Joshua Halka,STREET - AWD,1:42.629,Impreza
10,52,Nicholas Gardner,UNLIMITED - RWD,1:42.816,Mustang
11,623,Stan Fayngold,STREET - AWD,1:43.217,Lancer
12,206,Dalton Klein,TRACK MODIFIED - RWD,1:43.227,Corvette
13,350,Steve Luca,STREET GT - RWD,1:43.325,Mustang
14,62,Brian Blaine,TRACK MODIFIED - RWD,1:43.380,RX-7
15,241,Lali Nyiri,TRACK MODIFIED - AWD,1:43.411,Skyline GT-R
16,109,Dana Basinski,CLUB TR - RWD,1:43.939,BRZ
17,35,Alex Westergaard,STREET MODIFIED - RWD,1:44.170,S2000
18,55,Charles Miller,STREET - AWD,1:44.374,Lancer
19,347,Nicholas Hendrix,STREET GT - RWD,1:44.567,Corvette
20,531,Evan Weider,CLUB TR - FWD,1:44.783,Civic
21,627,Mario Mirone,CLUB TR - FWD,1:45.730 UO,Civic
22,266,Derek Mews,STREET - RWD,1:45.805,Z
23,437,Cory Ross,TRACK MODIFIED - RWD,1:45.847,M3
24,2,Ryan Dussex,UNLIMITED - AWD,1:45.858,Impreza
25,171,Andrius Bertulis,UNLIMITED - RWD,1:46.011,RC F
26,226,Jerry Liu,STREET MODIFIED - RWD,1:46.288,GR Supra
27,310,Mike Coons,STREET - AWD,1:46.466,Impreza
28,511,Peter Granberg,CLUB TR - RWD,1:46.941,BRZ
29,570,Kyle Magnuson,STREET GT - RWD,1:46.981,Cayman
30,103,Brandon Oglesby,TRACK MODIFIED - RWD,1:47.311,135
31,73,James King,SUPER UNLIMITED - RWD,1:47.460,SR3 RS
32,610,Fez Babar,CLUB TR - RWD,1:47.804,GR86
33,880,Shane Patza,CLUB TR - RWD,1:47.900,FR-S
34,304,Luke Records,STREET GT - RWD,1:47.900,Corvette
35,600,Jeffrey West,STREET - AWD,1:48.455,Impreza
36,218,Matt Thompson,TRACK MODIFIED - RWD,1:48.502,Mustang
37,654,Nick Aegerter,STREET - AWD,1:48.618,Focus
38,727,Trey Tyler,STREET MODIFIED - AWD,1:48.751,WRX
39,89,Brandon Hodge,STREET GT - RWD,1:49.106,GR Supra
40,260,Alex Roy,TRACK MODIFIED - RWD,1:49.114,M3
41,41,Foster Johnson,CLUB TR - RWD,1:49.228,S2000
42,150,Alex Moss,CLUB TR - RWD,1:49.606,S2000
