Results Overall - All Groups,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,72,Feras Qartoumy,UNLIMITED - RWD,1:30.964,Corvette
2,86,Jackie Ding,STREET MODIFIED - RWD,1:35.680,GR Supra
3,918,Nick Anderson,UNLIMITED - RWD,1:37.931,Viper
4,52,Nicholas Gardner,UNLIMITED - RWD,1:38.907,Mustang
5,100,Andy Hollis,TRACK MODIFIED - RWD,1:38.995,720S
6,313,Tadas Karlinskas,UNLIMITED - RWD,1:39.050,Cayman
7,106,Jason Kanakry,STREET MODIFIED - RWD,1:39.070,720S
8,79,Nicholas Kohrs,STREET MODIFIED - FWD,1:39.448,Civic
9,6,Michael Aumick,STREET MODIFIED - AWD,1:39.719,Impreza
10,70,Eric (Dewey) DeWitt,STREET MODIFIED - AWD,1:40.766,Impreza
11,62,Brian Blaine,TRACK MODIFIED - RWD,1:40.848,RX-7
12,7,Joshua Halka,STREET - AWD,1:41.191,Impreza
13,623,Stan Fayngold,STREET - AWD,1:41.200,Lancer
14,241,Lali Nyiri,TRACK MODIFIED - AWD,1:41.294,Skyline GT-R
15,2,Ryan Dussex,UNLIMITED - AWD,1:41.834,Impreza
16,171,Andrius Bertulis,UNLIMITED - RWD,1:41.998,RC F
17,350,Steve Luca,STREET GT - RWD,1:42.195,Mustang
18,206,Dalton Klein,TRACK MODIFIED - RWD,1:42.786,Corvette
19,55,Charles Miller,STREET - AWD,1:43.323,Lancer
20,109,Dana Basinski,CLUB TR - RWD,1:43.360,BRZ
21,74,Grant Davidson,CLUB TR - FWD,1:43.419,Integra
22,35,Alex Westergaard,STREET MODIFIED - RWD,1:43.520,S2000
23,310,Mike Coons,STREET - AWD,1:43.526,Impreza
24,570,Kyle Magnuson,STREET GT - RWD,1:44.124,Cayman
25,103,Brandon Oglesby,TRACK MODIFIED - RWD,1:44.140,135
26,226,Jerry Liu,STREET MODIFIED - RWD,1:44.193,GR Supra
27,73,James King,SUPER UNLIMITED - RWD,1:44.313,SR3 RS
28,727,Trey Tyler,STREET MODIFIED - AWD,1:44.356,WRX
29,347,Nicholas Hendrix,STREET GT - RWD,1:44.567,Corvette
30,266,Derek Mews,STREET - RWD,1:44.679,Z
31,531,Evan Weider,CLUB TR - FWD,1:44.681,Civic
32,437,Cory Ross,TRACK MODIFIED - RWD,1:44.740,M3
33,469,Rich Enriquez,STREET MODIFIED - RWD,1:45.286,GR Supra
34,258,Brent Schneekloth,STREET - AWD,1:45.989,Lancer
35,511,Peter Granberg,CLUB TR - RWD,1:46.116,BRZ
36,89,Brandon Hodge,STREET GT - RWD,1:46.182,GR Supra
37,627,Mario Mirone,CLUB TR - FWD,1:46.352,Civic
38,13,Jerami Bailey,CLUB TR - RWD,1:46.448,FR-S
39,218,Matt Thompson,TRACK MODIFIED - RWD,1:46.739,Mustang
