Heat 3 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,296,James Houghton,UNLIMITED - AWD,51.941,Evolution
2,326,Sasha Anis,UNLIMITED - RWD,52.479,350Z
3,86,Jackie Ding,STREET MOD - RWD,55.015,GR Supra
4,411,Ryan Tuerck,UNLIMITED - RWD,55.328,GR Supra
5,80,Damian Dabrowski,UNLIMITED - RWD,55.526,350Z
6,460,Grant Walker,TRACK MOD - RWD,55.702,MX-5 Miata
7,70,Eric (Dewey) DeWitt,STREET MOD - AWD,56.919,Impreza
8,33,Chris Boersma,TRACK MOD - FWD,57.608,Civic
9,14,Kal Fortner,STREET MOD - RWD,58.115,GTS
10,150,Alex Moss,STREET MOD - RWD,58.312,S2000
11,197,Kendall Samuel,TRACK MOD - AWD,58.375,Impreza
12,350,Steve Luca,STREET GT - RWD,58.585,Mustang
13,106,Jason Kanakry,STREET MOD - RWD,58.673,720S
14,62,Brian Blaine,TRACK MOD - RWD,58.687,RX-7
15,176,Cody Hunt,STREET GT - RWD,58.730,Corvette
16,52,Nicholas Gardner,UNLIMITED - RWD,58.764,Mustang
17,275,Steven Mahadeo,TRACK MOD - FWD,59.149,Civic
18,66,Ben Thorn,CLUB TR - FWD,59.182,Civic
19,144,Kevin Parlett,UNLIMITED - RWD,59.356,G35
20,60,Christopher Hatch,TRACK MOD - AWD,1:00.214,Model 3 Peformance
21,529,Chris Nahill,STREET MOD - RWD,1:00.327,GR Supra
22,488,Blake Fitzgerald,CLUB TR - RWD,1:00.580,S2000
23,511,Peter Granberg,CLUB TR - RWD,1:01.059,BRZ
24,226,Jerry Liu,STREET MOD - RWD,1:01.154,GR Supra
25,145,Devin Hofmann,STREET MOD - AWD,1:01.258,WRX
26,328,Marshall Chang,STREET MOD - RWD,1:01.323,GR Supra
27,77,Alex Artayet,STREET GT - RWD,1:01.433,M3
28,95,Darian Taggart,CLUB TR - RWD,1:01.486,S2000
29,53,Benson Tai,CLUB TR - RWD,1:01.498,S2000
30,470,Eddy Segal,STREET - FWD,1:01.514,Civic
31,543,Vincent Nardone,STREET GT - RWD,1:01.835,Mustang
32,21,Teagan Thostenson,STREET - AWD,1:02.014,Impreza
33,450,Christopher Acosta,TRACK MOD - FWD,1:02.106,Civic
34,821,Evan Madore,STREET - FWD,1:02.233,One
35,449,Colin Fitzgerald,STREET MOD - AWD,1:02.343,WRX
36,204,Michael Budai,STREET MOD - FWD,1:02.373,Civic
37,323,Nick Rivadeneira,CLUB TR - RWD,1:02.389,S2000
38,994,Nathan Brown,STREET - FWD,1:02.539,Golf
39,233,Otto Munoz,CLUB TR - RWD,1:02.716,S2000
40,96,Sean Heneghan,CLUB TR - FWD,1:02.812,Civic
41,342,Dan Persing,STREET - AWD,1:02.952,WRX
42,252,Kaval Vilkhu,CLUB TR - FWD,1:03.017,Civic
43,247,Patrick Huxley,TRACK MOD - FWD,1:03.520,Civic
44,603,Andrew Johnson,STREET - RWD,1:03.587,128
45,921,Devin Herndon,STREET - AWD,1:03.598,GLA-Class
46,399,Kevin Kerr,STREET - AWD,1:03.718,Lancer
47,444,Brian FroZone,STREET MOD - FWD,1:03.801,Golf GTI
48,230,Team NRB,CLUB TR - FWD,1:03.940,Celica
49,13,Jerami Bailey,CLUB TR - RWD,1:04.560,FR-S
50,464,Nick Babin,CLUB TR - RWD,1:04.604,MX-5 Miata
51,394,William Petrow,STREET - RWD,1:04.682,370Z
52,575,Clay Davidson,STREET MOD - RWD,1:04.923,240sx
53,580,Junar Gwinn,CLUB TR - FWD,1:05.323,Civic
54,395,Michael-Ross Smith,SUNDAE CUP - FWD,1:05.615,Fit
55,595,Dustin Williams,STREET - FWD,1:05.690,Civic
56,129,Matt Williams,SUNDAE CUP - FWD,1:05.711,Fit
57,228,Justin Kennedy,STREET - FWD,1:05.867,Cooper
58,405,David Pratte,STREET MOD - FWD,1:06.024,Integra Type R
59,411,Kyle Carstens,SUNDAE CUP - FWD,1:06.335,Fit
60,826,Jake Abbott,SUNDAE CUP - FWD,1:06.806,Fit
61,235,Anthony Novelli,SUNDAE CUP - FWD,1:07.149,Fit
62,480,Thomas Farrell,STREET - AWD,1:07.499,Golf R
63,301,Stewart Storm,SUNDAE CUP - FWD,1:08.870,Fit
64,253,Alexander Peterson,STREET MOD - AWD,1:09.388,Legacy
65,801,Daniel Malloy,SUNDAE CUP - FWD,1:10.185,2
66,609,CJ Mantel,STREET MOD - AWD,1:11.791,A4
67,370,Sam Deuling,SUNDAE CUP - FWD,1:13.288,Fit
68,425,Ethan Brown,STREET MOD - FWD,1:14.539,Golf
69,725,Erik Voelkle,SUNDAE CUP - FWD,1:15.337,Fit
