Results Overall - All Groups,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,296,James Houghton,UNLIMITED - AWD,51.299,Evolution
2,326,Sasha Anis,UNLIMITED - RWD,51.830,350Z
3,411,Ryan Tuerck,UNLIMITED - RWD,53.403,GR Supra
4,86,Jackie Ding,STREET MOD - RWD,54.133,GR Supra
5,460,Grant Walker,TRACK MOD - RWD,54.966,MX-5 Miata
6,80,Damian Dabrowski,UNLIMITED - RWD,55.069,350Z
7,33,Chris Boersma,TRACK MOD - FWD,55.526,Civic
8,70,Eric (Dewey) DeWitt,STREET MOD - AWD,56.206,Impreza
9,150,Alex Moss,STREET MOD - RWD,56.327,S2000
10,197,Kendall Samuel,TRACK MOD - AWD,56.351,Impreza
11,52,Nicholas Gardner,UNLIMITED - RWD,57.013,Mustang
12,106,Jason Kanakry,STREET MOD - RWD,57.322,720S
13,14,Kal Fortner,STREET MOD - RWD,57.654,GTS
14,176,Cody Hunt,STREET GT - RWD,57.716,Corvette
15,350,Steve Luca,STREET GT - RWD,57.932,Mustang
16,62,Brian Blaine,TRACK MOD - RWD,58.232,RX-7
17,215,Sasha Anis,TRACK MOD - AWD,58.366,Model 3 Peformance
18,66,Ben Thorn,CLUB TR - FWD,58.645,Civic
19,275,Steven Mahadeo,TRACK MOD - FWD,58.830,Civic
20,60,Christopher Hatch,TRACK MOD - AWD,59.186,Model 3 Peformance
21,144,Kevin Parlett,UNLIMITED - RWD,59.356,G35
22,488,Blake Fitzgerald,CLUB TR - RWD,59.674,S2000
23,511,Peter Granberg,CLUB TR - RWD,59.717,BRZ
24,529,Chris Nahill,STREET MOD - RWD,59.767,GR Supra
25,226,Jerry Liu,STREET MOD - RWD,59.884,GR Supra
26,65,Ben Lin,STREET - AWD,59.907,Lancer
27,399,Kevin Kerr,STREET - AWD,1:00.029,Lancer
28,470,Eddy Segal,STREET - FWD,1:00.137,Civic
29,77,Alex Artayet,STREET GT - RWD,1:00.228,M3
30,403,Donald Lui,CLUB TR - RWD,1:00.600,BRZ
31,449,Colin Fitzgerald,STREET MOD - AWD,1:00.887,WRX
32,328,Marshall Chang,STREET MOD - RWD,1:00.964,GR Supra
33,95,Darian Taggart,CLUB TR - RWD,1:01.142,S2000
34,21,Teagan Thostenson,STREET - AWD,1:01.251,Impreza
35,145,Devin Hofmann,STREET MOD - AWD,1:01.258,WRX
36,204,Michael Budai,STREET MOD - FWD,1:01.404,Civic
37,53,Benson Tai,CLUB TR - RWD,1:01.498,S2000
38,323,Nick Rivadeneira,CLUB TR - RWD,1:01.503,S2000
39,821,Evan Madore,STREET - FWD,1:01.542,One
40,543,Vincent Nardone,STREET GT - RWD,1:01.550,Mustang
41,251,Chris Smith,STREET MOD - RWD,1:01.850,135i
42,233,Otto Munoz,CLUB TR - RWD,1:01.864,S2000
43,450,Christopher Acosta,TRACK MOD - FWD,1:01.931,Civic
44,464,Nick Babin,CLUB TR - RWD,1:02.222,MX-5 Miata
45,342,Dan Persing,STREET - AWD,1:02.320,WRX
46,252,Kaval Vilkhu,CLUB TR - FWD,1:02.385,Civic
47,994,Nathan Brown,STREET - FWD,1:02.448,Golf
48,444,Brian FroZone,STREET MOD - FWD,1:02.728,Golf GTI
49,96,Sean Heneghan,CLUB TR - FWD,1:02.812,Civic
50,921,Devin Herndon,STREET - AWD,1:02.892,GLA Class
51,365,William Washburn,TRACK MOD - RWD,1:02.896,CSL
52,247,Patrick Huxley,TRACK MOD - FWD,1:02.968,Civic
53,603,Andrew Johnson,STREET - RWD,1:02.996,128
54,13,Jerami Bailey,CLUB TR - RWD,1:03.142,FR-S
55,514,Evan Mclaren,CLUB TR - FWD,1:03.400,Integra
56,595,Dustin Williams,STREET - FWD,1:03.590,Civic
57,575,Clay Davidson,STREET MOD - RWD,1:03.725,240sx
58,394,William Petrow,STREET - RWD,1:03.814,370Z
59,230,Team NRB,CLUB TR - FWD,1:03.876,Celica
60,142,Juan Johnson,CLUB TR - RWD,1:03.884,S2000
61,500,Sean Sullivan,STREET - FWD,1:04.187,Golf GTI
62,580,Junar Gwinn,CLUB TR - FWD,1:04.315,Civic
63,22,Scott Giles,CLUB TR - FWD,1:04.546,CRX
64,395,Michael-Ross Smith,SUNDAE CUP - FWD,1:04.882,Fit
65,228,Justin Kennedy,STREET - FWD,1:05.007,Cooper
66,89,Brandon Hodge,STREET GT - RWD,1:05.018,GR Supra
67,129,Matt Williams,SUNDAE CUP - FWD,1:05.069,Fit
68,480,Thomas Farrell,STREET - AWD,1:05.321,Golf R
69,411,Kyle Carstens,SUNDAE CUP - FWD,1:05.574,Fit
70,405,David Pratte,STREET MOD - FWD,1:06.024,Integra Type R
71,826,Jake Abbott,SUNDAE CUP - FWD,1:06.093,Fit
72,235,Anthony Novelli,SUNDAE CUP - FWD,1:06.296,Fit
73,253,Alexander Peterson,STREET MOD - AWD,1:06.605,Legacy
74,590,Thomas Farrell,TRACK MOD - AWD,1:06.865,Lancer
75,370,Sam Deuling,SUNDAE CUP - FWD,1:07.231,Fit
76,121,Joseph King,SUNDAE CUP - FWD,1:07.287,Protege
77,301,Stewart Storm,SUNDAE CUP - FWD,1:07.747,Fit
78,150,Alex Moss,SUNDAE CUP - FWD,1:07.979,Fit
79,590,Thomas Farrell,STREET MOD - AWD,1:08.009,Lancer
80,801,Daniel Malloy,SUNDAE CUP - FWD,1:08.504,2
