Heat 5 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,72,Feras Qartomy,UNLIMITED - RWD,1:24.421,Corvette
2,70,Eric (Dewey) DeWitt,STREET MODIFIED - AWD,1:30.177,Impreza
3,776,Dallas Reed,UNLIMITED - RWD,1:30.249,RX-8
4,460,Grant Walker,TRACK MODIFIED - RWD,1:30.343,MX-5 Miata
5,197,Kendall Samuel,TRACK MODIFIED - AWD,1:30.996,Impreza
6,150,Alex Moss,STREET MODIFIED - RWD,1:31.244,S2000
7,33,Chris Boersma,TRACK MODIFIED - FWD,1:31.946,Civic
8,79,Nicholas Kohrs,STREET MODIFIED - FWD,1:32.493,Civic
9,7,Joshua Halka,STREET - AWD,1:32.877,Impreza
10,114,Bronson Mcnemar,TRACK MODIFIED - RWD,1:33.579,MX-5 Miata
11,65,Ben Lin,STREET - AWD,1:33.765,Lancer
12,34,Andy Voelkel,STREET GT - RWD,1:33.948,Corvette
13,176,Cody Hunt,STREET GT - RWD,1:34.019,Corvette
14,350,Steve Luca,STREET GT - RWD,1:34.145,Mustang
15,560,Jacob Besemer,STREET GT - RWD,1:34.477,Camaro
16,335,Chris Bickford,TRACK MODIFIED - RWD,1:34.668,Camaro
17,628,Matt Simpkins,STREET MODIFIED - RWD,1:34.931,GR Supra
18,333,Tony Barber,STREET - AWD,1:34.948,Model 3
19,77,Alex Artayet,STREET GT - RWD,1:35.229,M3
20,206,Dalton Klein,TRACK MODIFIED - RWD,1:35.235,Corvette
21,35,Alex Westergaard,STREET MODIFIED - RWD,1:35.383,S2000
22,363,Michael Kubiak,STREET GT - RWD,1:35.540,Corvette
23,74,Grant Davidson,CLUB TR - FWD,1:35.574,Integra
24,89,Brandon Hodge,STREET GT - RWD,1:35.769,GR Supra
25,66,Ben Thorn,CLUB TR - FWD,1:35.936,Civic
26,531,Evan Weider,CLUB TR - FWD,1:35.962,Civic
27,310,Mike Coons,STREET - AWD,1:36.181,Impreza
28,109,Dana Basinski,CLUB TR - RWD,1:36.338,BRZ
29,533,Joseph Dale,STREET GT - RWD,1:36.554,M4
30,327,Scott Knick,UNLIMITED - RWD,1:36.637,Corvette
31,878,John Silva,STREET MODIFIED - FWD,1:36.998,Civic Del Sol
32,44,Joel Phillips,TRACK MODIFIED - RWD,1:37.295,911
33,511,Peter Granberg,CLUB TR - RWD,1:37.428,BRZ
34,470,Eddy Segal,STREET - FWD,1:37.828,Civic
35,514,Evan Mclaren,CLUB TR - FWD,1:37.942,Integra
36,21,Teagan Thostenson,STREET - AWD,1:38.093,Impreza
37,351,Michael Barnes,STREET GT - RWD,1:38.129,Mustang
38,523,Mike Janssen,STREET MODIFIED - RWD,1:38.291,MX-5 Miata
39,462,Connor Gallagher,STREET GT - AWD,1:38.686,GTR
40,742,Rico Valdez,STREET GT - RWD,1:39.684,Corvette
41,736,Cody Smith,STREET MODIFIED - RWD,1:39.704,Cutlass
42,95,Darian Taggart,CLUB TR - RWD,1:39.904,S2000
43,627,Mario Mirone,CLUB TR - FWD,1:40.039,Civic
44,869,Kevin Vo,CLUB TR - RWD,1:40.174,FR-S
45,284,Ido Waksman,CLUB TR - RWD,1:40.308,128
46,167,Taylor Allen,STREET GT - RWD,1:41.155,Corvette
47,234,Brad Riemann,STREET - AWD,1:41.804,Focus
48,330,Jeff Pinera,CLUB TR - FWD,1:41.835,CSX
49,762,Jon Shevel,UNLIMITED - RWD,1:42.041,MX-5 Miata
50,13,Jerami Bailey,CLUB TR - RWD,1:42.110,FR-S
51,28,Knottfast Motorsports,CLUB TR - RWD,1:42.326,FR-S
52,747,John Butler,STREET MODIFIED - RWD,1:42.485,M3
53,700,Tom Halka,STREET - AWD,1:42.496,Impreza
54,199,Ian Flavin,CLUB TR - RWD,1:42.951,BRZ
55,194,Michael Callaway,STREET - AWD,1:42.992,Impreza
56,238,Garrett Gloceri,CLUB TR - RWD,1:43.504,RX-8
57,510,Piero Pucci,CLUB TR - RWD,1:43.584,FR-S
58,320,Nathan Poulson,CLUB TR - RWD,1:43.755,BRZ
59,75,Jerome Cahuzac,STREET GT - RWD,1:43.969,M2
60,444,Brian Smith,STREET MODIFIED - FWD,1:43.980,Golf GTI
61,519,Malindima Sampa,STREET - RWD,1:44.355,350Z
62,517,Tim Lutz,STREET MODIFIED - RWD,1:44.704,Corvette
63,117,Jared Garcia,STREET - AWD,1:46.831,IS 300
64,62,Brian Blaine,TRACK MODIFIED - RWD,1:46.889,RX-7
65,614,Eric Knerr,CLUB TR - RWD,1:47.519,MX-5 Miata
66,129,Matt Williams,SUNDAE CUP - FWD,1:49.018,Fit
67,233,Dylan Rodgers,CLUB TR - RWD,1:50.256,MX-5 Miata
68,826,Jake Abbott,SUNDAE CUP - FWD,1:50.305,Fit
