Results Overall - All Groups,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,72,Feras Qartomy,UNLIMITED - RWD,1:23.509,Corvette
2,991,Jimmy Rauck,TRACK MODIFIED - RWD,1:27.974,911
3,86,Jackie Ding,STREET MODIFIED - RWD,1:28.849,Supra
4,296,James Houghton,UNLIMITED - AWD,1:29.045,Evolution
5,776,Dallas Reed,UNLIMITED - RWD,1:29.434,RX-8
6,460,Grant Walker,TRACK MODIFIED - RWD,1:30.088,MX-5 Miata
7,70,Eric (Dewey) DeWitt,STREET MODIFIED - AWD,1:30.177,Impreza
8,52,Nicholas Gardner,UNLIMITED - RWD,1:30.441,Mustang
9,197,Kendall Samuel,TRACK MODIFIED - AWD,1:30.996,Impreza
10,150,Alex Moss,STREET MODIFIED - RWD,1:31.147,S2000
11,314,Michael Puglisi,TRACK MODIFIED - AWD,1:31.247,Lancer
12,33,Chris Boersma,TRACK MODIFIED - FWD,1:31.946,Civic
13,79,Nicholas Kohrs,STREET MODIFIED - FWD,1:31.954,Civic
14,6,Aumick Michael,STREET MODIFIED - AWD,1:32.023,Impreza
15,14,Kal Fortner,STREET MODIFIED - RWD,1:32.619,GTS
16,65,Ben Lin,STREET - AWD,1:32.704,Lancer
17,7,Joshua Halka,STREET - AWD,1:32.877,Impreza
18,350,Steve Luca,STREET GT - RWD,1:33.159,Mustang
19,176,Cody Hunt,STREET GT - RWD,1:33.191,Corvette
20,335,Chris Bickford,TRACK MODIFIED - RWD,1:33.567,Camaro
21,114,Bronson Mcnemar,TRACK MODIFIED - RWD,1:33.579,MX-5 Miata
22,34,Andy Voelkel,STREET GT - RWD,1:33.948,Corvette
23,62,Brian Blaine,TRACK MODIFIED - RWD,1:33.996,RX-7
24,206,Dalton Klein,TRACK MODIFIED - RWD,1:34.065,Corvette
25,63,Luca Barberis,STREET - AWD,1:34.433,Lancer
26,560,Jacob Besemer,STREET GT - RWD,1:34.477,Camaro
27,77,Alex Artayet,STREET GT - RWD,1:34.544,M3
28,628,Matt Simpkins,STREET MODIFIED - RWD,1:34.931,GR Supra
29,333,Tony Barber,STREET - AWD,1:34.945,Model 3
30,35,Alex Westergaard,STREET MODIFIED - RWD,1:35.114,S2000
31,327,Scott Knick,UNLIMITED - RWD,1:35.120,Corvette
32,74,Grant Davidson,CLUB TR - FWD,1:35.221,Integra
33,89,Brandon Hodge,STREET GT - RWD,1:35.351,GR Supra
34,363,Michael Kubiak,STREET GT - RWD,1:35.540,Corvette
35,878,John Silva,STREET MODIFIED - FWD,1:35.642,Civic Del Sol
36,66,Ben Thorn,CLUB TR - FWD,1:35.690,Civic
37,531,Evan Weider,CLUB TR - FWD,1:35.962,Civic
38,310,Mike Coons,STREET - AWD,1:36.152,Impreza
39,109,Dana Basinski,CLUB TR - RWD,1:36.244,BRZ
40,533,Joseph Dale,STREET GT - RWD,1:36.554,M4
41,44,Joel Phillips,TRACK MODIFIED - RWD,1:36.950,911
42,511,Peter Granberg,CLUB TR - RWD,1:37.428,BRZ
43,462,Connor Gallagher,STREET GT - AWD,1:37.446,GTR
44,523,Mike Janssen,STREET MODIFIED - RWD,1:37.463,MX-5 Miata
45,627,Mario Mirone,CLUB TR - FWD,1:37.528,Civic
46,351,Michael Barnes,STREET GT - RWD,1:37.540,Mustang
47,514,Evan Mclaren,CLUB TR - FWD,1:37.596,Integra
48,470,Eddy Segal,STREET - FWD,1:37.766,Civic
49,21,Teagan Thostenson,STREET - AWD,1:38.078,Impreza
50,459,Brad Perkins,UNLIMITED - RWD,1:38.384,E46 M3
51,12,Matthew Koval,CLUB TR - RWD,1:39.140,S2000
52,742,Rico Valdez,STREET GT - RWD,1:39.684,Corvette
53,736,Cody Smith,STREET MODIFIED - RWD,1:39.704,Cutlass
54,13,Jerami Bailey,CLUB TR - RWD,1:39.787,FR-S
55,284,Ido Waksman,CLUB TR - RWD,1:39.843,128
56,95,Darian Taggart,CLUB TR - RWD,1:39.904,S2000
57,869,Kevin Vo,CLUB TR - RWD,1:39.986,FR-S
