Heat 6 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,245,Justin Peachey,TRACK MODIFIED - RWD,2:05.588,Corvette
2,991,Jimmy Rauck,TRACK MODIFIED - RWD,2:06.214,911 GT2RS
3,150,Alex Moss,STREET MODIFIED - RWD,2:10.032,S2000
4,460,Grant Walker,TRACK MODIFIED - RWD,2:10.310,Miata
5,176,Jacob Hunt,STREET GT - RWD,2:12.974,Corvette Grand Sport
6,79,Nicholas Kohrs,STREET MODIFIED - FWD,2:13.098,Civic Si
7,7,Halka Racing GR,STREET - AWD,2:14.033,Impreza WRX
8,350,Steve Luca,STREET GT - RWD,2:14.060,Shelby GT350R
9,52,Nicholas Gardner,UNLIMITED - RWD,2:14.172,GT500
10,307,Andy Hsiao,STREET MODIFIED - RWD,2:14.531,Corvette Z06
11,623,Stan Fayngold,STREET - AWD,2:14.626,Evo X
12,114,Bronson McNemar,TRACK MODIFIED - RWD,2:15.884,Miata
13,335,Christopher Bickford,TRACK MODIFIED - RWD,2:16.032,Camaro ZL1 1LE
14,6,Michael Aumick,STREET MODIFIED - AWD,2:16.040,STi
15,333,Tony Barber,STREET - AWD,2:16.061,Model 3
16,34,Andrew Voelkel,STREET GT - RWD,2:16.425,Corvette C8
17,109,Dana Basinski,CLUB TR - RWD,2:16.899,Brz
18,63,Luca Barberis,STREET - AWD,2:17.330,Lancer Evolution 9
19,106,Jason Kanakry,STREET MODIFIED - RWD,2:17.418,600LT
20,77,Alex Artayet,STREET GT - RWD,2:17.477,M3
21,523,Mike Janssen,STREET MODIFIED - RWD,2:18.228,Miata
22,625,Samel Meseljevic,STREET - RWD,2:19.896,350z Nismo
23,776,Dallas Reed,UNLIMITED - RWD,2:20.067,RX-8
24,338,Nicholas Zelisko,STREET MODIFIED - FWD,2:21.518,Civic
25,41,Foster Johnson,CLUB TR - RWD,2:21.597,S2000
26,9,Drew Turner,CLUB TR - RWD,2:22.260,S2000
27,284,Ido Waksman,CLUB TR - RWD,2:22.757,128i
28,610,Fez Babar,CLUB TR - RWD,2:22.977,GR86
29,654,Nick Aegerter,STREET - AWD,2:23.372,Focus RS
30,627,Mario Mirone,CLUB TR - FWD,2:23.532,Civic
31,266,Derek Mews,STREET - RWD,2:24.491,370Z
32,869,Kevin Vo,CLUB TR - RWD,2:24.684,FR-S
33,747,John Butler,STREET MODIFIED - RWD,2:24.765,M3
34,69,Jonathan Simmons,UNLIMITED - RWD,2:25.333,M3
35,193,Mark Kilgore,STREET MODIFIED - RWD,2:25.564,135i
36,300,Erik Jacobs,TRACK MODIFIED - RWD,2:25.569,SC300
37,517,Tim Lutz,STREET MODIFIED - RWD,2:26.213,Corvette
38,142,Juan Johnson,CLUB TR - RWD,2:27.650,S2000
39,700,Halka Racing GC,STREET - AWD,2:28.426,2.5 RS
40,28,Knottfast Motosports,CLUB TR - RWD,2:28.575,FRS
41,777,Dewey Dewitt,CLUB TR - RWD,2:28.868,BRZ
42,75,Jerome Cahuzac,STREET GT - RWD,2:29.485,M2
43,373,Ivan Onofriiciuc,STREET - RWD,2:30.085,370z
44,19,Scott Hollingsworth,STREET MODIFIED - RWD,2:30.226,S2000
45,998,Thomas Bitterman,CLUB TR - FWD,2:30.891,Civic Si
46,22,Scott Giles,CLUB TR - FWD,2:32.531,CRX
47,666,Jinno Hilario,CLUB TR - FWD,2:33.683,S2000
48,614,Eric Knerr,CLUB TR - RWD,2:33.818,Miata
49,440,Taylor Steck,STREET - RWD,2:36.164,350z
50,715,Dylan Rodgers,CLUB TR - RWD,2:36.572,Miata
51,130,James Smith,SUNDAE CUP - FWD,2:36.893,Fit
52,782,Kevin Gu,SUNDAE CUP - FWD,2:38.399,Civic
53,826,Jacob Abbott,SUNDAE CUP - FWD,2:38.793,Fit
54,5,Zachary Anderson,STREET - RWD,2:38.917,Something
55,92,Brad Smith,SUNDAE CUP - FWD,2:39.524,Fit
56,411,Kyle Carstens,SUNDAE CUP - FWD,2:39.739,Fit
57,926,Twerk Team Racing,SUNDAE CUP - FWD,2:40.774,Fit
58,84,Trip Walker,SUNDAE CUP - FWD,2:42.661,Fit
59,505,Bronson Furman,SUNDAE CUP - FWD,2:43.235,CR-Z
60,8,Christopher Wolf,SUNDAE CUP - FWD,2:43.399,Fit
61,235,OC Racing,SUNDAE CUP - FWD,2:44.592,Fit
62,801,Daniel Malloy,SUNDAE CUP - FWD,2:47.291,2
63,725,Erik Voelkle,SUNDAE CUP - FWD,2:49.319,Fit
64,91,Chris Rice,STREET GT - RWD,,Mustang Shelby GT
65,156,Neil Hancock,STREET - AWD,,WRX
