Results Overall - All Groups,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,245,Justin Peachey,TRACK MODIFIED - RWD,2:05.588,Corvette
2,991,Jimmy Rauck,TRACK MODIFIED - RWD,2:06.214,911 GT2RS
3,150,Alex Moss,STREET MODIFIED - RWD,2:09.623,S2000
4,460,Grant Walker,TRACK MODIFIED - RWD,2:09.802,Miata
5,544,Eric Provost,TRACK MODIFIED - RWD,2:11.396,Camaro ZL1 1LE
6,52,Nicholas Gardner,UNLIMITED - RWD,2:11.569,GT500
7,176,Jacob Hunt,STREET GT - RWD,2:12.974,Corvette Grand Sport
8,79,Nicholas Kohrs,STREET MODIFIED - FWD,2:13.098,Civic Si
9,350,Steve Luca,STREET GT - RWD,2:13.157,Shelby GT350R
10,197,Kendall Samuel,TRACK MODIFIED - AWD,2:13.314,Impreza
11,7,Halka Racing GR,STREET - AWD,2:14.026,Impreza WRX
12,307,Andy Hsiao,STREET MODIFIED - RWD,2:14.081,Corvette Z06
13,6,Michael Aumick,STREET MODIFIED - AWD,2:14.404,STi
14,623,Stan Fayngold,STREET - AWD,2:14.626,Evo X
15,114,Bronson McNemar,TRACK MODIFIED - RWD,2:14.971,Miata
16,106,Jason Kanakry,STREET MODIFIED - RWD,2:15.027,600LT
17,335,Christopher Bickford,TRACK MODIFIED - RWD,2:15.071,Camaro ZL1 1LE
18,676,James Elliott,UNLIMITED - RWD,2:15.793,Mustang
19,333,Tony Barber,STREET - AWD,2:16.061,Model 3
20,34,Andrew Voelkel,STREET GT - RWD,2:16.425,Corvette C8
21,109,Dana Basinski,CLUB TR - RWD,2:16.448,Brz
22,63,Luca Barberis,STREET - AWD,2:16.700,Lancer Evolution 9
23,77,Alex Artayet,STREET GT - RWD,2:17.477,M3
24,510,Piero Pucci,STREET MODIFIED - AWD,2:17.886,Evolution 8
25,523,Mike Janssen,STREET MODIFIED - RWD,2:18.083,Miata
26,625,Samel Meseljevic,STREET - RWD,2:19.896,350z Nismo
27,776,Dallas Reed,UNLIMITED - RWD,2:20.067,RX-8
28,774,Brian Tyson,CLUB TR - RWD,2:20.276,GR86
29,9,Drew Turner,CLUB TR - RWD,2:20.422,S2000
30,363,Michael Kubiak,STREET GT - RWD,2:20.477,Corvette Z06
31,156,Neil Hancock,STREET - AWD,2:21.075,WRX
32,338,Nicholas Zelisko,STREET MODIFIED - FWD,2:21.518,Civic
33,69,Jonathan Simmons,UNLIMITED - RWD,2:21.569,M3
34,41,Foster Johnson,CLUB TR - RWD,2:21.597,S2000
35,284,Ido Waksman,CLUB TR - RWD,2:21.698,128i
36,555,Patrick Daugherty,STREET - FWD,2:21.796,Type R
37,351,Michael Barnes,STREET GT - RWD,2:22.070,Shelby GT350
38,575,Clay Davidson,STREET MODIFIED - RWD,2:22.433,Mustang
39,610,Fez Babar,CLUB TR - RWD,2:22.456,GR86
40,627,Mario Mirone,CLUB TR - FWD,2:22.767,Civic
41,808,Chong Lor,STREET - FWD,2:23.370,Civic Type R
42,654,Nick Aegerter,STREET - AWD,2:23.372,Focus RS
43,869,Kevin Vo,CLUB TR - RWD,2:24.120,FR-S
44,266,Derek Mews,STREET - RWD,2:24.491,370Z
45,747,John Butler,STREET MODIFIED - RWD,2:24.765,M3
46,439,Todd Kunze,CLUB TR - RWD,2:24.848,BRZ
47,193,Mark Kilgore,STREET MODIFIED - RWD,2:25.564,135i
48,300,Erik Jacobs,TRACK MODIFIED - RWD,2:25.569,SC300
49,517,Tim Lutz,STREET MODIFIED - RWD,2:26.213,Corvette
50,88,Austin Goetz,CLUB TR - FWD,2:26.260,Civic
51,5,Zachary Anderson,STREET - RWD,2:26.485,Something
52,700,Halka Racing GC,STREET - AWD,2:26.702,2.5 RS
53,142,Juan Johnson,CLUB TR - RWD,2:27.140,S2000
54,200,Bret Voelkel,STREET GT - RWD,2:27.208,Corvette
55,91,Chris Rice,STREET GT - RWD,2:27.410,Mustang Shelby GT
56,373,Ivan Onofriiciuc,STREET - RWD,2:27.431,370z
57,777,Dewey Dewitt,CLUB TR - RWD,2:27.757,BRZ
58,28,Knottfast Motosports,CLUB TR - RWD,2:28.575,FRS
59,75,Jerome Cahuzac,STREET GT - RWD,2:29.430,M2
60,117,Jared Garcia,STREET - AWD,2:29.691,IS300
61,19,Scott Hollingsworth,STREET MODIFIED - RWD,2:30.226,S2000
62,998,Thomas Bitterman,CLUB TR - FWD,2:30.494,Civic Si
63,614,Eric Knerr,CLUB TR - RWD,2:31.772,Miata
