Heat 5 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,180,Robert Thorne,UNLIMITED - RWD,1:22.461,911
2,86,Jackie Ding,STREET MODIFIED - RWD,1:22.847,GR Supra
3,70,Eric Dewitt,STREET MODIFIED - AWD,1:27.376,Impreza L
4,14,Kal Fortner,STREET MODIFIED - RWD,1:27.422,GTS
5,176,Cody Hunt,STREET GT - RWD,1:28.707,Corvette
6,220,Jesse Echanique,TRACK MODIFIED - AWD,1:29.277,Eclipse GSX
7,74,Grant Davidson,CLUB TR - FWD,1:29.432,GSR
8,66,Ben Thorn,CLUB TR - FWD,1:29.796,Civic
9,44,Edgar Bernard,STREET MODIFIED - AWD,1:30.498,STi
10,531,Evan Weider,CLUB TR - FWD,1:30.995,Civic
11,226,Jierui Liu,STREET MODIFIED - RWD,1:31.077,GR Supra
12,529,Christopher Nahill,STREET MODIFIED - RWD,1:31.115,GR Supra
13,145,Hofmann Devin,STREET MODIFIED - AWD,1:31.229,WRX STi
14,43,Drew Vosk,STREET GT - RWD,1:31.463,Supra
15,449,Colin Fitzgerald,STREET MODIFIED - AWD,1:32.184,Impreza
16,488,Blake Fitzgerald,CLUB TR - RWD,1:32.211,S2000
17,225,Evan Motl,STREET - FWD,1:32.500,Civic Type-R
18,470,Edward Segal,STREET - FWD,1:32.922,Civic Type R
19,73,Kevin Hu,CLUB TR - RWD,1:33.455,S2000
20,343,Freddy De La Rosa Almonte,CLUB TR - RWD,1:33.700,S2000
21,384,Prashin Karanam,STREET GT - RWD,1:33.844,M3
22,268,Craig Krzywicki,CLUB TR - RWD,1:33.846,BRZ
23,95,Darian Taggart,CLUB TR - RWD,1:33.851,S2000
24,323,Nick Rivadeneira,CLUB TR - RWD,1:34.025,S2000
25,745,Andy Hong,CLUB TR - RWD,1:34.093,S2000
26,85,James Barry,TRACK MODIFIED - RWD,1:34.947,370z Nismo
27,328,Marshall Chang,STREET MODIFIED - RWD,1:35.108,Supra
28,233,Otto Munoz,CLUB TR - RWD,1:35.125,S2000
29,499,Joseph Muench,STREET - AWD,1:35.266,WRX
30,982,Bryan Mccrea,CLUB TR - RWD,1:35.370,FR-S
31,13,Jerami Bailey,CLUB TR - RWD,1:35.479,FR-S
32,183,Carlos Prat,CLUB TR - RWD,1:35.493,FRS
33,392,Victor Vilece,STREET GT - RWD,1:35.513,Mustang Boss 302
34,403,Donald Tsunmin Lui,CLUB TR - RWD,1:35.702,BRZ
35,921,Devin Herndon,STREET - AWD,1:35.716,GLA 45 AMG
36,821,Evan Madore,STREET - FWD,1:35.786,Cooper
37,543,Vincent Nardone,STREET GT - RWD,1:35.840,Mustang
38,53,Benson Tai,CLUB TR - RWD,1:36.540,S2000
39,998,Thomas Bitterman,CLUB TR - FWD,1:36.700,Civic Si
40,198,Bruce Yhun,STREET - FWD,1:36.788,Civic
41,994,Nathan Brown,STREET - FWD,1:37.683,GTI
42,444,Brian Smith,STREET MODIFIED - FWD,1:37.899,GTI
43,880,Dimitri Paras,STREET MODIFIED - FWD,1:37.948,Gold GTI
44,464,Nicholas Babin,CLUB TR - RWD,1:38.164,Miata
45,362,Fsrhan Iqbal,STREET - RWD,1:38.258,GR86
46,336,William Wu Chen,CLUB TR - RWD,1:38.589,S2000
47,228,Justin Kennedy,STREET - FWD,1:39.005,Cooper S
48,430,Mark Mullen,STREET - RWD,1:39.511,BRZ
49,463,Jonathan Trimboli,STREET MODIFIED - RWD,1:40.076,BRZ
50,724,Vijay Lorick,STREET - AWD,1:40.304,Golf
51,352,David Dinh,STREET - RWD,1:42.445,BRZ
52,395,Michael Smith,SUNDAE CUP  - FWD,1:43.918,Fit
53,236,Chris Pak,STREET - AWD,1:43.981,Golf R
54,505,Bronson Furman,SUNDAE CUP  - FWD,1:46.016,CR-Z
55,301,Stewart Storm,SUNDAE CUP  - FWD,1:46.064,Fit
56,545,Daniel Kruger,SUNDAE CUP  - FWD,1:47.150,Fit Sport
57,801,Daniel Malloy,SUNDAE CUP  - FWD,1:48.074,2
58,121,Joseph King,SUNDAE CUP  - FWD,1:48.769,Protege
59,79,Nicholas Kohrs,STREET MODIFIED - FWD,,Civic Si
