Results Overall - All Groups,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,86,Jackie Ding,STREET MODIFIED - RWD,1:21.638,GR Supra
2,180,Robert Thorne,UNLIMITED - RWD,1:22.461,911
3,79,Nicholas Kohrs,STREET MODIFIED - FWD,1:25.685,Civic Si
4,70,Eric Dewitt,STREET MODIFIED - AWD,1:26.020,Impreza L
5,14,Kal Fortner,STREET MODIFIED - RWD,1:26.717,GTS
6,714,Rockwell Autosport Deveolpment,UNLIMITED - FWD,1:26.954,RS3 TCR
7,220,Jesse Echanique,TRACK MODIFIED - AWD,1:27.182,Eclipse GSX
8,176,Cody Hunt,STREET GT - RWD,1:28.029,Corvette
9,33,Chris Boersma,TRACK MODIFIED - FWD,1:28.338,Civic
10,74,Grant Davidson,CLUB TR - FWD,1:28.540,GSR
11,66,Ben Thorn,CLUB TR - FWD,1:28.800,Civic
12,77,Alex Artayet,STREET GT - RWD,1:28.874,M3
13,514,Evan Mclaren,CLUB TR - FWD,1:29.937,Integra
14,63,Luca Barberis,STREET - AWD,1:29.966,Lancer Evolution 9
15,44,Edgar Bernard,STREET MODIFIED - AWD,1:30.228,STi
16,226,Jierui Liu,STREET MODIFIED - RWD,1:30.246,GR Supra
17,632,Chris Ferraro,STREET MODIFIED - RWD,1:30.507,M3
18,525,Christopher Quashnie,TRACK MODIFIED - RWD,1:30.633,Camaro ZL1 1LE
19,531,Evan Weider,CLUB TR - FWD,1:30.760,Civic
20,470,Edward Segal,STREET - FWD,1:30.976,Civic Type R
21,529,Christopher Nahill,STREET MODIFIED - RWD,1:30.995,GR Supra
22,145,Hofmann Devin,STREET MODIFIED - AWD,1:31.009,WRX STi
23,225,Evan Motl,STREET - FWD,1:31.251,Civic Type-R
24,43,Drew Vosk,STREET GT - RWD,1:31.459,Supra
25,73,Kevin Hu,CLUB TR - RWD,1:31.580,S2000
26,144,Kevin Parlett,UNLIMITED - RWD,1:31.758,G35
27,85,James Barry,TRACK MODIFIED - RWD,1:31.918,370z Nismo
28,403,Donald Tsunmin Lui,CLUB TR - RWD,1:32.145,BRZ
29,449,Colin Fitzgerald,STREET MODIFIED - AWD,1:32.183,Impreza
30,488,Blake Fitzgerald,CLUB TR - RWD,1:32.211,S2000
31,95,Darian Taggart,CLUB TR - RWD,1:32.267,S2000
32,774,Brian Tyson,CLUB TR - RWD,1:32.330,GR86
33,384,Prashin Karanam,STREET GT - RWD,1:32.447,M3
34,268,Craig Krzywicki,CLUB TR - RWD,1:32.662,BRZ
35,328,Marshall Chang,STREET MODIFIED - RWD,1:32.818,Supra
36,343,Freddy De La Rosa Almonte,CLUB TR - RWD,1:32.839,S2000
37,745,Andy Hong,CLUB TR - RWD,1:32.871,S2000
38,323,Nick Rivadeneira,CLUB TR - RWD,1:33.062,S2000
39,343,Freddy De La Rosa Almonte,STREET - RWD,1:33.245,S2000
40,724,Vijay Lorick,STREET - AWD,1:33.521,Golf
41,982,Bryan Mccrea,CLUB TR - RWD,1:33.794,FR-S
42,499,Joseph Muench,STREET - AWD,1:33.833,WRX
43,233,Otto Munoz,CLUB TR - RWD,1:33.903,S2000
44,543,Vincent Nardone,STREET GT - RWD,1:34.015,Mustang
45,827,Vito Jin,STREET - RWD,1:34.317,M3
46,13,Jerami Bailey,CLUB TR - RWD,1:34.454,FR-S
47,392,Victor Vilece,STREET GT - RWD,1:34.519,Mustang Boss 302
48,821,Evan Madore,STREET - FWD,1:34.629,Cooper
49,463,Jonathan Trimboli,STREET MODIFIED - RWD,1:34.824,BRZ
50,183,Carlos Prat,CLUB TR - RWD,1:34.935,FRS
51,28,Peter Zhang,CLUB TR - RWD,1:35.116,FRS
52,464,Nicholas Babin,CLUB TR - RWD,1:35.323,Miata
53,921,Devin Herndon,STREET - AWD,1:35.334,GLA 45 AMG
54,53,Benson Tai,CLUB TR - RWD,1:35.410,S2000
55,994,Nathaniel Brown,STREET - FWD,1:35.697,GTI
56,998,Thomas Bitterman,CLUB TR - FWD,1:35.736,Civic Si
57,442,Logan Geyer,CLUB TR - RWD,1:35.962,BRZ
58,198,Bruce Yhun,STREET - FWD,1:36.297,Civic
59,336,William Wu Chen,CLUB TR - RWD,1:37.040,S2000
60,444,Brian Smith,STREET MODIFIED - FWD,1:37.249,GTI
61,228,Justin Kennedy,STREET - FWD,1:37.658,Cooper S
62,880,Dimitri Paras,STREET MODIFIED - FWD,1:37.948,Gold GTI
63,362,Fsrhan Iqbal,STREET - RWD,1:38.258,GR86
64,430,Mark Mullen,STREET - RWD,1:38.718,BRZ
65,352,David Dinh,STREET - RWD,1:40.312,BRZ
66,93,Derick Hohenshilt,STREET MODIFIED - FWD,1:40.672,CRX
67,236,Chris Pak,STREET - AWD,1:40.779,Golf R
68,395,Michael Smith,SUNDAE CUP  - FWD,1:43.918,Fit
69,505,Bronson Furman,SUNDAE CUP  - FWD,1:44.366,CR-Z
70,301,Stewart Storm,SUNDAE CUP  - FWD,1:45.442,Fit
71,545,Daniel Kruger,SUNDAE CUP  - FWD,1:46.019,Fit Sport
72,801,Daniel Malloy,SUNDAE CUP  - FWD,1:47.493,2
73,121,Joseph King,SUNDAE CUP  - FWD,1:48.423,Protege
74,725,Erik Voelkle,SUNDAE CUP  - FWD,1:55.751,Fit
75,767,Mark Johnson,UNLIMITED - FWD,,Civic
