Big Willow Overall - All Groups,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,72,Feras Qartoumy,UNLIMITED - RWD,1:20.918,Corvette
2,86,Jackie Ding,STREET MODIFIED - RWD,1:23.137,Supra
3,842,Kyle Robinson,STREET MODIFIED - RWD,1:24.355,Supra
4,187,Kevin Burke,TRACK MODIFIED - RWD,1:24.920,S2000
5,744,Robert Robles,STREET MODIFIED - RWD,1:24.934,GR Supra
6,178,Connor Robin,TRACK MODIFIED - RWD,1:26.194,Camero ZL1
7,712,Jason Chin,TRACK MODIFIED - RWD,1:28.032,GT3RS
8,151,Jorge Torres,TRACK MODIFIED - RWD,1:28.971,350z
9,734,Omar Kaayal,STREET GT - RWD,1:29.313,M2
10,811,Frank Pacheco,STREET GT - RWD,1:29.429,Supra
11,344,Ron Chang,STREET MODIFIED - RWD,1:29.570,E46 M3
12,25,Ravi Maraj,TRACK MODIFIED - RWD,1:29.719,BRZ
13,902,Hana Burton,STREET MODIFIED - RWD,1:30.124,Supra
14,51,Chris Reber,STREET GT - RWD,1:30.436,Mustang GT
15,436,Robert Lloyd Martin,STREET GT - RWD,1:30.727,Corvette
16,657,Frankie Ho,CLUB TR - RWD,1:31.518,BRZ
17,157,Robert Burch,TRACK MODIFIED - FWD,1:32.190,S2000
18,196,Christopher Mayfield,STREET GT - RWD,1:32.908,Evora S
19,149,Mark Jager,STREET MODIFIED - RWD,1:32.961,Mustang GT
20,126,Arnold Pamplona,STREET MODIFIED - AWD,1:33.176,WRX STi
21,240,James Hou,STREET - AWD,1:33.192,STi
22,300,Babak Samimi,TRACK MODIFIED - RWD,1:34.525,458
23,674,Jonathan Lugod,CLUB TR - RWD,1:34.580,MX-5
24,233,Alex Valencia,TRACK MODIFIED - RWD,1:35.947,350z
25,372,Chris Kirkland,STREET - RWD,1:36.218,350z
26,134,Adrian Oliva,STREET MODIFIED - FWD,1:36.605,Civic
27,870,Austin Kirk,STREET GT - RWD,1:36.939,Camaro
28,669,Austin Shipley,UNLIMITED - RWD,1:37.344,GR Supra
29,213,Jedwyn Taasin,CLUB TR - FWD,1:37.708,Veloster R-Spec
30,127,Juliette Hadjes,CLUB TR - RWD,1:37.852,S2000
31,595,Dustin Williams,STREET MODIFIED - RWD,1:37.856,S2000
32,67,Morgan Higham,STREET - AWD,1:38.680,Model 3 Performance
33,924,Konstantin Nikiforov,STREET GT - RWD,1:38.763,Mustang
34,556,Stephen Ellis,CLUB TR - RWD,1:39.481,86
35,429,Alex Artates,CLUB TR - FWD,1:41.310,Civic
36,230,Team NRB,CLUB TR - FWD,1:41.612,Celica
37,576,Dallas Reed,STREET - RWD,1:41.984,RX-8
38,637,Frank Le,STREET MODIFIED - RWD,1:42.388,S2000
39,666,Jinno Hilaro,CLUB TR - FWD,1:42.754,Civic Si
40,524,Adam Johnston,CLUB TR - RWD,1:42.947,BRZ
41,818,Jaime Garcia,STREET - FWD,1:43.874,Civic
42,562,Matt Davis,STREET - FWD,1:44.310,Corolla
43,704,Michael Metcalf,STREET GT - RWD,1:49.042,Camero SS1LE
44,446,Rob Dahm,TRACK MODIFIED - RWD,1:49.472,RX7
45,969,Peter Lindberg,SUNDAE CUP - FWD,1:49.778,Fit
46,119,Ted Xavier,CLUB TR - RWD,1:51.404,124 Spider
47,3,Hasib / Huzaifa Khan,STREET - RWD,1:54.245,Miata
48,445,Isaiah Duran,STREET - RWD,2:05.353,RX8
49,50,Jacob Mitchell,STREET - RWD,,S2000
