Heat 3 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,72,Feras Qartoumy,UNLIMITED - RWD,1:21.008,Corvette
2,86,Jackie Ding,STREET MODIFIED - RWD,1:23.137,Supra
3,187,Kevin Burke,TRACK MODIFIED - RWD,1:25.847,S2000
4,744,Robert Robles,STREET MODIFIED - RWD,1:26.081,GR Supra
5,712,Jason Chin,TRACK MODIFIED - RWD,1:29.927,GT3RS
6,178,Connor Robin,TRACK MODIFIED - RWD,1:30.022,Camero ZL1
7,902,Hana Burton,STREET MODIFIED - RWD,1:30.931,Supra
8,51,Chris Reber,STREET GT - RWD,1:31.291,Mustang GT
9,436,Robert Lloyd Martin,STREET GT - RWD,1:31.827,Corvette
10,25,Ravi Maraj,TRACK MODIFIED - RWD,1:31.848,BRZ
11,811,Frank Pacheco,STREET GT - RWD,1:32.812,Supra
12,149,Mark Jager,STREET MODIFIED - RWD,1:33.322,Mustang GT
13,240,James Hou,STREET - AWD,1:33.448,STi
14,300,Babak Samimi,TRACK MODIFIED - RWD,1:34.525,458
15,233,Alex Valencia,TRACK MODIFIED - RWD,1:35.947,350z
16,372,Chris Kirkland,STREET - RWD,1:36.796,350z
17,870,Austin Kirk,STREET GT - RWD,1:36.939,Camaro
18,213,Jedwyn Taasin,CLUB TR - FWD,1:37.708,Veloster R-Spec
19,127,Juliette Hadjes,CLUB TR - RWD,1:37.852,S2000
20,924,Konstantin Nikiforov,STREET GT - RWD,1:38.763,Mustang
21,67,Morgan Higham,STREET - AWD,1:38.919,Model 3 Performance
22,556,Stephen Ellis,CLUB TR - RWD,1:39.481,86
23,576,Dallas Reed,STREET - RWD,1:41.984,RX-8
24,666,Jinno Hilaro,CLUB TR - FWD,1:42.754,Civic Si
25,524,Adam Johnston,CLUB TR - RWD,1:42.947,BRZ
26,230,Team NRB,CLUB TR - FWD,1:44.077,Celica
27,562,Matt Davis,STREET - FWD,1:44.310,Corolla
28,637,Frank Le,STREET MODIFIED - RWD,1:46.899,S2000
29,969,Peter Lindberg,SUNDAE CUP - FWD,1:49.778,Fit
30,119,Ted Xavier,CLUB TR - RWD,1:54.021,124 Spider
