Heat 2 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,933,Tadas Karlinskas,UNLIMITED - RWD,1:25.386,911
2,338,Ernestas Puzelis,UNLIMITED - RWD,1:25.779,Corvette
3,27,Brad Perkins,UNLIMITED - RWD,1:29.010,M3
4,500,Steven Luca,UNLIMITED - RWD,1:29.023,MUSTANG
5,29,Kyle Mckiou,STREET MOD - RWD,1:29.328,GR SUPRA
6,171,Andrius Bertulis,UNLIMITED - RWD,1:29.489,RCF
7,14,Kal Fortner,STREET MOD - RWD,1:30.028,AMG GT S
8,570,Kyle Magnuson,STREET GT - RWD,1:31.184,718 CAYMAN
9,314,Michael Puglisi,TRACK MOD - AWD,1:31.199,LANCER
10,687,Jackie Ding,STREET GT - RWD,1:31.549,M2
11,226,Jerry Liu,STREET GT - RWD,1:32.783,718 CAYMAN
12,206,Dalton Klein,TRACK MOD - RWD,1:32.884,CORVETTE
13,377,Allen Ma,TRACK MOD - RWD,1:32.945,GT3
14,326,Last Minute Racing,CLUB TR - RWD,1:33.098,86
15,89,Brandon Hodge,STREET GT - RWD,1:33.152,GR SUPRA
16,245,Lali Nyiri,TRACK MOD - AWD,1:33.230,SENTRA
17,54,Zachary Moore,STREET MOD - RWD,1:33.306,CORVETTE
18,109,Dana Basinski,CLUB TR - RWD,1:33.563,BRZ
19,364,Nicholas Hendrix,STREET GT - RWD,1:33.575,CORVETTE
20,727,Mario Mirone,CLUB TR - FWD,1:33.829,CIVIC
21,62,Matt Simpkins,STREET MOD - RWD,1:34.082,GR SUPRA
22,734,Austin Hertel,TRACK MOD - RWD,1:34.169,350Z
23,61,Fez Babar,CLUB TR - RWD,1:34.544,GR86
24,179,Derek Linderholm,STREET MOD - AWD,1:34.735,LANCER
25,351,Michael Barnes,STREET GT - RWD,1:35.141,MUSTANG
26,510,Piero Pucci,CLUB TR - RWD,1:35.429,FR-S
27,215,Cheng Jin,STREET - RWD,1:35.468,M3
28,19,Josh Powers,TRACK MOD - RWD,1:35.572,CORVETTE
29,511,Peter Granberg,CLUB TR - RWD,1:35.583,BRZ
30,880,Dead Boiz Racing,CLUB TR - RWD,1:35.731,FR-S
31,268,Anthony Montelo,STREET MOD - RWD,1:35.777,CORVETTE
32,123,Whiskey Danger Racing,CLUB TR - RWD,1:35.849,S2000
33,224,Su Xiong,CLUB TR - RWD,1:35.890,S2000
34,711,Anthony Leclerc,CLUB TR - RWD,1:35.967,4C
35,531,Evan Weider,CLUB TR - FWD,1:36.077,CIVIC
36,136,Ben Mich,TRACK MOD - RWD,1:36.631,RX-7
37,526,Matt Carter,TRACK MOD - RWD,1:37.011,Corvette
38,743,Devin Giles,STREET MOD - RWD,1:37.098,CAYMAN S
39,64,Alex Westergaard,TRACK MOD - RWD,1:37.373,S2000
40,38,Aaron Rekkedahl,STREET - FWD,1:37.428,CIVIC TYPE R
41,240,Ken Devriese,CLUB TR - RWD,1:37.501,S2000
42,370,Ivan Onofriiciuc,STREET - RWD,1:38.011,370Z
43,39,Gregory Formosa,STREET - AWD,1:38.088,LANCER
44,238,Garrett Gloceri,CLUB TR - RWD,1:38.304,RX-8
45,199,Ian Flavin,CLUB TR - RWD,1:38.825,BRZ
46,517,Tim Lutz,STREET MOD - RWD,1:38.947,CORVETTE
47,747,Alexey Savin,TRACK MOD - RWD,1:39.060,S2000
48,96,Stephen Valich,TRACK MOD - FWD,1:39.365,GTI
49,398,Mike Vanlperen,TRACK MOD - RWD,1:39.577,Mustang
50,191,Jessica Powers,TRACK MOD - RWD,1:39.592,CORVETTE
51,442,Logan Geyer,CLUB TR - RWD,1:39.630,BRZ
52,654,Nick Aegerter,STREET - AWD,1:39.730,FOCUS
53,260,Matthew Morehouse,STREET - AWD,1:39.758,FORESTER
54,373,Benjamin Smolen,STREET GT - RWD,1:39.816,MUSTANG
55,611,Benjamin Carter,CLUB TR - RWD,1:39.894,S2000
56,519,Malindima Sampa,STREET - RWD,1:40.229,350Z
57,113,Chip Smth,UNLIMITED - RWD,1:41.294,911
58,5,Ezekiel Malchow,STREET MOD - RWD,1:41.468,MUSTANG
59,46,Nehru Cheddie,CLUB TR - AWD,1:41.525,GR COROLLA
60,930,Jasper Zhang,STREET MOD - RWD,1:41.778,BRZ
61,111,Jared Chapin,CLUB TR - RWD,1:41.905,S2000
62,828,Matthew Smith,CLUB TR - RWD,1:42.058,S2000
63,960,Sean Heneghan,CLUB TR - FWD,1:42.497,CIVIC
64,420,Aric Streeter,STREET MOD - RWD,1:42.836,RX-7
65,527,Ahmed Aloul,CLUB TR - RWD,1:44.399,MX-5 MIATA
66,889,Syed Hasan,CLUB TR - RWD,1:45.286,BRZ
67,126,Jacob Abbott,SUNDAE CUP - FWD,1:45.657,Fit
68,144,Ryan Mukherjee,SUNDAE CUP - FWD,1:46.037,FIT
69,83,Miles Blakesley,STREET - RWD,1:46.365,MX-5 MIATA
70,92,Brad Smith,SUNDAE CUP - FWD,1:46.564,FIT
71,36,Daniel Cummings,SUPER UNLIMITED - RWD,1:46.709,360
72,130,James Smith,SUNDAE CUP - FWD,1:46.852,FIT
73,707,Piotr Boczek,SUNDAE CUP - FWD,1:47.178,FIT
74,594,Dead Bear Racing,SUNDAE CUP - FWD,1:47.320,FIT
75,99,George Reeves,CLUB TR - RWD,1:48.150,MX-5
76,156,Mike Janssen,SUNDAE CUP - FWD,1:48.201,HARDTOP
77,1,Chris Wolf,SUNDAE CUP - FWD,1:53.061,FIT
78,823,Erin Weaver,CLUB TR - RWD,1:53.275,MX-5 MIATA
79,736,Cody Smith,STREET MOD - RWD,4:22.877,CUTLASS
80,525,Jeremy Lowder,UNLIMITED - RWD,,CAMARO
