Overall Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,933,Tadas Karlinskas,UNLIMITED - RWD,1:23.525,911
2,338,Ernestas Puzelis,UNLIMITED - RWD,1:24.953,Corvette
3,500,Steven Luca,UNLIMITED - RWD,1:27.700,MUSTANG
4,27,Brad Perkins,UNLIMITED - RWD,1:27.843,M3
5,29,Kyle Mckiou,STREET MOD - RWD,1:28.706,GR SUPRA
6,525,Jeremy Lowder,UNLIMITED - RWD,1:28.990,CAMARO
7,14,Kal Fortner,STREET MOD - RWD,1:29.060,AMG GT S
8,171,Andrius Bertulis,UNLIMITED - RWD,1:29.489,RCF
9,314,Michael Puglisi,TRACK MOD - AWD,1:30.164,LANCER
10,54,Zachary Moore,STREET MOD - RWD,1:30.332,CORVETTE
11,570,Kyle Magnuson,STREET GT - RWD,1:30.709,718 CAYMAN
12,687,Jackie Ding,STREET GT - RWD,1:31.139,M2
13,245,Lali Nyiri,TRACK MOD - AWD,1:31.179,SENTRA
14,555,Joe Mielke,STREET - AWD,1:31.457,WRX STI
15,89,Brandon Hodge,STREET GT - RWD,1:32.003,GR SUPRA
16,377,Allen Ma,TRACK MOD - RWD,1:32.103,GT3
17,206,Dalton Klein,TRACK MOD - RWD,1:32.374,CORVETTE
18,364,Nicholas Hendrix,STREET GT - RWD,1:32.564,CORVETTE
19,226,Jerry Liu,STREET GT - RWD,1:32.579,718 CAYMAN
20,326,Last Minute Racing,CLUB TR - RWD,1:32.592,86
21,179,Derek Linderholm,STREET MOD - AWD,1:32.741,LANCER
22,61,Fez Babar,CLUB TR - RWD,1:32.769,GR86
23,62,Matt Simpkins,STREET MOD - RWD,1:32.840,GR SUPRA
24,109,Dana Basinski,CLUB TR - RWD,1:32.969,BRZ
25,511,Peter Granberg,CLUB TR - RWD,1:33.460,BRZ
26,531,Evan Weider,CLUB TR - FWD,1:33.477,CIVIC
27,625,Sam Bosnian,STREET - RWD,1:33.560,350Z
28,351,Michael Barnes,STREET GT - RWD,1:33.571,MUSTANG
29,727,Mario Mirone,CLUB TR - FWD,1:33.576,CIVIC
30,734,Austin Hertel,TRACK MOD - RWD,1:33.775,350Z
31,880,Dead Boiz Racing,CLUB TR - RWD,1:33.937,FR-S
32,19,Josh Powers,TRACK MOD - RWD,1:34.081,CORVETTE
