Heat 1 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,962,Andrew Pinkerton,UNLIMITED - RWD,1:27.951,Miata
2,307,Andy Hsiao,STREET MOD - RWD,1:34.186,Corvette
3,29,Kyle McKiou,STREET MOD - RWD,1:34.462,GR Supra
4,325,Erin Sanford,TRACK MOD - RWD,1:34.756,240sx
5,525,Jeremy Lowder,UNLIMITED - RWD,1:35.888,Camaro
6,115,Phillip Glass-Hess,TRACK MOD - RWD,1:35.914,Miata
7,687,Jackie Ding,STREET GT - RWD,1:35.949,MR
8,570,Kyle Magnuson,STREET GT - RWD,1:36.769,Cayman
9,701,Phil Grabow,UNLIMITED - AWD,1:36.997,WRX STi
10,425,Zachary Lovoy,TRACK MOD - RWD,1:37.190,M3
11,333,Tony Barber,STREET - AWD,1:37.579,Model 3
12,104,Evan McWhirter,UNLIMITED - RWD,1:37.903,Corvette
13,781,Lyle Zyra,CLUB TR - RWD,1:38.954,GR86
14,823,Dana Palmer,TRACK MOD - RWD,1:39.094,GT350
15,713,Matt Rouse,STREET GT - RWD,1:39.129,Corvette
16,18,Kevin Vue,CLUB TR - FWD,1:39.409,Integra
17,674,David Entz,STREET GT - RWD,1:39.948,Cayman GT4
18,402,Anthony Lusano,CLUB TR - FWD,1:40.414,Civic
19,40,Ben Bulthuis,STREET GT - RWD,1:40.678,Supra
20,732,Chris Harper,STREET GT - RWD,1:40.726,440i
21,13,Jerami Bailey,CLUB TR - RWD,1:40.790,FR-S
22,232,Brian Tyson,CLUB TR - AWD,1:40.957,Focus RS
23,7,Halka Racing,STREET - AWD,1:41.667,Impreza
24,47,Kerry Kerr,UNLIMITED - RWD,1:41.952,M3
25,281,Randy Reeves,STREET MOD - RWD,1:42.069,Miata
26,375,Jason Brumfield,STREET GT - RWD,1:42.555,M3
27,161,Todd Kaley,CLUB TR - RWD,1:42.699,S2000
28,298,Brian Flanagan,STREET GT - RWD,1:42.762,M3
29,461,Josh McQuaid,CLUB TR - RWD,1:42.819,S2000
30,132,Clayton Abercrombie,STREET MOD - RWD,1:42.944,Camaro
31,515,Jared Garcia,CLUB TR - RWD,1:43.477,S2000
32,882,Mark Kilgore,STREET GT - RWD,1:43.852,M4
33,693,Alex Schwartz,TRACK MOD - AWD,1:44.511,Golf R
34,329,Cameron Hall,CLUB TR - RWD,1:44.748,Miata
35,414,Julio Perez,CLUB TR - RWD,1:46.298,Z3
36,934,Cameron Boers,STREET - FWD,1:48.256,GTI
37,331,David Neil,CLUB TR - RWD,1:50.842,Miata
38,143,Michael Robinson,CLUB TR - RWD,1:52.362,323i
39,919,Xianwei Hou,STREET - RWD,1:52.488,370Z
40,91,Chris Rice,SUNDAE CUP - FWD,1:53.071,Fit
41,227,Dustin Stevenson,SUNDAE CUP - RWD,1:54.665,Miata
42,201,Faaez Dar,SUNDAE CUP - FWD,1:56.169,Fit
43,122,Jason Davidson,SUNDAE CUP - RWD,1:56.549,TSX
44,125,Kevin Head,CLUB TR - RWD,1:59.570,RX7
45,147,Brett Whisenant,CLUB TR - FWD,,Fiesta ST
